2026-08-26 21:12:13 | Device: cuda
2026-08-26 21:12:13 | Args: {'model': 'fgib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 8.0, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_fgib/california_mlp_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_fgib_beta_0.01_anchor_8/train.log', 'no_save': True}
2026-08-26 21:12:13 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:12:14 | Epoch   1/100 | Train Loss 0.3454 | Val Loss 0.2913 MAE 0.5570 R2 0.2039
2026-08-26 21:12:15 |   Val R2 improved to 0.2039, model saved
2026-08-26 21:12:15 | Epoch   2/100 | Train Loss 0.2467 | Val Loss 0.2334 MAE 0.4854 R2 0.4925
2026-08-26 21:12:15 |   Val R2 improved to 0.4925, model saved
2026-08-26 21:12:15 | Epoch   3/100 | Train Loss 0.2204 | Val Loss 0.2219 MAE 0.4521 R2 0.3850
2026-08-26 21:12:15 | Epoch   4/100 | Train Loss 0.2101 | Val Loss 0.1959 MAE 0.4382 R2 0.6918
2026-08-26 21:12:15 |   Val R2 improved to 0.6918, model saved
2026-08-26 21:12:15 | Epoch   5/100 | Train Loss 0.2011 | Val Loss 0.1879 MAE 0.4251 R2 0.7276
2026-08-26 21:12:15 |   Val R2 improved to 0.7276, model saved
2026-08-26 21:12:16 | Epoch   6/100 | Train Loss 0.1953 | Val Loss 0.1830 MAE 0.4190 R2 0.7295
2026-08-26 21:12:16 |   Val R2 improved to 0.7295, model saved
2026-08-26 21:12:16 | Epoch   7/100 | Train Loss 0.1907 | Val Loss 0.1807 MAE 0.4265 R2 0.7222
2026-08-26 21:12:16 | Epoch   8/100 | Train Loss 0.1874 | Val Loss 0.1762 MAE 0.4114 R2 0.7505
2026-08-26 21:12:16 |   Val R2 improved to 0.7505, model saved
2026-08-26 21:12:16 | Epoch   9/100 | Train Loss 0.1847 | Val Loss 0.1738 MAE 0.4050 R2 0.7460
2026-08-26 21:12:17 | Epoch  10/100 | Train Loss 0.1816 | Val Loss 0.1718 MAE 0.4019 R2 0.7474
2026-08-26 21:12:17 | Epoch  11/100 | Train Loss 0.1798 | Val Loss 0.1700 MAE 0.3990 R2 0.7481
2026-08-26 21:12:17 | Epoch  12/100 | Train Loss 0.1775 | Val Loss 0.1689 MAE 0.4024 R2 0.7461
2026-08-26 21:12:18 | Epoch  13/100 | Train Loss 0.1780 | Val Loss 0.1686 MAE 0.3942 R2 0.7413
2026-08-26 21:12:18 | Epoch  14/100 | Train Loss 0.1748 | Val Loss 0.1658 MAE 0.3910 R2 0.7632
2026-08-26 21:12:18 |   Val R2 improved to 0.7632, model saved
2026-08-26 21:12:18 | Epoch  15/100 | Train Loss 0.1723 | Val Loss 0.1639 MAE 0.3858 R2 0.7665
2026-08-26 21:12:18 |   Val R2 improved to 0.7665, model saved
2026-08-26 21:12:19 | Epoch  16/100 | Train Loss 0.1717 | Val Loss 0.1643 MAE 0.3880 R2 0.7581
2026-08-26 21:12:19 | Epoch  17/100 | Train Loss 0.1702 | Val Loss 0.1621 MAE 0.3842 R2 0.7714
2026-08-26 21:12:19 |   Val R2 improved to 0.7714, model saved
2026-08-26 21:12:19 | Epoch  18/100 | Train Loss 0.1686 | Val Loss 0.1624 MAE 0.3860 R2 0.7678
2026-08-26 21:12:19 | Epoch  19/100 | Train Loss 0.1686 | Val Loss 0.1625 MAE 0.3880 R2 0.7600
2026-08-26 21:12:20 | Epoch  20/100 | Train Loss 0.1675 | Val Loss 0.1609 MAE 0.3874 R2 0.7600
2026-08-26 21:12:20 | Epoch  21/100 | Train Loss 0.1666 | Val Loss 0.1597 MAE 0.3784 R2 0.7695
2026-08-26 21:12:20 | Epoch  22/100 | Train Loss 0.1651 | Val Loss 0.1594 MAE 0.3802 R2 0.7717
2026-08-26 21:12:20 |   Val R2 improved to 0.7717, model saved
2026-08-26 21:12:20 | Epoch  23/100 | Train Loss 0.1644 | Val Loss 0.1587 MAE 0.3775 R2 0.7759
2026-08-26 21:12:20 |   Val R2 improved to 0.7759, model saved
2026-08-26 21:12:20 | Epoch  24/100 | Train Loss 0.1640 | Val Loss 0.1579 MAE 0.3762 R2 0.7750
2026-08-26 21:12:21 | Epoch  25/100 | Train Loss 0.1616 | Val Loss 0.1578 MAE 0.3772 R2 0.7766
