2026-08-30 03:43:18 | Device: cuda
2026-08-30 03:43:18 | Args: {'model': 'fgib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 8.0, 'max_len': 250, 'random_labels': False, 'beta': 10.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_fgib/california_mlp_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results_ablation/hdirect_a48/california_mlp_fgib_beta_10_anchor_8/train.log', 'no_save': True, 'freeze_a': False, 'a_identity': True, 'cosine_classifier': False, 'log_variance_stats': False, 'subject_disjoint': False}
2026-08-30 03:43:18 | ===== Run 1/5 (seed 0) =====
2026-08-30 03:43:24 |   Val R2 improved to 0.7576, model saved
2026-08-30 03:43:24 | Epoch  33/100 | Train Loss 268.6932 | Val Loss 260.0228 MAE 0.4007 R2 0.7550
2026-08-30 03:43:24 | Epoch  34/100 | Train Loss 268.7734 | Val Loss 259.7692 MAE 0.4032 R2 0.7578
2026-08-30 03:43:24 |   Val R2 improved to 0.7578, model saved
2026-08-30 03:43:24 | Epoch  35/100 | Train Loss 268.6592 | Val Loss 259.9522 MAE 0.3978 R2 0.7585
2026-08-30 03:43:24 |   Val R2 improved to 0.7585, model saved
2026-08-30 03:43:24 | Epoch  36/100 | Train Loss 268.7004 | Val Loss 259.3087 MAE 0.3935 R2 0.7590
2026-08-30 03:43:24 |   Val R2 improved to 0.7590, model saved
2026-08-30 03:43:24 | Epoch  37/100 | Train Loss 268.5691 | Val Loss 259.6701 MAE 0.3933 R2 0.7569
2026-08-30 03:43:25 | Epoch  38/100 | Train Loss 268.4545 | Val Loss 259.4945 MAE 0.4038 R2 0.7526
2026-08-30 03:43:25 | Epoch  39/100 | Train Loss 268.2868 | Val Loss 259.3414 MAE 0.3990 R2 0.7555
2026-08-30 03:43:25 | Epoch  40/100 | Train Loss 268.4546 | Val Loss 259.6651 MAE 0.4041 R2 0.7593
2026-08-30 03:43:25 |   Val R2 improved to 0.7593, model saved
2026-08-30 03:43:25 | Epoch  41/100 | Train Loss 268.3774 | Val Loss 259.2328 MAE 0.3996 R2 0.7589
2026-08-30 03:43:25 | Epoch  42/100 | Train Loss 268.2569 | Val Loss 259.4338 MAE 0.3987 R2 0.7536
2026-08-30 03:43:25 | Epoch  43/100 | Train Loss 268.3175 | Val Loss 259.6555 MAE 0.3988 R2 0.7595
2026-08-30 03:43:25 |   Val R2 improved to 0.7595, model saved
2026-08-30 03:43:26 | Epoch  44/100 | Train Loss 268.3581 | Val Loss 259.2576 MAE 0.3922 R2 0.7558
2026-08-30 03:43:26 | Epoch  45/100 | Train Loss 268.2787 | Val Loss 261.4812 MAE 0.4162 R2 0.7505
2026-08-30 03:43:26 | Epoch  46/100 | Train Loss 268.5126 | Val Loss 258.9346 MAE 0.3918 R2 0.7587
2026-08-30 03:43:26 | Epoch  47/100 | Train Loss 268.0663 | Val Loss 259.2360 MAE 0.3934 R2 0.7609
2026-08-30 03:43:26 |   Val R2 improved to 0.7609, model saved
2026-08-30 03:43:26 | Epoch  48/100 | Train Loss 267.9895 | Val Loss 259.0891 MAE 0.3918 R2 0.7631
2026-08-30 03:43:26 |   Val R2 improved to 0.7631, model saved
2026-08-30 03:43:26 | Epoch  49/100 | Train Loss 267.9193 | Val Loss 258.8406 MAE 0.3900 R2 0.7650
2026-08-30 03:43:26 |   Val R2 improved to 0.7650, model saved
2026-08-30 03:43:26 | Epoch  50/100 | Train Loss 267.8447 | Val Loss 259.3112 MAE 0.3956 R2 0.7644
2026-08-30 03:43:26 | Epoch  51/100 | Train Loss 267.9675 | Val Loss 259.0718 MAE 0.3963 R2 0.7627
2026-08-30 03:43:27 | Epoch  52/100 | Train Loss 267.9964 | Val Loss 259.1313 MAE 0.3984 R2 0.7634
2026-08-30 03:43:27 | Epoch  53/100 | Train Loss 267.8978 | Val Loss 258.8909 MAE 0.3896 R2 0.7604
2026-08-30 03:43:27 | Epoch  54/100 | Train Loss 267.8534 | Val Loss 258.7798 MAE 0.3922 R2 0.7649
2026-08-30 03:43:27 | Epoch  55/100 | Train Loss 267.8575 | Val Loss 258.8758 MAE 0.3969 R2 0.7636
2026-08-30 03:43:27 | Epoch  56/100 | Train Loss 267.7339 | Val Loss 259.0378 MAE 0.3916 R2 0.7659
2026-08-30 03:43:27 |   Val R2 improved to 0.7659, model saved
2026-08-30 03:43:27 | Epoch  57/100 | Train Loss 267.6318 | Val Loss 258.7728 MAE 0.4001 R2 0.7649
2026-08-30 03:43:28 | Epoch  58/100 | Train Loss 267.7312 | Val Loss 258.9777 MAE 0.3865 R2 0.7675
2026-08-30 03:43:28 |   Val R2 improved to 0.7675, model saved
2026-08-30 03:43:28 | Epoch  59/100 | Train Loss 267.6032 | Val Loss 258.5795 MAE 0.3877 R2 0.7668
2026-08-30 03:43:28 | Epoch  60/100 | Train Loss 267.6026 | Val Loss 258.5264 MAE 0.3853 R2 0.7685
2026-08-30 03:43:28 |   Val R2 improved to 0.7685, model saved
2026-08-30 03:43:28 | Epoch  61/100 | Train Loss 267.7126 | Val Loss 258.5752 MAE 0.3869 R2 0.7699
2026-08-30 03:43:28 |   Val R2 improved to 0.7699, model saved
2026-08-30 03:43:28 | Epoch  62/100 | Train Loss 267.5246 | Val Loss 258.8212 MAE 0.3911 R2 0.7677
2026-08-30 03:43:28 | Epoch  63/100 | Train Loss 267.4450 | Val Loss 258.6627 MAE 0.3917 R2 0.7686
2026-08-30 03:43:28 | Epoch  64/100 | Train Loss 267.4106 | Val Loss 258.5489 MAE 0.3863 R2 0.7678
2026-08-30 03:43:29 | Epoch  65/100 | Train Loss 267.4106 | Val Loss 258.3504 MAE 0.3879 R2 0.7698
2026-08-30 03:43:29 | Epoch  66/100 | Train Loss 267.3140 | Val Loss 258.6250 MAE 0.4173 R2 0.7608
2026-08-30 03:43:29 | Epoch  67/100 | Train Loss 267.3789 | Val Loss 258.5710 MAE 0.3929 R2 0.7560
2026-08-30 03:43:29 | Epoch  68/100 | Train Loss 267.3453 | Val Loss 258.4768 MAE 0.4023 R2 0.7614
2026-08-30 03:43:29 | Epoch  69/100 | Train Loss 267.2703 | Val Loss 258.3852 MAE 0.3858 R2 0.7694
2026-08-30 03:43:29 | Epoch  70/100 | Train Loss 267.3879 | Val Loss 258.2067 MAE 0.3857 R2 0.7696
2026-08-30 03:43:29 | Epoch  71/100 | Train Loss 267.2257 | Val Loss 258.2932 MAE 0.3892 R2 0.7697
2026-08-30 03:43:29 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 71 (best R2 0.7699 @ Epoch 61)
2026-08-30 03:43:30 | Run 1/5 | Test (best model @ Epoch 61) | Loss 258.6104 MAE 0.3830 R2 0.7583
2026-08-30 03:43:30 | ===== Run 2/5 (seed 1) =====
2026-08-30 03:43:30 | Epoch   1/100 | Train Loss 303.3742 | Val Loss 276.3743 MAE 1.2261 R2 -0.7658
2026-08-30 03:43:30 |   Val R2 improved to -0.7658, model saved
2026-08-30 03:43:30 | Epoch   2/100 | Train Loss 284.5444 | Val Loss 270.1417 MAE 0.7559 R2 0.1832
2026-08-30 03:43:30 |   Val R2 improved to 0.1832, model saved
2026-08-30 03:43:30 | Epoch   3/100 | Train Loss 281.0454 | Val Loss 267.7187 MAE 0.5728 R2 0.5305
2026-08-30 03:43:30 |   Val R2 improved to 0.5305, model saved
2026-08-30 03:43:30 | Epoch   4/100 | Train Loss 279.2968 | Val Loss 265.5052 MAE 0.5266 R2 0.6110
2026-08-30 03:43:30 |   Val R2 improved to 0.6110, model saved
2026-08-30 03:43:30 | Epoch   5/100 | Train Loss 277.8870 | Val Loss 265.2423 MAE 0.4940 R2 0.6326
2026-08-30 03:43:30 |   Val R2 improved to 0.6326, model saved
2026-08-30 03:43:30 | Epoch   6/100 | Train Loss 277.0194 | Val Loss 263.7825 MAE 0.4815 R2 0.6691
2026-08-30 03:43:30 |   Val R2 improved to 0.6691, model saved
2026-08-30 03:43:31 | Epoch   7/100 | Train Loss 276.0750 | Val Loss 263.1886 MAE 0.4646 R2 0.6813
2026-08-30 03:43:31 |   Val R2 improved to 0.6813, model saved
2026-08-30 03:43:31 | Epoch   8/100 | Train Loss 275.1301 | Val Loss 262.9432 MAE 0.4582 R2 0.6968
2026-08-30 03:43:31 |   Val R2 improved to 0.6968, model saved
2026-08-30 03:43:31 | Epoch   9/100 | Train Loss 274.5224 | Val Loss 262.2340 MAE 0.4471 R2 0.6960
2026-08-30 03:43:31 | Epoch  10/100 | Train Loss 274.0928 | Val Loss 261.3785 MAE 0.4378 R2 0.7061
2026-08-30 03:43:31 |   Val R2 improved to 0.7061, model saved
2026-08-30 03:43:31 | Epoch  11/100 | Train Loss 273.4761 | Val Loss 261.7172 MAE 0.4308 R2 0.7136
2026-08-30 03:43:31 |   Val R2 improved to 0.7136, model saved
2026-08-30 03:43:31 | Epoch  12/100 | Train Loss 272.9796 | Val Loss 260.8509 MAE 0.4256 R2 0.7191
2026-08-30 03:43:31 |   Val R2 improved to 0.7191, model saved
2026-08-30 03:43:32 | Epoch  13/100 | Train Loss 272.7774 | Val Loss 260.8949 MAE 0.4282 R2 0.7351
2026-08-30 03:43:32 |   Val R2 improved to 0.7351, model saved
2026-08-30 03:43:32 | Epoch  14/100 | Train Loss 272.4954 | Val Loss 260.2426 MAE 0.4162 R2 0.7344
2026-08-30 03:43:32 | Epoch  15/100 | Train Loss 272.2681 | Val Loss 260.8019 MAE 0.4200 R2 0.7340
2026-08-30 03:43:32 | Epoch  16/100 | Train Loss 271.9577 | Val Loss 260.0541 MAE 0.4205 R2 0.7417
2026-08-30 03:43:32 |   Val R2 improved to 0.7417, model saved
2026-08-30 03:43:32 | Epoch  17/100 | Train Loss 271.9207 | Val Loss 260.1250 MAE 0.4136 R2 0.7440
2026-08-30 03:43:32 |   Val R2 improved to 0.7440, model saved
2026-08-30 03:43:32 | Epoch  18/100 | Train Loss 271.5808 | Val Loss 259.3739 MAE 0.4101 R2 0.7402
2026-08-30 03:43:32 | Epoch  19/100 | Train Loss 271.2741 | Val Loss 259.4834 MAE 0.4093 R2 0.7458
2026-08-30 03:43:32 |   Val R2 improved to 0.7458, model saved
2026-08-30 03:43:33 | Epoch  20/100 | Train Loss 270.8258 | Val Loss 258.6076 MAE 0.4078 R2 0.7417
2026-08-30 03:43:33 | Epoch  21/100 | Train Loss 270.5563 | Val Loss 258.7116 MAE 0.4119 R2 0.7449
2026-08-30 03:43:33 | Epoch  22/100 | Train Loss 270.5227 | Val Loss 258.8537 MAE 0.4048 R2 0.7509
2026-08-30 03:43:33 |   Val R2 improved to 0.7509, model saved
2026-08-30 03:43:33 | Epoch  23/100 | Train Loss 270.2454 | Val Loss 258.1572 MAE 0.4069 R2 0.7516
2026-08-30 03:43:33 |   Val R2 improved to 0.7516, model saved
2026-08-30 03:43:33 | Epoch  24/100 | Train Loss 270.1194 | Val Loss 257.8707 MAE 0.4047 R2 0.7545
2026-08-30 03:43:33 |   Val R2 improved to 0.7545, model saved
2026-08-30 03:43:33 | Epoch  25/100 | Train Loss 269.9230 | Val Loss 258.1212 MAE 0.4057 R2 0.7558
2026-08-30 03:43:33 |   Val R2 improved to 0.7558, model saved
2026-08-30 03:43:34 | Epoch  26/100 | Train Loss 269.7023 | Val Loss 257.9637 MAE 0.3974 R2 0.7527
2026-08-30 03:43:34 | Epoch  27/100 | Train Loss 269.6344 | Val Loss 257.8426 MAE 0.4095 R2 0.7549
2026-08-30 03:43:34 | Epoch  28/100 | Train Loss 269.5300 | Val Loss 257.6726 MAE 0.4068 R2 0.7580
2026-08-30 03:43:34 |   Val R2 improved to 0.7580, model saved
2026-08-30 03:43:34 | Epoch  29/100 | Train Loss 269.5587 | Val Loss 257.8606 MAE 0.4045 R2 0.7569
2026-08-30 03:43:34 | Epoch  30/100 | Train Loss 269.2573 | Val Loss 257.3090 MAE 0.3979 R2 0.7537
2026-08-30 03:43:34 | Epoch  31/100 | Train Loss 269.2157 | Val Loss 257.4351 MAE 0.3964 R2 0.7599
2026-08-30 03:43:34 |   Val R2 improved to 0.7599, model saved
2026-08-30 03:43:34 | Epoch  32/100 | Train Loss 268.9965 | Val Loss 257.0911 MAE 0.3932 R2 0.7614
2026-08-30 03:43:34 |   Val R2 improved to 0.7614, model saved
2026-08-30 03:43:35 | Epoch  33/100 | Train Loss 269.0334 | Val Loss 257.1665 MAE 0.4054 R2 0.7605
2026-08-30 03:43:35 | Epoch  34/100 | Train Loss 268.8566 | Val Loss 256.9529 MAE 0.3975 R2 0.7554
2026-08-30 03:43:35 | Epoch  35/100 | Train Loss 268.8095 | Val Loss 257.4038 MAE 0.3985 R2 0.7604
2026-08-30 03:43:35 | Epoch  36/100 | Train Loss 268.7538 | Val Loss 257.2942 MAE 0.3927 R2 0.7632
2026-08-30 03:43:35 |   Val R2 improved to 0.7632, model saved
2026-08-30 03:43:35 | Epoch  37/100 | Train Loss 268.6904 | Val Loss 256.6201 MAE 0.3934 R2 0.7654
2026-08-30 03:43:35 |   Val R2 improved to 0.7654, model saved
2026-08-30 03:43:35 | Epoch  38/100 | Train Loss 268.7001 | Val Loss 257.0364 MAE 0.3936 R2 0.7659
2026-08-30 03:43:35 |   Val R2 improved to 0.7659, model saved
2026-08-30 03:43:35 | Epoch  39/100 | Train Loss 268.3927 | Val Loss 256.6510 MAE 0.3899 R2 0.7631
2026-08-30 03:43:36 | Epoch  40/100 | Train Loss 268.3504 | Val Loss 256.4990 MAE 0.4025 R2 0.7642
2026-08-30 03:43:36 | Epoch  41/100 | Train Loss 268.2361 | Val Loss 256.5892 MAE 0.3890 R2 0.7681
