combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_lower,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_ceb_beta_0.001,mnist,mnist,ceb,0.001,,1,4.284741,2.226248,8.029393,2.939808,13.118979,0.064380,0.981700,
mnist_mlp_ceb_beta_0.001,mnist,mnist,ceb,0.001,,2,3.812888,2.226233,7.477273,2.459942,12.494605,0.066793,0.985700,
mnist_mlp_ceb_beta_0.001,mnist,mnist,ceb,0.001,,3,4.273467,2.221717,8.539710,2.997169,14.082251,0.069425,0.982200,
mnist_mlp_ceb_beta_0.001,mnist,mnist,ceb,0.001,,4,4.117835,2.227519,7.879418,2.804842,12.953994,0.062296,0.982300,
mnist_mlp_ceb_beta_0.001,mnist,mnist,ceb,0.001,,5,4.052563,2.224711,8.341193,2.768808,13.913577,0.067727,0.983300,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,,1,7.030869,2.229121,75.052430,6.603966,143.500894,0.070113,0.981300,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,,2,7.095040,2.222284,80.547686,6.587813,154.507559,0.076890,0.983200,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,,3,7.135443,2.234356,77.608704,6.581095,148.636312,0.064785,0.981700,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,,4,7.423208,2.230302,93.219690,6.695672,179.743708,0.068044,0.980000,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,,5,7.286358,2.221171,90.123149,6.672528,173.573771,0.076901,0.978100,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,6,1,3.686609,2.198951,15.982931,2.487894,29.477968,0.087926,0.984300,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,6,2,4.077228,2.204795,31.403760,3.142027,59.665493,0.082564,0.982800,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,6,3,3.649609,2.200005,16.412228,2.459251,30.365205,0.092077,0.984300,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,6,4,3.564781,2.194478,16.050033,2.325131,29.774934,0.094996,0.982600,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,6,5,3.642533,2.200343,16.672190,2.429179,30.915201,0.091592,0.984000,
mnist_mlp_opb_beta_0.5_anchor_6,mnist,mnist,opb,0.5,6,1,2.404026,2.129155,0.562088,0.295518,0.828658,0.089508,0.984100,
mnist_mlp_opb_beta_0.5_anchor_6,mnist,mnist,opb,0.5,6,2,2.403735,2.133654,0.574875,0.298616,0.851133,0.090641,0.984800,
mnist_mlp_opb_beta_0.5_anchor_6,mnist,mnist,opb,0.5,6,3,2.383199,2.133106,0.554751,0.288901,0.820600,0.089956,0.983100,
mnist_mlp_opb_beta_0.5_anchor_6,mnist,mnist,opb,0.5,6,4,2.395712,2.139885,0.529460,0.279430,0.779489,0.084506,0.985200,
mnist_mlp_opb_beta_0.5_anchor_6,mnist,mnist,opb,0.5,6,5,2.427078,2.129888,0.617263,0.320352,0.914174,0.096226,0.983000,
mnist_mlp_opb_beta_20_anchor_6,mnist,mnist,opb,20.0,6,1,1.709372,1.659801,0.171839,0.103909,0.239768,0.095557,0.983600,
mnist_mlp_opb_beta_20_anchor_6,mnist,mnist,opb,20.0,6,2,2.278521,2.046333,0.416048,0.232236,0.599861,0.094556,0.980900,
mnist_mlp_opb_beta_20_anchor_6,mnist,mnist,opb,20.0,6,3,2.343977,2.065040,0.475757,0.260513,0.691000,0.098560,0.981800,
mnist_mlp_opb_beta_20_anchor_6,mnist,mnist,opb,20.0,6,4,2.381725,2.063199,0.531713,0.285325,0.778102,0.113343,0.981300,
mnist_mlp_opb_beta_20_anchor_6,mnist,mnist,opb,20.0,6,5,2.342297,2.064198,0.492112,0.269024,0.715200,0.103118,0.982100,
