combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,CE,Acc,R2
mnist_mlp_ceb_beta_1,mnist,mnist,ceb,1.0,4,0.594022,0.674701,-0.080679,1.627884,0.496400,
mnist_mlp_ceb_beta_1,mnist,mnist,ceb,1.0,5,0.163562,0.224180,-0.060617,2.078405,0.214700,
mnist_mlp_ceb_beta_10,mnist,mnist,ceb,10.0,1,-0.000000,0.000656,-0.000656,2.301929,0.102800,
mnist_mlp_ceb_beta_10,mnist,mnist,ceb,10.0,2,-0.000000,0.001092,-0.001092,2.301493,0.113500,
mnist_mlp_ceb_beta_10,mnist,mnist,ceb,10.0,3,-0.000000,0.000435,-0.000435,2.302150,0.101000,
mnist_mlp_ceb_beta_10,mnist,mnist,ceb,10.0,4,-0.000000,0.000944,-0.000944,2.301641,0.101000,
mnist_mlp_ceb_beta_10,mnist,mnist,ceb,10.0,5,-0.000000,0.001046,-0.001046,2.301539,0.113500,
mnist_mlp_ceb_beta_15,mnist,mnist,ceb,15.0,1,-0.000000,0.000653,-0.000653,2.301932,0.102800,
mnist_mlp_ceb_beta_15,mnist,mnist,ceb,15.0,2,-0.000000,0.001091,-0.001091,2.301494,0.113500,
mnist_mlp_ceb_beta_15,mnist,mnist,ceb,15.0,3,-0.000000,0.000430,-0.000430,2.302155,0.101000,
mnist_mlp_ceb_beta_15,mnist,mnist,ceb,15.0,4,-0.000000,0.000942,-0.000942,2.301643,0.101000,
mnist_mlp_ceb_beta_15,mnist,mnist,ceb,15.0,5,-0.000000,0.001044,-0.001044,2.301541,0.113500,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,1,-0.000000,0.000651,-0.000651,2.301934,0.102800,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,2,-0.000000,0.001090,-0.001090,2.301495,0.113500,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,3,-0.000000,0.000427,-0.000427,2.302158,0.101000,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,4,-0.000000,0.000941,-0.000941,2.301644,0.101000,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,5,-0.000000,0.001043,-0.001043,2.301542,0.113500,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,1,-0.000000,0.000649,-0.000649,2.301936,0.102800,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,2,-0.000000,0.001090,-0.001090,2.301496,0.113500,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,3,-0.000000,0.000426,-0.000426,2.302159,0.101000,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,4,-0.000000,0.000940,-0.000940,2.301645,0.101000,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,5,-0.000000,0.001043,-0.001043,2.301542,0.113500,
mnist_mlp_ceb_beta_5,mnist,mnist,ceb,5.0,1,-0.000000,0.000665,-0.000665,2.301920,0.102800,
mnist_mlp_ceb_beta_5,mnist,mnist,ceb,5.0,2,-0.000000,0.001097,-0.001097,2.301488,0.113500,
mnist_mlp_ceb_beta_5,mnist,mnist,ceb,5.0,3,-0.000000,0.000450,-0.000450,2.302135,0.101000,
mnist_mlp_ceb_beta_5,mnist,mnist,ceb,5.0,4,-0.000000,0.000951,-0.000951,2.301634,0.101000,
mnist_mlp_ceb_beta_5,mnist,mnist,ceb,5.0,5,-0.000000,0.001054,-0.001054,2.301532,0.113500,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,1,7.165429,2.232472,4.932957,0.070113,0.981300,
