combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_ceb_beta_0.5,mnist,mnist,ceb,0.5,,5,2.166605,1.951990,0.223082,0.628676,0.204255,0.965400,
mnist_mlp_ceb_beta_1,mnist,mnist,ceb,1.0,,1,-0.000000,-0.041995,-0.000001,0.000006,2.301848,0.102800,
mnist_mlp_ceb_beta_1,mnist,mnist,ceb,1.0,,2,0.510632,0.473329,0.020623,0.046396,1.700751,0.311900,
mnist_mlp_ceb_beta_1,mnist,mnist,ceb,1.0,,3,0.172891,0.159280,0.004751,0.009981,2.067732,0.215100,
mnist_mlp_ceb_beta_1,mnist,mnist,ceb,1.0,,4,0.593209,0.510438,0.036113,0.080549,1.627884,0.496400,
mnist_mlp_ceb_beta_1,mnist,mnist,ceb,1.0,,5,0.164717,0.151874,0.004964,0.010427,2.078405,0.214700,
mnist_mlp_ceb_beta_10,mnist,mnist,ceb,10.0,,1,-0.000000,-0.042486,-0.000011,-0.000004,2.301929,0.102800,
mnist_mlp_ceb_beta_10,mnist,mnist,ceb,10.0,,2,-0.000000,-0.040294,0.000005,0.000012,2.301493,0.113500,
mnist_mlp_ceb_beta_10,mnist,mnist,ceb,10.0,,3,-0.000000,-0.040299,-0.000008,-0.000001,2.302150,0.101000,
mnist_mlp_ceb_beta_10,mnist,mnist,ceb,10.0,,4,-0.000000,-0.042316,-0.000012,-0.000005,2.301641,0.101000,
mnist_mlp_ceb_beta_10,mnist,mnist,ceb,10.0,,5,-0.000000,-0.042829,-0.000013,-0.000006,2.301539,0.113500,
mnist_mlp_ceb_beta_15,mnist,mnist,ceb,15.0,,1,-0.000000,-0.042510,0.000005,0.000012,2.301932,0.102800,
mnist_mlp_ceb_beta_15,mnist,mnist,ceb,15.0,,2,-0.000000,-0.040315,0.000006,0.000013,2.301494,0.113500,
mnist_mlp_ceb_beta_15,mnist,mnist,ceb,15.0,,3,-0.000000,-0.040323,-0.000007,-0.000000,2.302155,0.101000,
mnist_mlp_ceb_beta_15,mnist,mnist,ceb,15.0,,4,-0.000000,-0.042335,-0.000008,-0.000001,2.301643,0.101000,
mnist_mlp_ceb_beta_15,mnist,mnist,ceb,15.0,,5,-0.000000,-0.042854,0.000012,0.000019,2.301541,0.113500,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,,1,-0.000000,-0.042522,0.000009,0.000016,2.301934,0.102800,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,,2,-0.000000,-0.040326,-0.000000,0.000006,2.301495,0.113500,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,,3,-0.000000,-0.040335,-0.000002,0.000005,2.302158,0.101000,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,,4,-0.000000,-0.042344,-0.000003,0.000004,2.301644,0.101000,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,,5,-0.000000,-0.042865,0.000003,0.000010,2.301542,0.113500,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,,1,-0.000000,-0.042530,0.000009,0.000016,2.301936,0.102800,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,,2,-0.000000,-0.040332,0.000004,0.000011,2.301496,0.113500,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,,3,-0.000000,-0.040342,-0.000009,-0.000002,2.302159,0.101000,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,,4,-0.000000,-0.042350,-0.000003,0.000004,2.301645,0.101000,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,,5,-0.000000,-0.042873,-0.000011,-0.000004,2.301542,0.113500,
mnist_mlp_ceb_beta_5,mnist,mnist,ceb,5.0,,1,-0.000000,-0.042413,-0.000018,-0.000011,2.301920,0.102800,
mnist_mlp_ceb_beta_5,mnist,mnist,ceb,5.0,,2,-0.000000,-0.040233,-0.000002,0.000004,2.301488,0.113500,
mnist_mlp_ceb_beta_5,mnist,mnist,ceb,5.0,,3,-0.000000,-0.040227,-0.000000,0.000007,2.302135,0.101000,
mnist_mlp_ceb_beta_5,mnist,mnist,ceb,5.0,,4,-0.000000,-0.042258,0.000001,0.000008,2.301634,0.101000,
mnist_mlp_ceb_beta_5,mnist,mnist,ceb,5.0,,5,-0.000000,-0.042756,-0.000015,-0.000008,2.301532,0.113500,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,,1,7.030869,2.229121,6.603966,143.500894,0.070113,0.981300,
mnist_mlp_ceb_beta_5e-05,mnist,mnist,ceb,5e-05,,2,7.095040,2.222284,6.587813,154.507559,0.076890,0.983200,
