combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_opb_beta_0.5_anchor_1,mnist,mnist,opb,0.5,1,1,1.993153,1.852292,0.205493,0.497332,0.185691,0.977800,
mnist_mlp_opb_beta_0.5_anchor_1,mnist,mnist,opb,0.5,1,2,2.027314,1.916517,0.211751,0.525601,0.146191,0.978800,
mnist_mlp_opb_beta_0.5_anchor_1,mnist,mnist,opb,0.5,1,3,1.994081,1.835599,0.203348,0.495399,0.195283,0.977200,
mnist_mlp_opb_beta_0.5_anchor_1,mnist,mnist,opb,0.5,1,4,1.986392,1.762493,0.214982,0.525694,0.261462,0.975400,
mnist_mlp_opb_beta_0.5_anchor_1,mnist,mnist,opb,0.5,1,5,2.067257,1.887273,0.218226,0.539617,0.170176,0.978600,
mnist_mlp_opb_beta_0.5_anchor_12,mnist,mnist,opb,0.5,12,1,2.602592,2.071290,0.510085,1.834134,0.181565,0.986000,
mnist_mlp_opb_beta_0.5_anchor_12,mnist,mnist,opb,0.5,12,2,2.450381,2.118619,0.341360,1.113370,0.123746,0.985100,
mnist_mlp_opb_beta_0.5_anchor_12,mnist,mnist,opb,0.5,12,3,2.460862,2.110585,0.357928,1.162847,0.136969,0.985300,
mnist_mlp_opb_beta_0.5_anchor_12,mnist,mnist,opb,0.5,12,4,2.748425,1.991767,0.658396,2.617546,0.261187,0.985500,
mnist_mlp_opb_beta_0.5_anchor_12,mnist,mnist,opb,0.5,12,5,2.547216,2.087310,0.425302,1.482453,0.166238,0.985900,
mnist_mlp_opb_beta_0.5_anchor_6,mnist,mnist,opb,0.5,6,1,2.404026,2.129155,0.295518,0.828658,0.089508,0.984100,
mnist_mlp_opb_beta_0.5_anchor_6,mnist,mnist,opb,0.5,6,2,2.403735,2.133654,0.298616,0.851133,0.090641,0.984800,
mnist_mlp_opb_beta_0.5_anchor_6,mnist,mnist,opb,0.5,6,3,2.383199,2.133106,0.288901,0.820600,0.089956,0.983100,
mnist_mlp_opb_beta_0.5_anchor_6,mnist,mnist,opb,0.5,6,4,2.395712,2.139885,0.279430,0.779489,0.084506,0.985200,
mnist_mlp_opb_beta_0.5_anchor_6,mnist,mnist,opb,0.5,6,5,2.427078,2.129888,0.320352,0.914174,0.096226,0.983000,
mnist_mlp_opb_beta_10_anchor_1,mnist,mnist,opb,10.0,1,1,0.168670,0.187002,0.008002,0.016780,1.975258,0.978400,
mnist_mlp_opb_beta_10_anchor_1,mnist,mnist,opb,10.0,1,2,0.227493,0.255611,0.011662,0.024919,1.888721,0.978900,
mnist_mlp_opb_beta_10_anchor_1,mnist,mnist,opb,10.0,1,3,0.291418,0.312558,0.018120,0.037150,1.707691,0.975300,
mnist_mlp_opb_beta_10_anchor_1,mnist,mnist,opb,10.0,1,4,0.356966,0.379801,0.022594,0.046413,1.609046,0.976300,
mnist_mlp_opb_beta_10_anchor_1,mnist,mnist,opb,10.0,1,5,0.252719,0.279132,0.012875,0.026527,1.813511,0.978500,
mnist_mlp_opb_beta_10_anchor_12,mnist,mnist,opb,10.0,12,1,1.984039,1.917661,0.136917,0.332773,0.062599,0.984000,
mnist_mlp_opb_beta_10_anchor_12,mnist,mnist,opb,10.0,12,2,2.120723,2.012239,0.172468,0.432319,0.068151,0.984300,
mnist_mlp_opb_beta_10_anchor_12,mnist,mnist,opb,10.0,12,3,2.398241,2.095802,0.292176,0.844438,0.115970,0.984200,
mnist_mlp_opb_beta_10_anchor_12,mnist,mnist,opb,10.0,12,4,2.390761,2.099821,0.300542,0.884407,0.118561,0.982500,
mnist_mlp_opb_beta_10_anchor_12,mnist,mnist,opb,10.0,12,5,2.330487,2.092642,0.255638,0.716885,0.104841,0.983000,
mnist_mlp_opb_beta_10_anchor_6,mnist,mnist,opb,10.0,6,1,2.227086,2.032851,0.210604,0.533711,0.083284,0.982800,
mnist_mlp_opb_beta_10_anchor_6,mnist,mnist,opb,10.0,6,2,2.379629,2.058167,0.291212,0.805598,0.119010,0.980500,
mnist_mlp_opb_beta_10_anchor_6,mnist,mnist,opb,10.0,6,3,2.374166,2.069822,0.274725,0.741571,0.103592,0.983000,
mnist_mlp_opb_beta_10_anchor_6,mnist,mnist,opb,10.0,6,4,2.375620,2.069637,0.277936,0.748589,0.102358,0.983600,
mnist_mlp_opb_beta_10_anchor_6,mnist,mnist,opb,10.0,6,5,2.379909,2.069328,0.293655,0.806900,0.113230,0.982000,
mnist_mlp_opb_beta_15_anchor_1,mnist,mnist,opb,15.0,1,1,0.119336,0.129371,0.005870,0.012076,2.049975,0.970300,
mnist_mlp_opb_beta_15_anchor_1,mnist,mnist,opb,15.0,1,2,0.159782,0.176619,0.008241,0.017064,1.971967,0.978100,
mnist_mlp_opb_beta_15_anchor_1,mnist,mnist,opb,15.0,1,3,0.225037,0.243606,0.012392,0.025633,1.831311,0.978700,
mnist_mlp_opb_beta_15_anchor_1,mnist,mnist,opb,15.0,1,4,0.298619,0.322199,0.017224,0.035292,1.709186,0.977100,
mnist_mlp_opb_beta_15_anchor_1,mnist,mnist,opb,15.0,1,5,0.182851,0.200949,0.009099,0.018981,1.934772,0.979800,
mnist_mlp_opb_beta_15_anchor_12,mnist,mnist,opb,15.0,12,1,2.310883,2.099507,0.234750,0.630153,0.086990,0.983700,
mnist_mlp_opb_beta_15_anchor_12,mnist,mnist,opb,15.0,12,2,2.287857,2.086841,0.230613,0.614841,0.087644,0.984900,
mnist_mlp_opb_beta_15_anchor_12,mnist,mnist,opb,15.0,12,3,2.299031,2.098992,0.228753,0.622701,0.081647,0.984400,
mnist_mlp_opb_beta_15_anchor_12,mnist,mnist,opb,15.0,12,4,1.819515,1.780992,0.111910,0.266800,0.079497,0.983000,
mnist_mlp_opb_beta_15_anchor_12,mnist,mnist,opb,15.0,12,5,2.373522,2.093477,0.283458,0.813864,0.112059,0.984000,
mnist_mlp_opb_beta_15_anchor_6,mnist,mnist,opb,15.0,6,1,2.338047,2.065176,0.263732,0.707280,0.103453,0.982300,
mnist_mlp_opb_beta_15_anchor_6,mnist,mnist,opb,15.0,6,2,2.349661,2.053216,0.275441,0.749294,0.113265,0.980700,
mnist_mlp_opb_beta_15_anchor_6,mnist,mnist,opb,15.0,6,3,2.354684,2.062403,0.266664,0.712717,0.099649,0.982500,
mnist_mlp_opb_beta_15_anchor_6,mnist,mnist,opb,15.0,6,4,2.395415,2.067957,0.292466,0.805864,0.112924,0.981500,
mnist_mlp_opb_beta_15_anchor_6,mnist,mnist,opb,15.0,6,5,2.360419,2.063950,0.280859,0.760670,0.110820,0.980400,
mnist_mlp_opb_beta_1_anchor_1,mnist,mnist,opb,1.0,1,1,1.416619,1.552347,0.132684,0.298039,0.469288,0.975100,
mnist_mlp_opb_beta_1_anchor_1,mnist,mnist,opb,1.0,1,2,1.371579,1.435915,0.118041,0.259609,0.539866,0.977100,
mnist_mlp_opb_beta_1_anchor_1,mnist,mnist,opb,1.0,1,3,1.385641,1.493975,0.124826,0.279721,0.481069,0.976500,
mnist_mlp_opb_beta_1_anchor_1,mnist,mnist,opb,1.0,1,4,1.256454,1.209878,0.111522,0.242350,0.721527,0.974500,
mnist_mlp_opb_beta_1_anchor_1,mnist,mnist,opb,1.0,1,5,1.617414,1.878488,0.173500,0.416276,0.217247,0.978700,
mnist_mlp_opb_beta_1_anchor_12,mnist,mnist,opb,1.0,12,1,2.503332,2.080616,0.387134,1.257768,0.161577,0.983700,
mnist_mlp_opb_beta_1_anchor_12,mnist,mnist,opb,1.0,12,2,2.544403,2.067232,0.423329,1.438645,0.178906,0.984200,
mnist_mlp_opb_beta_1_anchor_12,mnist,mnist,opb,1.0,12,3,2.331843,2.125073,0.237872,0.665834,0.081990,0.985300,
mnist_mlp_opb_beta_1_anchor_12,mnist,mnist,opb,1.0,12,4,2.403513,2.113429,0.305072,0.921627,0.114609,0.983600,
mnist_mlp_opb_beta_1_anchor_12,mnist,mnist,opb,1.0,12,5,2.429599,2.108730,0.310428,0.951669,0.121738,0.984400,
mnist_mlp_opb_beta_1_anchor_6,mnist,mnist,opb,1.0,6,1,2.398528,2.116820,0.284309,0.782261,0.097363,0.983800,
mnist_mlp_opb_beta_1_anchor_6,mnist,mnist,opb,1.0,6,2,2.409386,2.107082,0.301964,0.837458,0.097337,0.983800,
mnist_mlp_opb_beta_1_anchor_6,mnist,mnist,opb,1.0,6,3,2.420947,2.114559,0.305418,0.848466,0.094393,0.983400,
mnist_mlp_opb_beta_1_anchor_6,mnist,mnist,opb,1.0,6,4,2.409348,2.117152,0.291767,0.809949,0.092228,0.985100,
mnist_mlp_opb_beta_1_anchor_6,mnist,mnist,opb,1.0,6,5,2.364974,2.116629,0.265168,0.724906,0.085837,0.983800,
mnist_mlp_opb_beta_20_anchor_1,mnist,mnist,opb,20.0,1,1,0.093956,0.097258,0.004805,0.009792,2.081680,0.973500,
mnist_mlp_opb_beta_20_anchor_1,mnist,mnist,opb,20.0,1,2,0.159039,0.174805,0.008839,0.018149,1.951633,0.977800,
mnist_mlp_opb_beta_20_anchor_1,mnist,mnist,opb,20.0,1,3,0.205650,0.220038,0.011381,0.023194,1.860904,0.978200,
mnist_mlp_opb_beta_20_anchor_1,mnist,mnist,opb,20.0,1,4,0.270848,0.287558,0.016152,0.032828,1.739649,0.977500,
mnist_mlp_opb_beta_20_anchor_1,mnist,mnist,opb,20.0,1,5,0.137645,0.149650,0.006815,0.014199,2.010288,0.980000,
mnist_mlp_opb_beta_20_anchor_12,mnist,mnist,opb,20.0,12,1,2.234520,2.075016,0.202314,0.520529,0.073396,0.984400,
mnist_mlp_opb_beta_20_anchor_12,mnist,mnist,opb,20.0,12,2,2.280515,2.081809,0.231072,0.617382,0.090193,0.984000,
mnist_mlp_opb_beta_20_anchor_12,mnist,mnist,opb,20.0,12,3,2.403248,2.090558,0.291866,0.846812,0.115395,0.983000,
mnist_mlp_opb_beta_20_anchor_12,mnist,mnist,opb,20.0,12,4,2.037817,1.952575,0.161841,0.399595,0.069516,0.982500,
mnist_mlp_opb_beta_20_anchor_12,mnist,mnist,opb,20.0,12,5,1.902554,1.845453,0.127305,0.302164,0.073192,0.984000,
mnist_mlp_opb_beta_20_anchor_6,mnist,mnist,opb,20.0,6,1,1.709372,1.659801,0.103909,0.239768,0.095557,0.983600,
mnist_mlp_opb_beta_20_anchor_6,mnist,mnist,opb,20.0,6,2,2.278521,2.046333,0.232236,0.599861,0.094556,0.980900,
mnist_mlp_opb_beta_20_anchor_6,mnist,mnist,opb,20.0,6,3,2.343977,2.065040,0.260513,0.691000,0.098560,0.981800,
mnist_mlp_opb_beta_20_anchor_6,mnist,mnist,opb,20.0,6,4,2.381725,2.063199,0.285325,0.778102,0.113343,0.981300,
mnist_mlp_opb_beta_20_anchor_6,mnist,mnist,opb,20.0,6,5,2.342297,2.064198,0.269024,0.715200,0.103118,0.982100,
mnist_mlp_opb_beta_25_anchor_1,mnist,mnist,opb,25.0,1,1,0.097667,0.100897,0.005344,0.010881,2.064045,0.972800,
mnist_mlp_opb_beta_25_anchor_1,mnist,mnist,opb,25.0,1,2,0.123466,0.137418,0.006658,0.013705,2.017930,0.978200,
mnist_mlp_opb_beta_25_anchor_1,mnist,mnist,opb,25.0,1,3,0.173664,0.189343,0.009118,0.018832,1.927131,0.979000,
mnist_mlp_opb_beta_25_anchor_1,mnist,mnist,opb,25.0,1,4,0.254050,0.267076,0.015303,0.031115,1.764577,0.977200,
mnist_mlp_opb_beta_25_anchor_1,mnist,mnist,opb,25.0,1,5,0.143195,0.153478,0.007510,0.015456,1.984902,0.979100,
mnist_mlp_opb_beta_25_anchor_12,mnist,mnist,opb,25.0,12,1,2.160600,2.030416,0.183977,0.467988,0.070062,0.983300,
mnist_mlp_opb_beta_25_anchor_12,mnist,mnist,opb,25.0,12,2,2.102221,1.997503,0.171009,0.430067,0.065757,0.984500,
mnist_mlp_opb_beta_25_anchor_12,mnist,mnist,opb,25.0,12,3,2.368812,2.098541,0.267805,0.755528,0.104953,0.983700,
mnist_mlp_opb_beta_25_anchor_12,mnist,mnist,opb,25.0,12,4,1.973762,1.905182,0.148483,0.358484,0.068674,0.982800,
mnist_mlp_opb_beta_25_anchor_12,mnist,mnist,opb,25.0,12,5,2.308271,2.087852,0.242133,0.661376,0.096476,0.984400,
mnist_mlp_opb_beta_25_anchor_6,mnist,mnist,opb,25.0,6,1,2.168341,1.996663,0.194337,0.483643,0.078288,0.982000,
mnist_mlp_opb_beta_25_anchor_6,mnist,mnist,opb,25.0,6,2,2.272124,2.039805,0.232217,0.600088,0.094433,0.980300,
mnist_mlp_opb_beta_25_anchor_6,mnist,mnist,opb,25.0,6,3,2.377789,2.071696,0.280170,0.761498,0.107825,0.982300,
mnist_mlp_opb_beta_25_anchor_6,mnist,mnist,opb,25.0,6,4,2.376121,2.069703,0.280634,0.759263,0.105030,0.981600,
mnist_mlp_opb_beta_25_anchor_6,mnist,mnist,opb,25.0,6,5,2.395271,2.040629,0.316960,0.886242,0.128967,0.980200,
mnist_mlp_opb_beta_5_anchor_1,mnist,mnist,opb,5.0,1,1,0.341853,0.381578,0.019209,0.039879,1.688941,0.977900,
mnist_mlp_opb_beta_5_anchor_1,mnist,mnist,opb,5.0,1,2,0.438698,0.493154,0.026391,0.055414,1.539394,0.976300,
mnist_mlp_opb_beta_5_anchor_1,mnist,mnist,opb,5.0,1,3,0.417364,0.449868,0.028245,0.057580,1.538010,0.973900,
mnist_mlp_opb_beta_5_anchor_1,mnist,mnist,opb,5.0,1,4,0.466654,0.495744,0.031696,0.065276,1.476946,0.974600,
mnist_mlp_opb_beta_5_anchor_1,mnist,mnist,opb,5.0,1,5,0.412312,0.452047,0.025827,0.053637,1.551138,0.976700,
mnist_mlp_opb_beta_5_anchor_12,mnist,mnist,opb,5.0,12,1,2.263907,2.093786,0.213923,0.566619,0.076241,0.984800,
mnist_mlp_opb_beta_5_anchor_12,mnist,mnist,opb,5.0,12,2,2.141099,2.021871,0.177403,0.455438,0.067576,0.984100,
mnist_mlp_opb_beta_5_anchor_12,mnist,mnist,opb,5.0,12,3,2.412600,2.100624,0.299887,0.879432,0.116867,0.984100,
mnist_mlp_opb_beta_5_anchor_12,mnist,mnist,opb,5.0,12,4,2.479084,2.088743,0.368893,1.159814,0.147725,0.984000,
mnist_mlp_opb_beta_5_anchor_12,mnist,mnist,opb,5.0,12,5,2.293841,2.085537,0.230998,0.635868,0.092040,0.983600,
mnist_mlp_opb_beta_5_anchor_6,mnist,mnist,opb,5.0,6,1,2.215287,2.041019,0.196761,0.497878,0.076261,0.983700,
mnist_mlp_opb_beta_5_anchor_6,mnist,mnist,opb,5.0,6,2,2.417154,2.064559,0.314379,0.881317,0.126277,0.981900,
mnist_mlp_opb_beta_5_anchor_6,mnist,mnist,opb,5.0,6,3,2.267228,2.054579,0.219645,0.570329,0.085455,0.983000,
mnist_mlp_opb_beta_5_anchor_6,mnist,mnist,opb,5.0,6,4,2.326112,2.074806,0.241687,0.644472,0.093622,0.983700,
mnist_mlp_opb_beta_5_anchor_6,mnist,mnist,opb,5.0,6,5,2.260020,2.052087,0.212774,0.550065,0.083034,0.984000,
mnist_mlp_opb_beta_5e-05_anchor_1,mnist,mnist,opb,5e-05,1,1,7.896489,2.234336,6.895771,19486.797171,0.068627,0.980900,
mnist_mlp_opb_beta_5e-05_anchor_1,mnist,mnist,opb,5e-05,1,2,7.932164,2.243145,6.905829,13507.048058,0.059386,0.983000,
mnist_mlp_opb_beta_5e-05_anchor_1,mnist,mnist,opb,5e-05,1,3,7.616953,2.230228,6.902395,52413.183850,0.073492,0.982600,
mnist_mlp_opb_beta_5e-05_anchor_1,mnist,mnist,opb,5e-05,1,4,7.903309,2.232192,6.906870,27387.767790,0.072628,0.981900,
mnist_mlp_opb_beta_5e-05_anchor_1,mnist,mnist,opb,5e-05,1,5,7.869608,2.239541,6.901869,20529.500740,0.065347,0.983300,
mnist_mlp_opb_beta_5e-05_anchor_12,mnist,mnist,opb,5e-05,12,1,7.789953,2.216243,6.908980,7196.542175,0.084560,0.980300,
mnist_mlp_opb_beta_5e-05_anchor_12,mnist,mnist,opb,5e-05,12,2,7.855851,2.215057,6.909392,22065.641421,0.085752,0.981700,
mnist_mlp_opb_beta_5e-05_anchor_12,mnist,mnist,opb,5e-05,12,3,7.832769,2.213737,6.909225,10176.909430,0.086189,0.979800,
mnist_mlp_opb_beta_5e-05_anchor_12,mnist,mnist,opb,5e-05,12,4,7.839513,2.186750,6.909259,47688.078782,0.114579,0.981800,
mnist_mlp_opb_beta_5e-05_anchor_12,mnist,mnist,opb,5e-05,12,5,7.822952,2.214812,6.909263,12394.628772,0.083165,0.981600,
mnist_mlp_opb_beta_5e-05_anchor_6,mnist,mnist,opb,5e-05,6,1,7.966579,2.216485,6.909285,20843.397674,0.085499,0.980800,
mnist_mlp_opb_beta_5e-05_anchor_6,mnist,mnist,opb,5e-05,6,2,7.908150,2.229029,6.905976,20569.395473,0.073749,0.981700,
mnist_mlp_opb_beta_5e-05_anchor_6,mnist,mnist,opb,5e-05,6,3,7.927794,2.226255,6.908662,20679.583546,0.073421,0.980700,
mnist_mlp_opb_beta_5e-05_anchor_6,mnist,mnist,opb,5e-05,6,4,7.944075,2.218999,6.909303,28443.305879,0.084228,0.982500,
mnist_mlp_opb_beta_5e-05_anchor_6,mnist,mnist,opb,5e-05,6,5,7.929957,2.226499,6.909300,11852.454318,0.076172,0.982100,
