config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_0.0001,3,linf,0.15,0.471000,0.521341
mnist_mlp_ceb_beta_0.0001,3,linf,0.2,0.257000,0.738821
mnist_mlp_ceb_beta_0.0001,3,linf,0.25,0.140000,0.857724
mnist_mlp_ceb_beta_0.0001,3,linf,0.3,0.094000,0.904472
mnist_mlp_ceb_beta_0.0001,3,l2,1,0.929000,0.055894
mnist_mlp_ceb_beta_0.0001,3,l2,2,0.756000,0.231707
mnist_mlp_ceb_beta_0.0001,3,l2,3,0.470000,0.522358
mnist_mlp_ceb_beta_0.0001,3,l2,4,0.238000,0.758130
mnist_mlp_ceb_beta_0.0001,3,l2,5,0.128000,0.869919
mnist_mlp_ceb_beta_0.0001,3,l2,6,0.097000,0.901423
mnist_mlp_ceb_beta_0.0001,4,none,0,0.981000,
mnist_mlp_ceb_beta_0.0001,4,linf,0.05,0.927000,0.055046
mnist_mlp_ceb_beta_0.0001,4,linf,0.1,0.773000,0.212029
mnist_mlp_ceb_beta_0.0001,4,linf,0.15,0.525000,0.464832
mnist_mlp_ceb_beta_0.0001,4,linf,0.2,0.309000,0.685015
mnist_mlp_ceb_beta_0.0001,4,linf,0.25,0.177000,0.819572
mnist_mlp_ceb_beta_0.0001,4,linf,0.3,0.121000,0.876656
mnist_mlp_ceb_beta_0.0001,4,l2,1,0.927000,0.055046
mnist_mlp_ceb_beta_0.0001,4,l2,2,0.773000,0.212029
mnist_mlp_ceb_beta_0.0001,4,l2,3,0.504000,0.486239
mnist_mlp_ceb_beta_0.0001,4,l2,4,0.270000,0.724771
mnist_mlp_ceb_beta_0.0001,4,l2,5,0.195000,0.801223
mnist_mlp_ceb_beta_0.0001,4,l2,6,0.160000,0.836901
mnist_mlp_ceb_beta_0.0001,5,none,0,0.981000,
mnist_mlp_ceb_beta_0.0001,5,linf,0.05,0.932000,0.049949
mnist_mlp_ceb_beta_0.0001,5,linf,0.1,0.781000,0.203874
mnist_mlp_ceb_beta_0.0001,5,linf,0.15,0.507000,0.483180
mnist_mlp_ceb_beta_0.0001,5,linf,0.2,0.290000,0.704383
mnist_mlp_ceb_beta_0.0001,5,linf,0.25,0.172000,0.824669
mnist_mlp_ceb_beta_0.0001,5,linf,0.3,0.121000,0.876656
mnist_mlp_ceb_beta_0.0001,5,l2,1,0.933000,0.048930
mnist_mlp_ceb_beta_0.0001,5,l2,2,0.779000,0.205912
mnist_mlp_ceb_beta_0.0001,5,l2,3,0.510000,0.480122
mnist_mlp_ceb_beta_0.0001,5,l2,4,0.273000,0.721713
mnist_mlp_ceb_beta_0.0001,5,l2,5,0.177000,0.819572
mnist_mlp_ceb_beta_0.0001,5,l2,6,0.150000,0.847095
mnist_mlp_ceb_beta_0.001,1,none,0,0.973000,
mnist_mlp_ceb_beta_0.001,1,linf,0.05,0.938000,0.035971
mnist_mlp_ceb_beta_0.001,1,linf,0.1,0.740000,0.239466
mnist_mlp_ceb_beta_0.001,1,linf,0.15,0.471000,0.515930
mnist_mlp_ceb_beta_0.001,1,linf,0.2,0.274000,0.718397
mnist_mlp_ceb_beta_0.001,1,linf,0.25,0.123000,0.873587
mnist_mlp_ceb_beta_0.001,1,linf,0.3,0.057000,0.941418
mnist_mlp_ceb_beta_0.001,1,l2,1,0.940000,0.033916
mnist_mlp_ceb_beta_0.001,1,l2,2,0.768000,0.210689
mnist_mlp_ceb_beta_0.001,1,l2,3,0.485000,0.501542
mnist_mlp_ceb_beta_0.001,1,l2,4,0.269000,0.723535
mnist_mlp_ceb_beta_0.001,1,l2,5,0.134000,0.862282
mnist_mlp_ceb_beta_0.001,1,l2,6,0.059000,0.939363
mnist_mlp_ceb_beta_0.001,2,none,0,0.985000,
mnist_mlp_ceb_beta_0.001,2,linf,0.05,0.930000,0.055838
mnist_mlp_ceb_beta_0.001,2,linf,0.1,0.759000,0.229442
mnist_mlp_ceb_beta_0.001,2,linf,0.15,0.489000,0.503553
mnist_mlp_ceb_beta_0.001,2,linf,0.2,0.310000,0.685279
mnist_mlp_ceb_beta_0.001,2,linf,0.25,0.162000,0.835533
mnist_mlp_ceb_beta_0.001,2,linf,0.3,0.080000,0.918782
mnist_mlp_ceb_beta_0.001,2,l2,1,0.928000,0.057868
mnist_mlp_ceb_beta_0.001,2,l2,2,0.757000,0.231472
mnist_mlp_ceb_beta_0.001,2,l2,3,0.498000,0.494416
mnist_mlp_ceb_beta_0.001,2,l2,4,0.287000,0.708629
mnist_mlp_ceb_beta_0.001,2,l2,5,0.143000,0.854822
mnist_mlp_ceb_beta_0.001,2,l2,6,0.082000,0.916751
mnist_mlp_ceb_beta_0.001,3,none,0,0.982000,
mnist_mlp_ceb_beta_0.001,3,linf,0.05,0.938000,0.044806
mnist_mlp_ceb_beta_0.001,3,linf,0.1,0.790000,0.195519
mnist_mlp_ceb_beta_0.001,3,linf,0.15,0.500000,0.490835
mnist_mlp_ceb_beta_0.001,3,linf,0.2,0.247000,0.748472
mnist_mlp_ceb_beta_0.001,3,linf,0.25,0.116000,0.881874
mnist_mlp_ceb_beta_0.001,3,linf,0.3,0.043000,0.956212
mnist_mlp_ceb_beta_0.001,3,l2,1,0.941000,0.041752
mnist_mlp_ceb_beta_0.001,3,l2,2,0.792000,0.193483
mnist_mlp_ceb_beta_0.001,3,l2,3,0.511000,0.479633
mnist_mlp_ceb_beta_0.001,3,l2,4,0.244000,0.751527
mnist_mlp_ceb_beta_0.001,3,l2,5,0.115000,0.882892
mnist_mlp_ceb_beta_0.001,3,l2,6,0.045000,0.954175
mnist_mlp_ceb_beta_0.001,4,none,0,0.980000,
mnist_mlp_ceb_beta_0.001,4,linf,0.05,0.928000,0.053061
mnist_mlp_ceb_beta_0.001,4,linf,0.1,0.772000,0.212245
mnist_mlp_ceb_beta_0.001,4,linf,0.15,0.457000,0.533673
mnist_mlp_ceb_beta_0.001,4,linf,0.2,0.263000,0.731633
mnist_mlp_ceb_beta_0.001,4,linf,0.25,0.125000,0.872449
mnist_mlp_ceb_beta_0.001,4,linf,0.3,0.061000,0.937755
mnist_mlp_ceb_beta_0.001,4,l2,1,0.931000,0.050000
mnist_mlp_ceb_beta_0.001,4,l2,2,0.782000,0.202041
mnist_mlp_ceb_beta_0.001,4,l2,3,0.458000,0.532653
mnist_mlp_ceb_beta_0.001,4,l2,4,0.249000,0.745918
mnist_mlp_ceb_beta_0.001,4,l2,5,0.120000,0.877551
mnist_mlp_ceb_beta_0.001,4,l2,6,0.057000,0.941837
mnist_mlp_ceb_beta_0.001,5,none,0,0.981000,
mnist_mlp_ceb_beta_0.001,5,linf,0.05,0.933000,0.048930
mnist_mlp_ceb_beta_0.001,5,linf,0.1,0.782000,0.202854
mnist_mlp_ceb_beta_0.001,5,linf,0.15,0.481000,0.509684
