combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_lower,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_ceb_beta_0.05,mnist,mnist,ceb,0.05,,1,2.618335,2.187816,1.071802,0.498123,1.645481,0.084259,0.981900,
mnist_mlp_ceb_beta_0.05,mnist,mnist,ceb,0.05,,2,2.680123,2.194450,1.162684,0.547175,1.778192,0.071387,0.981800,
mnist_mlp_ceb_beta_0.05,mnist,mnist,ceb,0.05,,3,2.688944,2.205213,1.180996,0.559844,1.802147,0.064647,0.982800,
mnist_mlp_ceb_beta_0.05,mnist,mnist,ceb,0.05,,4,2.654729,2.206875,1.149801,0.536428,1.763174,0.066613,0.984500,
mnist_mlp_ceb_beta_0.05,mnist,mnist,ceb,0.05,,5,2.666432,2.200597,1.156482,0.545797,1.767166,0.066899,0.982400,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,6,1,7.904658,2.224716,2997.133759,6.907195,5987.360324,0.077223,0.979200,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,6,2,7.890666,2.230556,2414.219217,6.904300,4821.534135,0.068897,0.979700,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,6,3,7.903402,2.224126,6375.842428,6.908697,12744.776158,0.073273,0.982900,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,6,4,7.867643,2.221068,4291.853168,6.906148,8576.800189,0.080651,0.982500,
mnist_mlp_opb_beta_0.0001_anchor_6,mnist,mnist,opb,0.0001,6,5,7.666496,2.222064,3634.993090,6.897236,7263.088943,0.081704,0.981300,
mnist_mlp_opb_beta_0.01_anchor_6,mnist,mnist,opb,0.01,6,1,3.923097,2.182453,19.502205,2.761460,36.242950,0.099485,0.981800,
mnist_mlp_opb_beta_0.01_anchor_6,mnist,mnist,opb,0.01,6,2,3.555113,2.199209,10.367090,2.079394,18.654787,0.086289,0.983300,
mnist_mlp_opb_beta_0.01_anchor_6,mnist,mnist,opb,0.01,6,3,3.483498,2.194496,8.978404,1.945540,16.011268,0.091638,0.984400,
mnist_mlp_opb_beta_0.01_anchor_6,mnist,mnist,opb,0.01,6,4,3.757959,2.191786,14.974073,2.403575,27.544571,0.092751,0.983400,
mnist_mlp_opb_beta_0.01_anchor_6,mnist,mnist,opb,0.01,6,5,3.604218,2.197689,11.107990,2.165680,20.050299,0.086669,0.982400,
mnist_mlp_opb_beta_10_anchor_6,mnist,mnist,opb,10.0,6,1,2.227086,2.032851,0.372158,0.210604,0.533711,0.083284,0.982800,
mnist_mlp_opb_beta_10_anchor_6,mnist,mnist,opb,10.0,6,2,2.379629,2.058167,0.548405,0.291212,0.805598,0.119010,0.980500,
mnist_mlp_opb_beta_10_anchor_6,mnist,mnist,opb,10.0,6,3,2.374166,2.069822,0.508148,0.274725,0.741571,0.103592,0.983000,
mnist_mlp_opb_beta_10_anchor_6,mnist,mnist,opb,10.0,6,4,2.375620,2.069637,0.513263,0.277936,0.748589,0.102358,0.983600,
mnist_mlp_opb_beta_10_anchor_6,mnist,mnist,opb,10.0,6,5,2.379909,2.069328,0.550277,0.293655,0.806900,0.113230,0.982000,
mnist_mlp_opb_beta_25_anchor_6,mnist,mnist,opb,25.0,6,1,2.168341,1.996663,0.338990,0.194337,0.483643,0.078288,0.982000,
mnist_mlp_opb_beta_25_anchor_6,mnist,mnist,opb,25.0,6,2,2.272124,2.039805,0.416153,0.232217,0.600088,0.094433,0.980300,
mnist_mlp_opb_beta_25_anchor_6,mnist,mnist,opb,25.0,6,3,2.377789,2.071696,0.520834,0.280170,0.761498,0.107825,0.982300,
mnist_mlp_opb_beta_25_anchor_6,mnist,mnist,opb,25.0,6,4,2.376121,2.069703,0.519948,0.280634,0.759263,0.105030,0.981600,
mnist_mlp_opb_beta_25_anchor_6,mnist,mnist,opb,25.0,6,5,2.395271,2.040629,0.601601,0.316960,0.886242,0.128967,0.980200,
