combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_lower,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_ceb_beta_0.0001,mnist,mnist,ceb,0.0001,,1,5.960577,2.218902,36.687220,5.786578,67.587863,0.078699,0.983200,
mnist_mlp_ceb_beta_0.0001,mnist,mnist,ceb,0.0001,,2,6.521939,2.232217,39.563776,6.037680,73.089871,0.065339,0.982400,
mnist_mlp_ceb_beta_0.0001,mnist,mnist,ceb,0.0001,,3,6.350662,2.235552,37.297509,5.959038,68.635980,0.062114,0.984100,
mnist_mlp_ceb_beta_0.0001,mnist,mnist,ceb,0.0001,,4,5.995075,2.217874,36.223480,5.833863,66.613097,0.079388,0.981900,
mnist_mlp_ceb_beta_0.0001,mnist,mnist,ceb,0.0001,,5,6.209663,2.227391,39.352398,5.963513,72.741282,0.070057,0.982500,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,,1,-0.000000,-0.042530,0.000013,0.000009,0.000016,2.301936,0.102800,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,,2,-0.000000,-0.040332,0.000008,0.000004,0.000011,2.301496,0.113500,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,,3,-0.000000,-0.040342,-0.000006,-0.000009,-0.000002,2.302159,0.101000,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,,4,-0.000000,-0.042350,0.000001,-0.000003,0.000004,2.301645,0.101000,
mnist_mlp_ceb_beta_25,mnist,mnist,ceb,25.0,,5,-0.000000,-0.042873,-0.000008,-0.000011,-0.000004,2.301542,0.113500,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,1,4.151723,2.227056,17.795714,2.909375,32.682053,0.069165,0.978700,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,2,3.696723,2.231633,12.850126,2.311715,23.388538,0.062844,0.983000,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,3,3.752584,2.228785,12.203630,2.349198,22.058063,0.065338,0.981200,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,4,3.773338,2.232292,17.258350,2.494505,32.022195,0.064369,0.982800,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,5,3.893108,2.232932,16.206107,2.599869,29.812345,0.063842,0.981200,
mnist_mlp_opb_beta_0.5_anchor_1,mnist,mnist,opb,0.5,1,1,1.993153,1.852292,0.351412,0.205493,0.497332,0.185691,0.977800,
mnist_mlp_opb_beta_0.5_anchor_1,mnist,mnist,opb,0.5,1,2,2.027314,1.916517,0.368676,0.211751,0.525601,0.146191,0.978800,
mnist_mlp_opb_beta_0.5_anchor_1,mnist,mnist,opb,0.5,1,3,1.994081,1.835599,0.349373,0.203348,0.495399,0.195283,0.977200,
mnist_mlp_opb_beta_0.5_anchor_1,mnist,mnist,opb,0.5,1,4,1.986392,1.762493,0.370338,0.214982,0.525694,0.261462,0.975400,
mnist_mlp_opb_beta_0.5_anchor_1,mnist,mnist,opb,0.5,1,5,2.067257,1.887273,0.378921,0.218226,0.539617,0.170176,0.978600,
mnist_mlp_opb_beta_20_anchor_1,mnist,mnist,opb,20.0,1,1,0.093956,0.097258,0.007298,0.004805,0.009792,2.081680,0.973500,
mnist_mlp_opb_beta_20_anchor_1,mnist,mnist,opb,20.0,1,2,0.159039,0.174805,0.013494,0.008839,0.018149,1.951633,0.977800,
mnist_mlp_opb_beta_20_anchor_1,mnist,mnist,opb,20.0,1,3,0.205650,0.220038,0.017288,0.011381,0.023194,1.860904,0.978200,
mnist_mlp_opb_beta_20_anchor_1,mnist,mnist,opb,20.0,1,4,0.270848,0.287558,0.024490,0.016152,0.032828,1.739649,0.977500,
mnist_mlp_opb_beta_20_anchor_1,mnist,mnist,opb,20.0,1,5,0.137645,0.149650,0.010507,0.006815,0.014199,2.010288,0.980000,
