config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_25_anchor_1,1,l2,4,0.234000,0.096197
mnist_mlp_opb_beta_25_anchor_1,1,l2,5,0.195000,0.085011
mnist_mlp_opb_beta_25_anchor_1,1,l2,6,0.189000,0.114094
mnist_mlp_opb_beta_25_anchor_1,2,none,0,0.525000,
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.05,0.412000,0.033058
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.1,0.367000,0.020661
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.15,0.296000,0.047521
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.2,0.251000,0.039256
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.25,0.223000,0.037190
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.3,0.204000,0.057851
mnist_mlp_opb_beta_25_anchor_1,2,l2,1,0.429000,0.020661
mnist_mlp_opb_beta_25_anchor_1,2,l2,2,0.326000,0.024793
mnist_mlp_opb_beta_25_anchor_1,2,l2,3,0.275000,0.039256
mnist_mlp_opb_beta_25_anchor_1,2,l2,4,0.247000,0.066116
mnist_mlp_opb_beta_25_anchor_1,2,l2,5,0.188000,0.049587
mnist_mlp_opb_beta_25_anchor_1,2,l2,6,0.213000,0.068182
mnist_mlp_opb_beta_25_anchor_1,3,none,0,0.646000,
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.05,0.512000,0.054237
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.1,0.376000,0.072881
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.15,0.298000,0.086441
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.2,0.257000,0.108475
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.25,0.238000,0.108475
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.3,0.219000,0.125424
mnist_mlp_opb_beta_25_anchor_1,3,l2,1,0.494000,0.050847
mnist_mlp_opb_beta_25_anchor_1,3,l2,2,0.372000,0.057627
mnist_mlp_opb_beta_25_anchor_1,3,l2,3,0.302000,0.094915
mnist_mlp_opb_beta_25_anchor_1,3,l2,4,0.253000,0.116949
mnist_mlp_opb_beta_25_anchor_1,3,l2,5,0.222000,0.133898
mnist_mlp_opb_beta_25_anchor_1,3,l2,6,0.182000,0.157627
mnist_mlp_opb_beta_25_anchor_1,4,none,0,0.710000,
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.05,0.592000,0.023364
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.1,0.473000,0.048287
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.15,0.397000,0.065421
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.2,0.304000,0.088785
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.25,0.308000,0.130841
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.3,0.256000,0.180685
mnist_mlp_opb_beta_25_anchor_1,4,l2,1,0.622000,0.023364
mnist_mlp_opb_beta_25_anchor_1,4,l2,2,0.511000,0.048287
mnist_mlp_opb_beta_25_anchor_1,4,l2,3,0.396000,0.071651
mnist_mlp_opb_beta_25_anchor_1,4,l2,4,0.355000,0.112150
mnist_mlp_opb_beta_25_anchor_1,4,l2,5,0.283000,0.157321
mnist_mlp_opb_beta_25_anchor_1,4,l2,6,0.257000,0.180685
mnist_mlp_opb_beta_25_anchor_1,5,none,0,0.570000,
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.05,0.463000,0.057582
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.1,0.343000,0.063340
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.15,0.314000,0.084453
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.2,0.239000,0.082534
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.25,0.234000,0.080614
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.3,0.207000,0.119002
mnist_mlp_opb_beta_25_anchor_1,5,l2,1,0.457000,0.044146
mnist_mlp_opb_beta_25_anchor_1,5,l2,2,0.349000,0.065259
mnist_mlp_opb_beta_25_anchor_1,5,l2,3,0.313000,0.067179
mnist_mlp_opb_beta_25_anchor_1,5,l2,4,0.255000,0.061420
mnist_mlp_opb_beta_25_anchor_1,5,l2,5,0.238000,0.092131
mnist_mlp_opb_beta_25_anchor_1,5,l2,6,0.216000,0.111324
mnist_mlp,1,none,0,0.981000,
mnist_mlp,1,linf,0.05,0.979000,0.000000
mnist_mlp,1,linf,0.1,0.966000,0.012277
mnist_mlp,1,linf,0.15,0.929000,0.046875
mnist_mlp,1,linf,0.2,0.835000,0.142857
mnist_mlp,1,linf,0.25,0.675000,0.311384
mnist_mlp,1,linf,0.3,0.438000,0.547991
mnist_mlp,1,l2,1,0.979000,0.000000
mnist_mlp,1,l2,2,0.964000,0.012277
mnist_mlp,1,l2,3,0.934000,0.046875
mnist_mlp,1,l2,4,0.837000,0.137277
mnist_mlp,1,l2,5,0.673000,0.314732
mnist_mlp,1,l2,6,0.446000,0.562500
mnist_mlp,2,none,0,0.980000,
mnist_mlp,2,linf,0.05,0.976000,0.002232
mnist_mlp,2,linf,0.1,0.961000,0.016741
mnist_mlp,2,linf,0.15,0.913000,0.062500
mnist_mlp,2,linf,0.2,0.778000,0.191964
mnist_mlp,2,linf,0.25,0.546000,0.411830
mnist_mlp,2,linf,0.3,0.309000,0.696429
mnist_mlp,2,l2,1,0.975000,0.002232
mnist_mlp,2,l2,2,0.962000,0.016741
mnist_mlp,2,l2,3,0.906000,0.071429
mnist_mlp,2,l2,4,0.776000,0.193080
mnist_mlp,2,l2,5,0.566000,0.418527
mnist_mlp,2,l2,6,0.301000,0.733259
mnist_mlp,3,none,0,0.980000,
mnist_mlp,3,linf,0.05,0.974000,0.003352
mnist_mlp,3,linf,0.1,0.967000,0.007821
mnist_mlp,3,linf,0.15,0.925000,0.045810
mnist_mlp,3,linf,0.2,0.818000,0.149721
mnist_mlp,3,linf,0.25,0.615000,0.344134
mnist_mlp,3,linf,0.3,0.403000,0.582123
mnist_mlp,3,l2,1,0.975000,0.002235
mnist_mlp,3,l2,2,0.967000,0.006704
mnist_mlp,3,l2,3,0.923000,0.046927
mnist_mlp,3,l2,4,0.808000,0.154190
mnist_mlp,3,l2,5,0.633000,0.344134
mnist_mlp,3,l2,6,0.404000,0.596648
mnist_mlp,4,none,0,0.988000,
mnist_mlp,4,linf,0.05,0.981000,0.003322
mnist_mlp,4,linf,0.1,0.970000,0.007752
mnist_mlp,4,linf,0.15,0.925000,0.043189
mnist_mlp,4,linf,0.2,0.796000,0.155039
mnist_mlp,4,linf,0.25,0.600000,0.332226
mnist_mlp,4,linf,0.3,0.374000,0.600222
mnist_mlp,4,l2,1,0.983000,0.003322
mnist_mlp,4,l2,2,0.971000,0.007752
mnist_mlp,4,l2,3,0.925000,0.043189
mnist_mlp,4,l2,4,0.792000,0.157254
mnist_mlp,4,l2,5,0.598000,0.348837
mnist_mlp,4,l2,6,0.363000,0.614618
mnist_mlp,5,none,0,0.979000,
mnist_mlp,5,linf,0.05,0.969000,0.004474
mnist_mlp,5,linf,0.1,0.955000,0.014541
mnist_mlp,5,linf,0.15,0.900000,0.055928
mnist_mlp,5,linf,0.2,0.760000,0.175615
mnist_mlp,5,linf,0.25,0.551000,0.381432
mnist_mlp,5,linf,0.3,0.342000,0.629754
mnist_mlp,5,l2,1,0.970000,0.004474
mnist_mlp,5,l2,2,0.954000,0.014541
mnist_mlp,5,l2,3,0.899000,0.059284
mnist_mlp,5,l2,4,0.762000,0.178971
mnist_mlp,5,l2,5,0.535000,0.398210
mnist_mlp,5,l2,6,0.311000,0.673378
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,none,0,0.518000,
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,linf,0.05,0.436000,0.069767
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,linf,0.1,0.405000,0.061311
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,linf,0.15,0.374000,0.069767
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,linf,0.2,0.370000,0.054968
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,linf,0.25,0.323000,0.073996
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,linf,0.3,0.313000,0.084567
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,l2,1,0.420000,0.061311
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,l2,2,0.399000,0.063425
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,l2,3,0.356000,0.057082
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,l2,4,0.363000,0.067653
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,l2,5,0.332000,0.069767
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,1,l2,6,0.333000,0.086681
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,none,0,0.523000,
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,linf,0.05,0.482000,0.016529
mnist_mlp_ceb_beta_0.1→mnist_mlp_opb_beta_25_anchor_1,2,linf,0.1,0.407000,0.026860
