combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_lower,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,,1,-0.000000,-0.042522,0.000013,0.000009,0.000016,2.301934,0.102800,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,,2,-0.000000,-0.040326,0.000003,-0.000000,0.000006,2.301495,0.113500,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,,3,-0.000000,-0.040335,0.000001,-0.000002,0.000005,2.302158,0.101000,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,,4,-0.000000,-0.042344,0.000000,-0.000003,0.000004,2.301644,0.101000,
mnist_mlp_ceb_beta_20,mnist,mnist,ceb,20.0,,5,-0.000000,-0.042865,0.000007,0.000003,0.000010,2.301542,0.113500,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,6,1,4.909817,2.210096,803.681475,5.102582,1602.260369,0.088102,0.982400,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,6,2,5.555646,2.210065,1043.906310,5.765651,2082.046968,0.088097,0.983000,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,6,3,5.459239,2.208904,1112.579092,5.694566,2219.463618,0.090603,0.982100,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,6,4,6.744012,2.225396,146.330401,6.190767,286.470036,0.073165,0.981500,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,6,5,6.035170,2.209313,291.612677,5.867117,577.358236,0.089785,0.978900,
mnist_mlp_opb_beta_0.1_anchor_6,mnist,mnist,opb,0.1,6,1,2.686308,2.146950,1.364673,0.608770,2.120577,0.105465,0.983500,
mnist_mlp_opb_beta_0.1_anchor_6,mnist,mnist,opb,0.1,6,2,2.666958,2.151776,1.354460,0.604824,2.104096,0.099618,0.983300,
mnist_mlp_opb_beta_0.1_anchor_6,mnist,mnist,opb,0.1,6,3,2.761580,2.154417,1.590079,0.702636,2.477522,0.095480,0.983600,
mnist_mlp_opb_beta_0.1_anchor_6,mnist,mnist,opb,0.1,6,4,2.528122,2.158253,0.941125,0.445255,1.436996,0.087223,0.984300,
mnist_mlp_opb_beta_0.1_anchor_6,mnist,mnist,opb,0.1,6,5,2.546063,2.161161,1.075237,0.482587,1.667886,0.102127,0.984900,
mnist_mlp_opb_beta_1_anchor_6,mnist,mnist,opb,1.0,6,1,2.398528,2.116820,0.533285,0.284309,0.782261,0.097363,0.983800,
mnist_mlp_opb_beta_1_anchor_6,mnist,mnist,opb,1.0,6,2,2.409386,2.107082,0.569711,0.301964,0.837458,0.097337,0.983800,
mnist_mlp_opb_beta_1_anchor_6,mnist,mnist,opb,1.0,6,3,2.420947,2.114559,0.576942,0.305418,0.848466,0.094393,0.983400,
mnist_mlp_opb_beta_1_anchor_6,mnist,mnist,opb,1.0,6,4,2.409348,2.117152,0.550858,0.291767,0.809949,0.092228,0.985100,
mnist_mlp_opb_beta_1_anchor_6,mnist,mnist,opb,1.0,6,5,2.364974,2.116629,0.495037,0.265168,0.724906,0.085837,0.983800,
mnist_mlp_opb_beta_5e-05_anchor_6,mnist,mnist,opb,5e-05,6,1,7.966579,2.216485,10425.153480,6.909285,20843.397674,0.085499,0.980800,
mnist_mlp_opb_beta_5e-05_anchor_6,mnist,mnist,opb,5e-05,6,2,7.908150,2.229029,10288.150724,6.905976,20569.395473,0.073749,0.981700,
mnist_mlp_opb_beta_5e-05_anchor_6,mnist,mnist,opb,5e-05,6,3,7.927794,2.226255,10343.246104,6.908662,20679.583546,0.073421,0.980700,
mnist_mlp_opb_beta_5e-05_anchor_6,mnist,mnist,opb,5e-05,6,4,7.944075,2.218999,14225.107591,6.909303,28443.305879,0.084228,0.982500,
mnist_mlp_opb_beta_5e-05_anchor_6,mnist,mnist,opb,5e-05,6,5,7.929957,2.226499,5929.681809,6.909300,11852.454318,0.076172,0.982100,
