combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_lower,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_ceb_beta_0.1,mnist,mnist,ceb,0.1,,1,2.528565,2.180749,0.821136,0.396618,1.245654,0.073950,0.982600,
mnist_mlp_ceb_beta_0.1,mnist,mnist,ceb,0.1,,2,2.525365,2.177128,0.819591,0.388811,1.250372,0.080390,0.981100,
mnist_mlp_ceb_beta_0.1,mnist,mnist,ceb,0.1,,3,2.506471,2.178978,0.779433,0.372890,1.185976,0.079554,0.982400,
mnist_mlp_ceb_beta_0.1,mnist,mnist,ceb,0.1,,4,2.545643,2.183134,0.848145,0.411709,1.284581,0.072773,0.981000,
mnist_mlp_ceb_beta_0.1,mnist,mnist,ceb,0.1,,5,2.577187,2.181005,0.936522,0.455413,1.417630,0.071481,0.980900,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,1,6.343534,2.237175,258.018891,6.090647,509.947136,0.064215,0.981200,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,2,6.109090,2.234968,718.146291,5.986413,1430.306168,0.065026,0.981100,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,3,5.538906,2.231014,746.891535,5.474797,1488.308273,0.068905,0.983800,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,4,6.326448,2.232875,288.502644,6.016788,570.988500,0.067357,0.979900,
mnist_mlp_opb_beta_0.0005_anchor_1,mnist,mnist,opb,0.0005,1,5,5.736375,2.244472,477.172800,5.592023,948.753577,0.059020,0.984500,
mnist_mlp_opb_beta_0.05_anchor_1,mnist,mnist,opb,0.05,1,1,2.640530,2.192230,1.291884,0.573313,2.010455,0.071779,0.981200,
mnist_mlp_opb_beta_0.05_anchor_1,mnist,mnist,opb,0.05,1,2,2.766555,2.205677,1.879451,0.748429,3.010474,0.066749,0.981800,
mnist_mlp_opb_beta_0.05_anchor_1,mnist,mnist,opb,0.05,1,3,2.741458,2.194300,1.714461,0.715748,2.713173,0.070390,0.982400,
mnist_mlp_opb_beta_0.05_anchor_1,mnist,mnist,opb,0.05,1,4,2.666075,2.195861,1.385209,0.602491,2.167927,0.068369,0.981200,
mnist_mlp_opb_beta_0.05_anchor_1,mnist,mnist,opb,0.05,1,5,2.705055,2.175053,1.563896,0.674319,2.453472,0.079298,0.980500,
mnist_mlp_opb_beta_15_anchor_1,mnist,mnist,opb,15.0,1,1,0.119336,0.129371,0.008973,0.005870,0.012076,2.049975,0.970300,
mnist_mlp_opb_beta_15_anchor_1,mnist,mnist,opb,15.0,1,2,0.159782,0.176619,0.012652,0.008241,0.017064,1.971967,0.978100,
mnist_mlp_opb_beta_15_anchor_1,mnist,mnist,opb,15.0,1,3,0.225037,0.243606,0.019012,0.012392,0.025633,1.831311,0.978700,
mnist_mlp_opb_beta_15_anchor_1,mnist,mnist,opb,15.0,1,4,0.298619,0.322199,0.026258,0.017224,0.035292,1.709186,0.977100,
mnist_mlp_opb_beta_15_anchor_1,mnist,mnist,opb,15.0,1,5,0.182851,0.200949,0.014040,0.009099,0.018981,1.934772,0.979800,
mnist_mlp_opb_beta_5_anchor_1,mnist,mnist,opb,5.0,1,1,0.341853,0.381578,0.029544,0.019209,0.039879,1.688941,0.977900,
mnist_mlp_opb_beta_5_anchor_1,mnist,mnist,opb,5.0,1,2,0.438698,0.493154,0.040902,0.026391,0.055414,1.539394,0.976300,
mnist_mlp_opb_beta_5_anchor_1,mnist,mnist,opb,5.0,1,3,0.417364,0.449868,0.042913,0.028245,0.057580,1.538010,0.973900,
mnist_mlp_opb_beta_5_anchor_1,mnist,mnist,opb,5.0,1,4,0.466654,0.495744,0.048486,0.031696,0.065276,1.476946,0.974600,
mnist_mlp_opb_beta_5_anchor_1,mnist,mnist,opb,5.0,1,5,0.412312,0.452047,0.039732,0.025827,0.053637,1.551138,0.976700,
