combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_lower,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_ceb_beta_0.5,mnist,mnist,ceb,0.5,,1,0.907156,0.810014,0.149249,0.084525,0.213973,1.394741,0.410800,
mnist_mlp_ceb_beta_0.5,mnist,mnist,ceb,0.5,,2,2.265673,2.045462,0.433386,0.229901,0.636871,0.101065,0.976500,
mnist_mlp_ceb_beta_0.5,mnist,mnist,ceb,0.5,,3,2.190612,1.964727,0.444445,0.222776,0.666113,0.173841,0.969000,
mnist_mlp_ceb_beta_0.5,mnist,mnist,ceb,0.5,,4,2.292778,2.071314,0.465928,0.252112,0.679745,0.085442,0.977600,
mnist_mlp_ceb_beta_0.5,mnist,mnist,ceb,0.5,,5,2.166605,1.951990,0.425879,0.223082,0.628676,0.204255,0.965400,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,12,1,7.592718,2.200582,748.139996,6.893715,1489.386276,0.098913,0.977800,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,12,2,7.647388,2.209851,965.065097,6.852597,1923.277597,0.086344,0.978800,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,12,3,7.611032,2.212185,853.758338,6.888909,1700.627767,0.087194,0.978300,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,12,4,7.615949,2.201673,1103.654546,6.876235,2200.432858,0.096288,0.981800,
mnist_mlp_opb_beta_0.0005_anchor_12,mnist,mnist,opb,0.0005,12,5,7.665743,2.213193,1311.355021,6.904669,2615.805372,0.082613,0.982200,
mnist_mlp_opb_beta_0.05_anchor_12,mnist,mnist,opb,0.05,12,1,2.626859,2.139370,1.627738,0.639355,2.616122,0.128866,0.984200,
mnist_mlp_opb_beta_0.05_anchor_12,mnist,mnist,opb,0.05,12,2,2.801267,2.106591,2.250417,0.817693,3.683141,0.158729,0.984300,
mnist_mlp_opb_beta_0.05_anchor_12,mnist,mnist,opb,0.05,12,3,2.797330,2.093508,2.205517,0.805110,3.605924,0.172747,0.983300,
mnist_mlp_opb_beta_0.05_anchor_12,mnist,mnist,opb,0.05,12,4,3.043658,2.052596,3.290867,1.094905,5.486829,0.211495,0.984900,
mnist_mlp_opb_beta_0.05_anchor_12,mnist,mnist,opb,0.05,12,5,2.609213,2.160695,1.467729,0.599023,2.336434,0.112759,0.985300,
mnist_mlp_opb_beta_15_anchor_12,mnist,mnist,opb,15.0,12,1,2.310883,2.099507,0.432452,0.234750,0.630153,0.086990,0.983700,
mnist_mlp_opb_beta_15_anchor_12,mnist,mnist,opb,15.0,12,2,2.287857,2.086841,0.422727,0.230613,0.614841,0.087644,0.984900,
mnist_mlp_opb_beta_15_anchor_12,mnist,mnist,opb,15.0,12,3,2.299031,2.098992,0.425727,0.228753,0.622701,0.081647,0.984400,
mnist_mlp_opb_beta_15_anchor_12,mnist,mnist,opb,15.0,12,4,1.819515,1.780992,0.189355,0.111910,0.266800,0.079497,0.983000,
mnist_mlp_opb_beta_15_anchor_12,mnist,mnist,opb,15.0,12,5,2.373522,2.093477,0.548661,0.283458,0.813864,0.112059,0.984000,
mnist_mlp_opb_beta_5_anchor_12,mnist,mnist,opb,5.0,12,1,2.263907,2.093786,0.390271,0.213923,0.566619,0.076241,0.984800,
mnist_mlp_opb_beta_5_anchor_12,mnist,mnist,opb,5.0,12,2,2.141099,2.021871,0.316421,0.177403,0.455438,0.067576,0.984100,
mnist_mlp_opb_beta_5_anchor_12,mnist,mnist,opb,5.0,12,3,2.412600,2.100624,0.589659,0.299887,0.879432,0.116867,0.984100,
mnist_mlp_opb_beta_5_anchor_12,mnist,mnist,opb,5.0,12,4,2.479084,2.088743,0.764353,0.368893,1.159814,0.147725,0.984000,
mnist_mlp_opb_beta_5_anchor_12,mnist,mnist,opb,5.0,12,5,2.293841,2.085537,0.433433,0.230998,0.635868,0.092040,0.983600,
