config,run,seed,mean_abs_cos_offdiag,max_abs_cos_offdiag,min_dist_offdiag,mean_diag_align,max_offdiag_align,within_scatter,between_scatter,fisher_ratio,center_norm_mean,mean_anchor_dist,axis_r2,slope,intercept,off_axis_frac,iso_ratio_mean,iso_ratio_std
mnist_mlp_ceb_beta0.1,1,0,0.11943698674440384,0.24417930841445923,6.63647985458374,0.9996546506881714,0.24026814103126526,1.373405933380127,26.958322525024414,19.628808839260326,5.222226142883301,0.28430289030075073,,,,,,
mnist_mlp_ceb_beta0.1,2,1,0.12241197377443314,0.22459957003593445,6.797043323516846,0.9995774030685425,0.2169761210680008,1.474607229232788,27.22846031188965,18.464890020955703,5.26479959487915,0.2535897195339203,,,,,,
mnist_mlp_ceb_beta0.1,3,2,0.12050598859786987,0.2447366863489151,7.098593711853027,0.9993802309036255,0.2552083134651184,1.3957433700561523,26.660079956054688,19.10098985817294,5.2112321853637695,0.3775550425052643,,,,,,
mnist_mlp_ceb_beta0.1,4,3,0.11858066916465759,0.2578452229499817,6.5357537269592285,0.99950110912323,0.2505296766757965,1.4227215051651,26.482744216918945,18.614144877107027,5.173518657684326,0.24676570296287537,,,,,,
mnist_mlp_ceb_beta0.1,5,4,0.125558540225029,0.25166699290275574,6.3429341316223145,0.9992135763168335,0.2578582167625427,1.5071566104888916,25.486656188964844,16.910423251036587,5.075318336486816,0.35048067569732666,,,,,,
mnist_mlp_opb_beta0.1_scale12,1,0,0.013594524934887886,0.04105699062347412,15.1764554977417,0.9992803335189819,0.03930443152785301,5.496799468994141,112.86483001708984,20.532826539102942,11.29091739654541,0.8383837938308716,,,,,,
mnist_mlp_opb_beta0.1_scale12,2,1,0.017114564776420593,0.06170891970396042,14.480301856994629,0.9990733861923218,0.03437131643295288,5.904545783996582,110.7181167602539,18.751335125614464,11.18397045135498,0.9722204208374023,,,,,,
mnist_mlp_opb_beta0.1_scale12,3,2,0.018441585823893547,0.06934059411287308,14.771383285522461,0.998857319355011,0.031122678890824318,6.399425983428955,106.52471923828125,16.645980360445225,10.986684799194336,1.1478086709976196,,,,,,
mnist_mlp_opb_beta0.1_scale12,4,3,0.018840057775378227,0.07827748358249664,14.53807258605957,0.9987629055976868,0.04541449248790741,6.939884185791016,109.2816390991211,15.746896659005996,11.092977523803711,1.0711135864257812,,,,,,
mnist_mlp_opb_beta0.1_scale12,5,4,0.019169913604855537,0.07368986308574677,14.67322063446045,0.9988237619400024,0.04787889122962952,6.090876579284668,109.10391998291016,17.912679490826864,11.114337921142578,1.055285930633545,,,,,,
california_mlp_ceb_beta0.1,1,0,,,,,,,,,,,0.7255041599273682,2.3318774700164795,0.882513701915741,0.01392095535993576,7.069973468780518,24.971923828125
california_mlp_ceb_beta0.1,2,1,,,,,,,,,,,0.7949255108833313,3.6339406967163086,0.5496330857276917,0.05863434821367264,8.416704177856445,27.25122833251953
california_mlp_ceb_beta0.1,3,2,,,,,,,,,,,0.7279156446456909,2.3672780990600586,1.103598952293396,0.010035752318799496,7.2211456298828125,27.494293212890625
california_mlp_ceb_beta0.1,4,3,,,,,,,,,,,0.7597990036010742,3.042558193206787,1.192923903465271,0.01702834479510784,7.8705363273620605,31.148649215698242
california_mlp_ceb_beta0.1,5,4,,,,,,,,,,,0.712138295173645,2.208944797515869,0.6666014790534973,0.013400617986917496,6.803978443145752,23.020811080932617
california_mlp_opb_beta0.1_scale12,1,0,,,,,,,,,,,0.7862701416015625,9.18068790435791,1.0675946474075317,0.00011245829227846116,22.29831314086914,81.69573211669922
california_mlp_opb_beta0.1_scale12,2,1,,,,,,,,,,,0.7912808656692505,9.591423988342285,0.9156232476234436,0.0001828803651733324,22.481403350830078,76.94921875
california_mlp_opb_beta0.1_scale12,3,2,,,,,,,,,,,0.7820461988449097,9.550896644592285,0.8951865434646606,0.0002318227634532377,23.236223220825195,86.17365264892578
california_mlp_opb_beta0.1_scale12,4,3,,,,,,,,,,,0.7880661487579346,9.32190227508545,1.0277875661849976,0.0001496047043474391,22.558536529541016,81.60352325439453
california_mlp_opb_beta0.1_scale12,5,4,,,,,,,,,,,0.7983933687210083,9.509053230285645,1.0045065879821777,0.00012940900342073292,21.944976806640625,75.56681823730469
