2026-08-26 21:06:55 | Device: cuda
2026-08-26 21:06:55 | Args: {'model': 'svib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 10.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_svib/california_mlp_svib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_svib_beta_10/train.log', 'no_save': True}
2026-08-26 21:06:55 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:07:10 | Epoch  30/100 | Train Loss 0.0584 | Val Loss 0.0588 MAE 0.9122 R2 -0.0062
2026-08-26 21:07:10 |   Val R2 improved to -0.0062, model saved
2026-08-26 21:07:10 | Epoch  31/100 | Train Loss 0.0584 | Val Loss 0.0587 MAE 0.9137 R2 -0.0046
2026-08-26 21:07:11 |   Val R2 improved to -0.0046, model saved
2026-08-26 21:07:11 | Epoch  32/100 | Train Loss 0.0583 | Val Loss 0.0586 MAE 0.9152 R2 -0.0036
2026-08-26 21:07:11 |   Val R2 improved to -0.0036, model saved
2026-08-26 21:07:11 | Epoch  33/100 | Train Loss 0.0584 | Val Loss 0.0586 MAE 0.9167 R2 -0.0029
2026-08-26 21:07:11 |   Val R2 improved to -0.0029, model saved
2026-08-26 21:07:12 | Epoch  34/100 | Train Loss 0.0580 | Val Loss 0.0585 MAE 0.9178 R2 -0.0023
2026-08-26 21:07:12 |   Val R2 improved to -0.0023, model saved
2026-08-26 21:07:12 | Epoch  35/100 | Train Loss 0.0581 | Val Loss 0.0585 MAE 0.9191 R2 -0.0017
2026-08-26 21:07:12 |   Val R2 improved to -0.0017, model saved
2026-08-26 21:07:12 | Epoch  36/100 | Train Loss 0.0580 | Val Loss 0.0585 MAE 0.9198 R2 -0.0012
2026-08-26 21:07:12 |   Val R2 improved to -0.0012, model saved
2026-08-26 21:07:12 | Epoch  37/100 | Train Loss 0.0579 | Val Loss 0.0584 MAE 0.9205 R2 -0.0008
2026-08-26 21:07:12 |   Val R2 improved to -0.0008, model saved
2026-08-26 21:07:13 | Epoch  38/100 | Train Loss 0.0582 | Val Loss 0.0584 MAE 0.9212 R2 -0.0006
2026-08-26 21:07:13 |   Val R2 improved to -0.0006, model saved
2026-08-26 21:07:13 | Epoch  39/100 | Train Loss 0.0581 | Val Loss 0.0584 MAE 0.9218 R2 -0.0006
2026-08-26 21:07:13 |   Val R2 improved to -0.0006, model saved
2026-08-26 21:07:13 | Epoch  40/100 | Train Loss 0.0580 | Val Loss 0.0584 MAE 0.9220 R2 -0.0005
2026-08-26 21:07:13 |   Val R2 improved to -0.0005, model saved
2026-08-26 21:07:13 | Epoch  41/100 | Train Loss 0.0581 | Val Loss 0.0584 MAE 0.9225 R2 -0.0005
2026-08-26 21:07:14 | Epoch  42/100 | Train Loss 0.0581 | Val Loss 0.0584 MAE 0.9230 R2 -0.0004
2026-08-26 21:07:14 |   Val R2 improved to -0.0004, model saved
2026-08-26 21:07:14 | Epoch  43/100 | Train Loss 0.0578 | Val Loss 0.0584 MAE 0.9231 R2 -0.0004
2026-08-26 21:07:14 | Epoch  44/100 | Train Loss 0.0580 | Val Loss 0.0584 MAE 0.9237 R2 -0.0003
2026-08-26 21:07:14 |   Val R2 improved to -0.0003, model saved
2026-08-26 21:07:15 | Epoch  45/100 | Train Loss 0.0579 | Val Loss 0.0584 MAE 0.9238 R2 -0.0003
2026-08-26 21:07:15 |   Val R2 improved to -0.0003, model saved
2026-08-26 21:07:15 | Epoch  46/100 | Train Loss 0.0582 | Val Loss 0.0584 MAE 0.9241 R2 -0.0003
2026-08-26 21:07:15 |   Val R2 improved to -0.0003, model saved
2026-08-26 21:07:16 | Epoch  47/100 | Train Loss 0.0582 | Val Loss 0.0584 MAE 0.9241 R2 -0.0003
2026-08-26 21:07:16 | Epoch  48/100 | Train Loss 0.0580 | Val Loss 0.0584 MAE 0.9241 R2 -0.0003
2026-08-26 21:07:16 |   Val R2 improved to -0.0003, model saved
2026-08-26 21:07:16 | Epoch  49/100 | Train Loss 0.0578 | Val Loss 0.0584 MAE 0.9241 R2 -0.0003
2026-08-26 21:07:16 | Epoch  50/100 | Train Loss 0.0580 | Val Loss 0.0584 MAE 0.9245 R2 -0.0002
2026-08-26 21:07:16 |   Val R2 improved to -0.0002, model saved
2026-08-26 21:07:16 | Epoch  51/100 | Train Loss 0.0582 | Val Loss 0.0584 MAE 0.9244 R2 -0.0002
2026-08-26 21:07:17 | Epoch  52/100 | Train Loss 0.0579 | Val Loss 0.0584 MAE 0.9245 R2 -0.0002
2026-08-26 21:07:17 | Epoch  53/100 | Train Loss 0.0579 | Val Loss 0.0584 MAE 0.9245 R2 -0.0002
2026-08-26 21:07:17 | Epoch  54/100 | Train Loss 0.0578 | Val Loss 0.0584 MAE 0.9247 R2 -0.0001
2026-08-26 21:07:17 |   Val R2 improved to -0.0001, model saved
2026-08-26 21:07:18 | Epoch  55/100 | Train Loss 0.0581 | Val Loss 0.0584 MAE 0.9246 R2 0.0000
2026-08-26 21:07:18 |   Val R2 improved to 0.0000, model saved
2026-08-26 21:07:18 | Epoch  56/100 | Train Loss 0.0579 | Val Loss 0.0584 MAE 0.9245 R2 -0.0002
2026-08-26 21:07:18 | Epoch  57/100 | Train Loss 0.0582 | Val Loss 0.0584 MAE 0.9248 R2 -0.0001
2026-08-26 21:07:18 | Epoch  58/100 | Train Loss 0.0577 | Val Loss 0.0584 MAE 0.9246 R2 0.0000
2026-08-26 21:07:19 | Epoch  59/100 | Train Loss 0.0580 | Val Loss 0.0584 MAE 0.9248 R2 0.0002
2026-08-26 21:07:19 |   Val R2 improved to 0.0002, model saved
2026-08-26 21:07:19 | Epoch  60/100 | Train Loss 0.0581 | Val Loss 0.0584 MAE 0.9245 R2 0.0001
2026-08-26 21:07:19 | Epoch  61/100 | Train Loss 0.0580 | Val Loss 0.0584 MAE 0.9249 R2 -0.0002
2026-08-26 21:07:19 | Epoch  62/100 | Train Loss 0.0578 | Val Loss 0.0584 MAE 0.9248 R2 -0.0001
2026-08-26 21:07:20 | Epoch  63/100 | Train Loss 0.0579 | Val Loss 0.0584 MAE 0.9248 R2 -0.0002
2026-08-26 21:07:20 | Epoch  64/100 | Train Loss 0.0580 | Val Loss 0.0584 MAE 0.9244 R2 -0.0002
2026-08-26 21:07:20 | Epoch  65/100 | Train Loss 0.0579 | Val Loss 0.0584 MAE 0.9248 R2 -0.0002
2026-08-26 21:07:21 | Epoch  66/100 | Train Loss 0.0580 | Val Loss 0.0584 MAE 0.9249 R2 -0.0001
2026-08-26 21:07:21 | Epoch  67/100 | Train Loss 0.0580 | Val Loss 0.0584 MAE 0.9247 R2 -0.0002
2026-08-26 21:07:22 | Epoch  68/100 | Train Loss 0.0579 | Val Loss 0.0584 MAE 0.9246 R2 -0.0002
2026-08-26 21:07:22 | Epoch  69/100 | Train Loss 0.0579 | Val Loss 0.0584 MAE 0.9246 R2 -0.0001
2026-08-26 21:07:22 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 69 (best R2 0.0002 @ Epoch 59)
2026-08-26 21:07:22 | Run 1/5 | Test (best model @ Epoch 59) | Loss 0.0557 MAE 0.9053 R2 0.0002
2026-08-26 21:07:22 | ===== Run 2/5 (seed 1) =====
2026-08-26 21:07:22 | Epoch   1/100 | Train Loss 12.9898 | Val Loss 2.1316 MAE 1.3836 R2 -1.3602
2026-08-26 21:07:22 |   Val R2 improved to -1.3602, model saved
2026-08-26 21:07:22 | Epoch   2/100 | Train Loss 0.4988 | Val Loss 0.2299 MAE 1.3020 R2 -1.1745
2026-08-26 21:07:23 |   Val R2 improved to -1.1745, model saved
2026-08-26 21:07:23 | Epoch   3/100 | Train Loss 0.1855 | Val Loss 0.1529 MAE 1.2622 R2 -1.0832
2026-08-26 21:07:23 |   Val R2 improved to -1.0832, model saved
2026-08-26 21:07:23 | Epoch   4/100 | Train Loss 0.1414 | Val Loss 0.1273 MAE 1.2123 R2 -0.9684
2026-08-26 21:07:23 |   Val R2 improved to -0.9684, model saved
2026-08-26 21:07:23 | Epoch   5/100 | Train Loss 0.1263 | Val Loss 0.1105 MAE 1.1550 R2 -0.8324
2026-08-26 21:07:23 |   Val R2 improved to -0.8324, model saved
2026-08-26 21:07:23 | Epoch   6/100 | Train Loss 0.1101 | Val Loss 0.1006 MAE 1.0983 R2 -0.6929
2026-08-26 21:07:24 |   Val R2 improved to -0.6929, model saved
2026-08-26 21:07:24 | Epoch   7/100 | Train Loss 0.1003 | Val Loss 0.0924 MAE 1.0482 R2 -0.5652
2026-08-26 21:07:24 |   Val R2 improved to -0.5652, model saved
2026-08-26 21:07:24 | Epoch   8/100 | Train Loss 0.0932 | Val Loss 0.0857 MAE 1.0087 R2 -0.4622
2026-08-26 21:07:24 |   Val R2 improved to -0.4622, model saved
2026-08-26 21:07:24 | Epoch   9/100 | Train Loss 0.0864 | Val Loss 0.0829 MAE 0.9758 R2 -0.3726
2026-08-26 21:07:24 |   Val R2 improved to -0.3726, model saved
2026-08-26 21:07:24 | Epoch  10/100 | Train Loss 0.0804 | Val Loss 0.0761 MAE 0.9501 R2 -0.2982
2026-08-26 21:07:24 |   Val R2 improved to -0.2982, model saved
2026-08-26 21:07:25 | Epoch  11/100 | Train Loss 0.0768 | Val Loss 0.0723 MAE 0.9311 R2 -0.2364
2026-08-26 21:07:25 |   Val R2 improved to -0.2364, model saved
2026-08-26 21:07:25 | Epoch  12/100 | Train Loss 0.0722 | Val Loss 0.0694 MAE 0.9173 R2 -0.1862
2026-08-26 21:07:25 |   Val R2 improved to -0.1862, model saved
