2026-08-26 21:12:22 | Device: cuda
2026-08-26 21:12:22 | Args: {'model': 'fgib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 16.0, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_fgib/california_mlp_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/california_mlp_fgib_beta_0.01_anchor_16/train.log', 'no_save': True}
2026-08-26 21:12:22 | ===== Run 1/5 (seed 0) =====
2026-08-26 21:12:33 | Epoch  36/100 | Train Loss 0.5766 | Val Loss 0.5702 MAE 0.3688 R2 0.7873
2026-08-26 21:12:33 | Epoch  37/100 | Train Loss 0.5766 | Val Loss 0.5674 MAE 0.3721 R2 0.7869
2026-08-26 21:12:33 | Epoch  38/100 | Train Loss 0.5731 | Val Loss 0.5679 MAE 0.3674 R2 0.7871
2026-08-26 21:12:33 | Epoch  39/100 | Train Loss 0.5722 | Val Loss 0.5658 MAE 0.3695 R2 0.7869
2026-08-26 21:12:34 | Epoch  40/100 | Train Loss 0.5699 | Val Loss 0.5652 MAE 0.3778 R2 0.7866
2026-08-26 21:12:34 | Epoch  41/100 | Train Loss 0.5704 | Val Loss 0.5625 MAE 0.3678 R2 0.7883
2026-08-26 21:12:34 |   Val R2 improved to 0.7883, model saved
2026-08-26 21:12:34 | Epoch  42/100 | Train Loss 0.5676 | Val Loss 0.5610 MAE 0.3632 R2 0.7866
2026-08-26 21:12:35 | Epoch  43/100 | Train Loss 0.5645 | Val Loss 0.5592 MAE 0.3659 R2 0.7901
2026-08-26 21:12:35 |   Val R2 improved to 0.7901, model saved
2026-08-26 21:12:35 | Epoch  44/100 | Train Loss 0.5652 | Val Loss 0.5606 MAE 0.3734 R2 0.7888
2026-08-26 21:12:35 | Epoch  45/100 | Train Loss 0.5623 | Val Loss 0.5608 MAE 0.3612 R2 0.7884
2026-08-26 21:12:35 | Epoch  46/100 | Train Loss 0.5623 | Val Loss 0.5593 MAE 0.3613 R2 0.7893
2026-08-26 21:12:35 | Epoch  47/100 | Train Loss 0.5606 | Val Loss 0.5593 MAE 0.3635 R2 0.7913
2026-08-26 21:12:35 |   Val R2 improved to 0.7913, model saved
2026-08-26 21:12:36 | Epoch  48/100 | Train Loss 0.5589 | Val Loss 0.5563 MAE 0.3622 R2 0.7884
2026-08-26 21:12:36 | Epoch  49/100 | Train Loss 0.5589 | Val Loss 0.5561 MAE 0.3705 R2 0.7914
2026-08-26 21:12:36 |   Val R2 improved to 0.7914, model saved
2026-08-26 21:12:36 | Epoch  50/100 | Train Loss 0.5582 | Val Loss 0.5553 MAE 0.3625 R2 0.7910
2026-08-26 21:12:37 | Epoch  51/100 | Train Loss 0.5560 | Val Loss 0.5569 MAE 0.3628 R2 0.7909
