config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.01_anchor_12,1,none,0,0.979000,
mnist_mlp_opb_beta_0.01_anchor_12,1,linf,0.3,0.468000,0.335570
mnist_mlp_opb_beta_0.01_anchor_12,1,l2,6,0.474000,0.384787
mnist_mlp_opb_beta_0.01_anchor_12,2,none,0,0.981000,
mnist_mlp_opb_beta_0.01_anchor_12,2,linf,0.3,0.357000,0.542411
mnist_mlp_opb_beta_0.01_anchor_12,2,l2,6,0.331000,0.595982
mnist_mlp_opb_beta_0.01_anchor_12,3,none,0,0.979000,
mnist_mlp_opb_beta_0.01_anchor_12,3,linf,0.3,0.287000,0.536913
mnist_mlp_opb_beta_0.01_anchor_12,3,l2,6,0.273000,0.596197
mnist_mlp_opb_beta_0.01_anchor_12,4,none,0,0.978000,
mnist_mlp_opb_beta_0.01_anchor_12,4,linf,0.3,0.598000,0.254199
mnist_mlp_opb_beta_0.01_anchor_12,4,l2,6,0.630000,0.248600
mnist_mlp_opb_beta_0.01_anchor_12,5,none,0,0.981000,
mnist_mlp_opb_beta_0.01_anchor_12,5,linf,0.3,0.334000,0.507812
mnist_mlp_opb_beta_0.01_anchor_12,5,l2,6,0.321000,0.579241
