config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_5_anchor_6,1,none,0,0.980000,
mnist_mlp_opb_beta_5_anchor_6,1,linf,0.3,0.462000,0.271508
mnist_mlp_opb_beta_5_anchor_6,1,l2,6,0.433000,0.298324
mnist_mlp_opb_beta_5_anchor_6,2,none,0,0.976000,
mnist_mlp_opb_beta_5_anchor_6,2,linf,0.3,0.433000,0.248036
mnist_mlp_opb_beta_5_anchor_6,2,l2,6,0.439000,0.297419
mnist_mlp_opb_beta_5_anchor_6,3,none,0,0.981000,
mnist_mlp_opb_beta_5_anchor_6,3,linf,0.3,0.404000,0.257525
mnist_mlp_opb_beta_5_anchor_6,3,l2,6,0.412000,0.331104
mnist_mlp_opb_beta_5_anchor_6,4,none,0,0.981000,
mnist_mlp_opb_beta_5_anchor_6,4,linf,0.3,0.393000,0.334448
mnist_mlp_opb_beta_5_anchor_6,4,l2,6,0.351000,0.397993
mnist_mlp_opb_beta_5_anchor_6,5,none,0,0.981000,
mnist_mlp_opb_beta_5_anchor_6,5,linf,0.3,0.415000,0.265329
mnist_mlp_opb_beta_5_anchor_6,5,l2,6,0.401000,0.326644
