config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_15_anchor_6,1,none,0,0.979000,
mnist_mlp_opb_beta_15_anchor_6,1,linf,0.3,0.429000,0.291620
mnist_mlp_opb_beta_15_anchor_6,1,l2,6,0.399000,0.366480
mnist_mlp_opb_beta_15_anchor_6,2,none,0,0.979000,
mnist_mlp_opb_beta_15_anchor_6,2,linf,0.3,0.452000,0.234637
mnist_mlp_opb_beta_15_anchor_6,2,l2,6,0.435000,0.281564
mnist_mlp_opb_beta_15_anchor_6,3,none,0,0.983000,
mnist_mlp_opb_beta_15_anchor_6,3,linf,0.3,0.390000,0.304783
mnist_mlp_opb_beta_15_anchor_6,3,l2,6,0.410000,0.353726
mnist_mlp_opb_beta_15_anchor_6,4,none,0,0.981000,
mnist_mlp_opb_beta_15_anchor_6,4,linf,0.3,0.398000,0.331473
mnist_mlp_opb_beta_15_anchor_6,4,l2,6,0.372000,0.385045
mnist_mlp_opb_beta_15_anchor_6,5,none,0,0.974000,
mnist_mlp_opb_beta_15_anchor_6,5,linf,0.3,0.376000,0.338202
mnist_mlp_opb_beta_15_anchor_6,5,l2,6,0.352000,0.393258
