config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_15_anchor_12,1,none,0,0.980000,
mnist_mlp_opb_beta_15_anchor_12,1,linf,0.3,0.474000,0.285714
mnist_mlp_opb_beta_15_anchor_12,1,l2,6,0.441000,0.348214
mnist_mlp_opb_beta_15_anchor_12,2,none,0,0.981000,
mnist_mlp_opb_beta_15_anchor_12,2,linf,0.3,0.392000,0.311384
mnist_mlp_opb_beta_15_anchor_12,2,l2,6,0.366000,0.381696
mnist_mlp_opb_beta_15_anchor_12,3,none,0,0.982000,
mnist_mlp_opb_beta_15_anchor_12,3,linf,0.3,0.384000,0.374165
mnist_mlp_opb_beta_15_anchor_12,3,l2,6,0.364000,0.409800
mnist_mlp_opb_beta_15_anchor_12,4,none,0,0.978000,
mnist_mlp_opb_beta_15_anchor_12,4,linf,0.3,0.425000,0.244966
mnist_mlp_opb_beta_15_anchor_12,4,l2,6,0.393000,0.276286
mnist_mlp_opb_beta_15_anchor_12,5,none,0,0.980000,
mnist_mlp_opb_beta_15_anchor_12,5,linf,0.3,0.467000,0.260045
mnist_mlp_opb_beta_15_anchor_12,5,l2,6,0.438000,0.319196
