config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_1_anchor_1,1,none,0,0.974000,
mnist_mlp_opb_beta_1_anchor_1,1,linf,0.3,0.351000,0.307865
mnist_mlp_opb_beta_1_anchor_1,1,l2,6,0.333000,0.378652
mnist_mlp_opb_beta_1_anchor_1,2,none,0,0.969000,
mnist_mlp_opb_beta_1_anchor_1,2,linf,0.3,0.294000,0.499435
mnist_mlp_opb_beta_1_anchor_1,2,l2,6,0.273000,0.517514
mnist_mlp_opb_beta_1_anchor_1,3,none,0,0.970000,
mnist_mlp_opb_beta_1_anchor_1,3,linf,0.3,0.219000,0.604966
mnist_mlp_opb_beta_1_anchor_1,3,l2,6,0.238000,0.597065
mnist_mlp_opb_beta_1_anchor_1,4,none,0,0.960000,
mnist_mlp_opb_beta_1_anchor_1,4,linf,0.3,0.280000,0.429224
mnist_mlp_opb_beta_1_anchor_1,4,l2,6,0.286000,0.442922
mnist_mlp_opb_beta_1_anchor_1,5,none,0,0.971000,
mnist_mlp_opb_beta_1_anchor_1,5,linf,0.3,0.278000,0.474634
mnist_mlp_opb_beta_1_anchor_1,5,l2,6,0.274000,0.475761
