config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.0001_anchor_1,1,none,0,0.977000,
mnist_mlp_opb_beta_0.0001_anchor_1,1,linf,0.3,0.349000,0.671525
mnist_mlp_opb_beta_0.0001_anchor_1,1,l2,6,0.342000,0.678251
mnist_mlp_opb_beta_0.0001_anchor_1,2,none,0,0.981000,
mnist_mlp_opb_beta_0.0001_anchor_1,2,linf,0.3,0.390000,0.619420
mnist_mlp_opb_beta_0.0001_anchor_1,2,l2,6,0.399000,0.606027
mnist_mlp_opb_beta_0.0001_anchor_1,3,none,0,0.977000,
mnist_mlp_opb_beta_0.0001_anchor_1,3,linf,0.3,0.406000,0.577828
mnist_mlp_opb_beta_0.0001_anchor_1,3,l2,6,0.405000,0.591265
mnist_mlp_opb_beta_0.0001_anchor_1,4,none,0,0.984000,
mnist_mlp_opb_beta_0.0001_anchor_1,4,linf,0.3,0.355000,0.605117
mnist_mlp_opb_beta_0.0001_anchor_1,4,l2,6,0.331000,0.652948
mnist_mlp_opb_beta_0.0001_anchor_1,5,none,0,0.981000,
mnist_mlp_opb_beta_0.0001_anchor_1,5,linf,0.3,0.450000,0.539062
mnist_mlp_opb_beta_0.0001_anchor_1,5,l2,6,0.437000,0.554688
