config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_25_anchor_6,1,none,0,0.978000,
mnist_mlp_opb_beta_25_anchor_6,1,linf,0.3,0.406000,0.343400
mnist_mlp_opb_beta_25_anchor_6,1,l2,6,0.379000,0.392617
mnist_mlp_opb_beta_25_anchor_6,2,none,0,0.974000,
mnist_mlp_opb_beta_25_anchor_6,2,linf,0.3,0.412000,0.284589
mnist_mlp_opb_beta_25_anchor_6,2,l2,6,0.388000,0.323960
mnist_mlp_opb_beta_25_anchor_6,3,none,0,0.982000,
mnist_mlp_opb_beta_25_anchor_6,3,linf,0.3,0.438000,0.246102
mnist_mlp_opb_beta_25_anchor_6,3,l2,6,0.442000,0.298441
mnist_mlp_opb_beta_25_anchor_6,4,none,0,0.980000,
mnist_mlp_opb_beta_25_anchor_6,4,linf,0.3,0.364000,0.367598
mnist_mlp_opb_beta_25_anchor_6,4,l2,6,0.328000,0.441341
mnist_mlp_opb_beta_25_anchor_6,5,none,0,0.977000,
mnist_mlp_opb_beta_25_anchor_6,5,linf,0.3,0.379000,0.313550
mnist_mlp_opb_beta_25_anchor_6,5,l2,6,0.407000,0.326988
