config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.001_anchor_1,1,none,0,0.980000,
mnist_mlp_opb_beta_0.001_anchor_1,1,linf,0.3,0.357000,0.604469
mnist_mlp_opb_beta_0.001_anchor_1,1,l2,6,0.339000,0.637989
mnist_mlp_opb_beta_0.001_anchor_1,2,none,0,0.980000,
mnist_mlp_opb_beta_0.001_anchor_1,2,linf,0.3,0.400000,0.605587
mnist_mlp_opb_beta_0.001_anchor_1,2,l2,6,0.416000,0.594413
mnist_mlp_opb_beta_0.001_anchor_1,3,none,0,0.977000,
mnist_mlp_opb_beta_0.001_anchor_1,3,linf,0.3,0.402000,0.594170
mnist_mlp_opb_beta_0.001_anchor_1,3,l2,6,0.384000,0.616592
mnist_mlp_opb_beta_0.001_anchor_1,4,none,0,0.980000,
mnist_mlp_opb_beta_0.001_anchor_1,4,linf,0.3,0.523000,0.426816
mnist_mlp_opb_beta_0.001_anchor_1,4,l2,6,0.504000,0.440223
mnist_mlp_opb_beta_0.001_anchor_1,5,none,0,0.977000,
mnist_mlp_opb_beta_0.001_anchor_1,5,linf,0.3,0.407000,0.576233
mnist_mlp_opb_beta_0.001_anchor_1,5,l2,6,0.369000,0.621076
