config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.0001_anchor_6,1,none,0,0.979000,
mnist_mlp_opb_beta_0.0001_anchor_6,1,linf,0.3,0.302000,0.686801
mnist_mlp_opb_beta_0.0001_anchor_6,1,l2,6,0.323000,0.668904
mnist_mlp_opb_beta_0.0001_anchor_6,2,none,0,0.980000,
mnist_mlp_opb_beta_0.0001_anchor_6,2,linf,0.3,0.361000,0.661452
mnist_mlp_opb_beta_0.0001_anchor_6,2,l2,6,0.389000,0.614525
mnist_mlp_opb_beta_0.0001_anchor_6,3,none,0,0.978000,
mnist_mlp_opb_beta_0.0001_anchor_6,3,linf,0.3,0.422000,0.510638
mnist_mlp_opb_beta_0.0001_anchor_6,3,l2,6,0.446000,0.496081
mnist_mlp_opb_beta_0.0001_anchor_6,4,none,0,0.982000,
mnist_mlp_opb_beta_0.0001_anchor_6,4,linf,0.3,0.334000,0.633222
mnist_mlp_opb_beta_0.0001_anchor_6,4,l2,6,0.333000,0.622074
mnist_mlp_opb_beta_0.0001_anchor_6,5,none,0,0.978000,
mnist_mlp_opb_beta_0.0001_anchor_6,5,linf,0.3,0.380000,0.569989
mnist_mlp_opb_beta_0.0001_anchor_6,5,l2,6,0.389000,0.554311
