config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.5_anchor_1,1,none,0,0.978000,
mnist_mlp_opb_beta_0.5_anchor_1,1,linf,0.3,0.293000,0.486577
mnist_mlp_opb_beta_0.5_anchor_1,1,l2,6,0.296000,0.505593
mnist_mlp_opb_beta_0.5_anchor_1,2,none,0,0.972000,
mnist_mlp_opb_beta_0.5_anchor_1,2,linf,0.3,0.331000,0.339346
mnist_mlp_opb_beta_0.5_anchor_1,2,l2,6,0.313000,0.365276
mnist_mlp_opb_beta_0.5_anchor_1,3,none,0,0.977000,
mnist_mlp_opb_beta_0.5_anchor_1,3,linf,0.3,0.254000,0.533035
mnist_mlp_opb_beta_0.5_anchor_1,3,l2,6,0.258000,0.549832
mnist_mlp_opb_beta_0.5_anchor_1,4,none,0,0.970000,
mnist_mlp_opb_beta_0.5_anchor_1,4,linf,0.3,0.286000,0.454340
mnist_mlp_opb_beta_0.5_anchor_1,4,l2,6,0.311000,0.445321
mnist_mlp_opb_beta_0.5_anchor_1,5,none,0,0.968000,
mnist_mlp_opb_beta_0.5_anchor_1,5,linf,0.3,0.329000,0.366931
mnist_mlp_opb_beta_0.5_anchor_1,5,l2,6,0.306000,0.412231
