config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_5_anchor_1,1,none,0,0.785000,
mnist_mlp_opb_beta_5_anchor_1,1,linf,0.3,0.210000,0.116573
mnist_mlp_opb_beta_5_anchor_1,1,l2,6,0.218000,0.116573
mnist_mlp_opb_beta_5_anchor_1,2,none,0,0.862000,
mnist_mlp_opb_beta_5_anchor_1,2,linf,0.3,0.261000,0.123253
mnist_mlp_opb_beta_5_anchor_1,2,l2,6,0.248000,0.158831
mnist_mlp_opb_beta_5_anchor_1,3,none,0,0.836000,
mnist_mlp_opb_beta_5_anchor_1,3,linf,0.3,0.265000,0.247694
mnist_mlp_opb_beta_5_anchor_1,3,l2,6,0.248000,0.238472
mnist_mlp_opb_beta_5_anchor_1,4,none,0,0.863000,
mnist_mlp_opb_beta_5_anchor_1,4,linf,0.3,0.253000,0.359795
mnist_mlp_opb_beta_5_anchor_1,4,l2,6,0.235000,0.363636
mnist_mlp_opb_beta_5_anchor_1,5,none,0,0.845000,
mnist_mlp_opb_beta_5_anchor_1,5,linf,0.3,0.264000,0.121094
mnist_mlp_opb_beta_5_anchor_1,5,l2,6,0.273000,0.130208
