config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.001_anchor_6,1,none,0,0.977000,
mnist_mlp_opb_beta_0.001_anchor_6,1,linf,0.3,0.378000,0.561659
mnist_mlp_opb_beta_0.001_anchor_6,1,l2,6,0.358000,0.598655
mnist_mlp_opb_beta_0.001_anchor_6,2,none,0,0.979000,
mnist_mlp_opb_beta_0.001_anchor_6,2,linf,0.3,0.320000,0.646532
mnist_mlp_opb_beta_0.001_anchor_6,2,l2,6,0.307000,0.685682
mnist_mlp_opb_beta_0.001_anchor_6,3,none,0,0.986000,
mnist_mlp_opb_beta_0.001_anchor_6,3,linf,0.3,0.323000,0.614872
mnist_mlp_opb_beta_0.001_anchor_6,3,l2,6,0.340000,0.603774
mnist_mlp_opb_beta_0.001_anchor_6,4,none,0,0.983000,
mnist_mlp_opb_beta_0.001_anchor_6,4,linf,0.3,0.396000,0.562361
mnist_mlp_opb_beta_0.001_anchor_6,4,l2,6,0.417000,0.528953
mnist_mlp_opb_beta_0.001_anchor_6,5,none,0,0.979000,
mnist_mlp_opb_beta_0.001_anchor_6,5,linf,0.3,0.354000,0.595078
mnist_mlp_opb_beta_0.001_anchor_6,5,l2,6,0.374000,0.591723
