config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.001_anchor_12,1,none,0,0.972000,
mnist_mlp_opb_beta_0.001_anchor_12,1,linf,0.3,0.364000,0.525366
mnist_mlp_opb_beta_0.001_anchor_12,1,l2,6,0.372000,0.542277
mnist_mlp_opb_beta_0.001_anchor_12,2,none,0,0.981000,
mnist_mlp_opb_beta_0.001_anchor_12,2,linf,0.3,0.330000,0.691964
mnist_mlp_opb_beta_0.001_anchor_12,2,l2,6,0.373000,0.635045
mnist_mlp_opb_beta_0.001_anchor_12,3,none,0,0.978000,
mnist_mlp_opb_beta_0.001_anchor_12,3,linf,0.3,0.390000,0.592385
mnist_mlp_opb_beta_0.001_anchor_12,3,l2,6,0.410000,0.561030
mnist_mlp_opb_beta_0.001_anchor_12,4,none,0,0.981000,
mnist_mlp_opb_beta_0.001_anchor_12,4,linf,0.3,0.496000,0.405134
mnist_mlp_opb_beta_0.001_anchor_12,4,l2,6,0.539000,0.380580
mnist_mlp_opb_beta_0.001_anchor_12,5,none,0,0.977000,
mnist_mlp_opb_beta_0.001_anchor_12,5,linf,0.3,0.409000,0.414334
mnist_mlp_opb_beta_0.001_anchor_12,5,l2,6,0.420000,0.431131
