2026-09-02 01:59:29 | Device: cuda
2026-09-02 01:59:29 | Args: {'model': 'opb', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'energy_classifier': False, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_opb/cora_gnn_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/cora_gnn_opb_beta_0.01_anchor_4/train.log', 'no_save': True}
2026-09-02 01:59:31 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-09-02 01:59:32 | ===== Run 1/5 (seed 0) =====
2026-09-02 01:59:33 | Epoch   5/100 | Train Loss 1.6454 Acc 0.4286 | Val Loss 1.3618 Acc 0.5572 AUC 0.9274 Pre 0.2342 Rec 0.3787
2026-09-02 01:59:33 |   Val AUC improved to 0.9274, model saved
2026-09-02 01:59:33 | Epoch   6/100 | Train Loss 1.4146 Acc 0.5505 | Val Loss 1.1986 Acc 0.5812 AUC 0.9404 Pre 0.2493 Rec 0.4048
2026-09-02 01:59:33 |   Val AUC improved to 0.9404, model saved
2026-09-02 01:59:33 | Epoch   7/100 | Train Loss 1.2195 Acc 0.6022 | Val Loss 1.1481 Acc 0.6476 AUC 0.9404 Pre 0.6181 Rec 0.5124
2026-09-02 01:59:33 |   Val AUC improved to 0.9404, model saved
2026-09-02 01:59:34 | Epoch   8/100 | Train Loss 1.1474 Acc 0.6509 | Val Loss 1.0579 Acc 0.7878 AUC 0.9523 Pre 0.6561 Rec 0.6872
2026-09-02 01:59:34 |   Val AUC improved to 0.9523, model saved
2026-09-02 01:59:34 | Epoch   9/100 | Train Loss 1.0138 Acc 0.7549 | Val Loss 1.0199 Acc 0.7491 AUC 0.9549 Pre 0.6447 Rec 0.6257
2026-09-02 01:59:34 |   Val AUC improved to 0.9549, model saved
2026-09-02 01:59:34 | Epoch  10/100 | Train Loss 0.9541 Acc 0.7574 | Val Loss 0.9130 Acc 0.7417 AUC 0.9637 Pre 0.5436 Rec 0.6123
2026-09-02 01:59:34 |   Val AUC improved to 0.9637, model saved
2026-09-02 01:59:34 | Epoch  11/100 | Train Loss 0.8092 Acc 0.7900 | Val Loss 0.8548 Acc 0.7620 AUC 0.9623 Pre 0.6948 Rec 0.6316
2026-09-02 01:59:34 | Epoch  12/100 | Train Loss 0.7352 Acc 0.7980 | Val Loss 0.8308 Acc 0.7878 AUC 0.9599 Pre 0.8004 Rec 0.7011
2026-09-02 01:59:34 | Epoch  13/100 | Train Loss 0.6759 Acc 0.8251 | Val Loss 0.7913 Acc 0.8469 AUC 0.9596 Pre 0.8468 Rec 0.8071
2026-09-02 01:59:34 | Epoch  14/100 | Train Loss 0.6064 Acc 0.8590 | Val Loss 0.7739 Acc 0.8542 AUC 0.9610 Pre 0.8438 Rec 0.8347
2026-09-02 01:59:34 | Epoch  15/100 | Train Loss 0.5643 Acc 0.8756 | Val Loss 0.7640 Acc 0.8579 AUC 0.9619 Pre 0.8436 Rec 0.8427
2026-09-02 01:59:34 | Epoch  16/100 | Train Loss 0.5115 Acc 0.8929 | Val Loss 0.7562 Acc 0.8598 AUC 0.9625 Pre 0.8507 Rec 0.8390
2026-09-02 01:59:34 | Epoch  17/100 | Train Loss 0.4437 Acc 0.9070 | Val Loss 0.7569 Acc 0.8616 AUC 0.9640 Pre 0.8478 Rec 0.8383
2026-09-02 01:59:34 |   Val AUC improved to 0.9640, model saved
2026-09-02 01:59:34 | Epoch  18/100 | Train Loss 0.4004 Acc 0.9206 | Val Loss 0.7672 Acc 0.8690 AUC 0.9655 Pre 0.8518 Rec 0.8517
2026-09-02 01:59:34 |   Val AUC improved to 0.9655, model saved
2026-09-02 01:59:34 | Epoch  19/100 | Train Loss 0.3920 Acc 0.9224 | Val Loss 0.7817 Acc 0.8616 AUC 0.9650 Pre 0.8466 Rec 0.8454
2026-09-02 01:59:34 | Epoch  20/100 | Train Loss 0.3527 Acc 0.9341 | Val Loss 0.8069 Acc 0.8616 AUC 0.9638 Pre 0.8479 Rec 0.8432
