config,run,seed,mean_abs_cos_offdiag,max_abs_cos_offdiag,min_dist_offdiag,max_dist_offdiag,norm_std,n_near_pairs
mnist_mlp_ceb,1,0,0.11975985765457153,0.2398291528224945,7.010974884033203,8.663808822631836,0.17373092472553253,0
mnist_mlp_ceb,2,1,0.12038831412792206,0.2167881429195404,7.0634942054748535,8.688130378723145,0.21637694537639618,0
mnist_mlp_ceb,3,2,0.11625181883573532,0.2540331482887268,7.228004455566406,8.746030807495117,0.211643785238266,0
mnist_mlp_ceb,4,3,0.11866825073957443,0.24553970992565155,6.864560127258301,8.3396577835083,0.1370818167924881,0
mnist_mlp_ceb,5,4,0.11971951276063919,0.2446330040693283,6.516319751739502,7.97902250289917,0.09475624561309814,0
mnist_mlp_opb,1,0,1.6267101443645515e-08,5.960464477539063e-08,14.142130851745605,14.142139434814453,1.0052609695776482e-06,0
mnist_mlp_opb,2,1,1.492185752738351e-08,4.470348358154297e-08,14.142132759094238,14.14214038848877,8.991327717922104e-07,0
mnist_mlp_opb,3,2,1.502533741870593e-08,5.960464477539063e-08,14.142130851745605,14.14214038848877,1.101208226828021e-06,0
mnist_mlp_opb,4,3,1.6453364892754507e-08,6.705522537231445e-08,14.142131805419922,14.14214038848877,1.0543266171225696e-06,0
mnist_mlp_opb,5,4,1.1227610841046953e-08,5.21540641784668e-08,14.142130851745605,14.14214038848877,1.1894408089574426e-06,0
