2026-09-06 07:40:31 | Device: cuda
2026-09-06 07:40:31 | Args: {'model': 'adacap', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_adacap/california_mlp_adacap.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/california_mlp_adacap_beta_0.01/train.log', 'no_save': True}
2026-09-06 07:40:31 | ===== Run 1/5 (seed 0) =====
2026-09-06 07:40:45 | Epoch  40/100 | Train Loss -0.0308 | Val Loss 0.0265 MAE 0.3924 R2 0.5463
2026-09-06 07:40:46 | Epoch  41/100 | Train Loss -0.0311 | Val Loss 0.4260 MAE 0.4434 R2 -6.2969
2026-09-06 07:40:46 | Epoch  42/100 | Train Loss -0.0314 | Val Loss 0.0154 MAE 0.3848 R2 0.7357
2026-09-06 07:40:46 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 42 (best R2 0.7799 @ Epoch 32)
2026-09-06 07:40:46 | Run 1/5 | Test (best model @ Epoch 32) | Loss 0.0126 MAE 0.3762 R2 0.7736
2026-09-06 07:40:46 | ===== Run 2/5 (seed 1) =====
2026-09-06 07:40:46 | Epoch   1/100 | Train Loss -0.0178 | Val Loss 0.0154 MAE 0.4270 R2 0.7361
2026-09-06 07:40:46 |   Val R2 improved to 0.7361, model saved
2026-09-06 07:40:47 | Epoch   2/100 | Train Loss -0.0189 | Val Loss 0.0146 MAE 0.4172 R2 0.7494
2026-09-06 07:40:47 |   Val R2 improved to 0.7494, model saved
2026-09-06 07:40:47 | Epoch   3/100 | Train Loss -0.0199 | Val Loss 0.0146 MAE 0.4163 R2 0.7497
2026-09-06 07:40:47 |   Val R2 improved to 0.7497, model saved
2026-09-06 07:40:47 | Epoch   4/100 | Train Loss -0.0210 | Val Loss 0.0143 MAE 0.4120 R2 0.7555
2026-09-06 07:40:47 |   Val R2 improved to 0.7555, model saved
2026-09-06 07:40:48 | Epoch   5/100 | Train Loss -0.0212 | Val Loss 0.0141 MAE 0.4091 R2 0.7587
2026-09-06 07:40:48 |   Val R2 improved to 0.7587, model saved
2026-09-06 07:40:48 | Epoch   6/100 | Train Loss -0.0219 | Val Loss 0.0137 MAE 0.4036 R2 0.7650
2026-09-06 07:40:48 |   Val R2 improved to 0.7650, model saved
2026-09-06 07:40:48 | Epoch   7/100 | Train Loss -0.0220 | Val Loss 0.0137 MAE 0.3997 R2 0.7648
2026-09-06 07:40:49 | Epoch   8/100 | Train Loss -0.0227 | Val Loss 0.0136 MAE 0.3997 R2 0.7677
2026-09-06 07:40:49 |   Val R2 improved to 0.7677, model saved
2026-09-06 07:40:49 | Epoch   9/100 | Train Loss -0.0231 | Val Loss 0.0138 MAE 0.4003 R2 0.7641
2026-09-06 07:40:49 | Epoch  10/100 | Train Loss -0.0234 | Val Loss 0.0138 MAE 0.3965 R2 0.7639
2026-09-06 07:40:50 | Epoch  11/100 | Train Loss -0.0238 | Val Loss 0.0137 MAE 0.3987 R2 0.7656
2026-09-06 07:40:50 | Epoch  12/100 | Train Loss -0.0237 | Val Loss 0.0137 MAE 0.4014 R2 0.7647
2026-09-06 07:40:50 | Epoch  13/100 | Train Loss -0.0244 | Val Loss 0.0136 MAE 0.3938 R2 0.7674
2026-09-06 07:40:51 | Epoch  14/100 | Train Loss -0.0245 | Val Loss 0.0133 MAE 0.3921 R2 0.7716
2026-09-06 07:40:51 |   Val R2 improved to 0.7716, model saved
2026-09-06 07:40:51 | Epoch  15/100 | Train Loss -0.0245 | Val Loss 0.0134 MAE 0.3933 R2 0.7713
2026-09-06 07:40:51 | Epoch  16/100 | Train Loss -0.0249 | Val Loss 0.0131 MAE 0.3879 R2 0.7752
