2026-08-27 16:12:16 | Device: cuda
2026-08-27 16:12:16 | Args: {'model': 'fgib', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 14.0, 'max_len': 250, 'random_labels': False, 'beta': 0.1, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_fgib/cora_gnn_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/cora_gnn_fgib_beta_0.1_anchor_14/train.log', 'no_save': True}
2026-08-27 16:12:31 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-08-27 16:12:33 | ===== Run 1/5 (seed 0) =====
2026-08-27 16:12:37 | Epoch   1/100 | Train Loss 11.7959 Acc 0.1096 | Val Loss 11.5291 Acc 0.2583 AUC 0.8798 Pre 0.1829 Rec 0.2635
2026-08-27 16:12:38 |   Val AUC improved to 0.8798, model saved
2026-08-27 16:12:38 | Epoch   2/100 | Train Loss 11.5251 Acc 0.2765 | Val Loss 10.5262 Acc 0.3026 AUC 0.7886 Pre 0.0432 Rec 0.1429
2026-08-27 16:12:38 | Epoch   3/100 | Train Loss 10.5166 Acc 0.3017 | Val Loss 10.7427 Acc 0.3026 AUC 0.7053 Pre 0.0432 Rec 0.1429
2026-08-27 16:12:38 | Epoch   4/100 | Train Loss 10.8671 Acc 0.3017 | Val Loss 9.7373 Acc 0.3026 AUC 0.8137 Pre 0.0432 Rec 0.1429
2026-08-27 16:12:38 | Epoch   5/100 | Train Loss 9.7594 Acc 0.3017 | Val Loss 9.7396 Acc 0.3026 AUC 0.8796 Pre 0.0432 Rec 0.1429
2026-08-27 16:12:38 | Epoch   6/100 | Train Loss 9.7268 Acc 0.3023 | Val Loss 9.5764 Acc 0.3118 AUC 0.9021 Pre 0.1865 Rec 0.1514
2026-08-27 16:12:39 |   Val AUC improved to 0.9021, model saved
2026-08-27 16:12:39 | Epoch   7/100 | Train Loss 9.5526 Acc 0.3214 | Val Loss 9.1254 Acc 0.3339 AUC 0.9032 Pre 0.1875 Rec 0.1718
2026-08-27 16:12:40 |   Val AUC improved to 0.9032, model saved
2026-08-27 16:12:40 | Epoch   8/100 | Train Loss 9.0940 Acc 0.3411 | Val Loss 8.6929 Acc 0.3616 AUC 0.8920 Pre 0.1888 Rec 0.1973
2026-08-27 16:12:40 | Epoch   9/100 | Train Loss 8.6507 Acc 0.3633 | Val Loss 8.2126 Acc 0.4244 AUC 0.9005 Pre 0.1843 Rec 0.2551
2026-08-27 16:12:40 | Epoch  10/100 | Train Loss 8.1076 Acc 0.4224 | Val Loss 7.4709 Acc 0.5018 AUC 0.9270 Pre 0.2847 Rec 0.3268
2026-08-27 16:12:41 |   Val AUC improved to 0.9270, model saved
2026-08-27 16:12:41 | Epoch  11/100 | Train Loss 7.3197 Acc 0.5271 | Val Loss 6.8628 Acc 0.5701 AUC 0.9402 Pre 0.4780 Rec 0.3936
2026-08-27 16:12:42 |   Val AUC improved to 0.9402, model saved
2026-08-27 16:12:42 | Epoch  12/100 | Train Loss 6.6896 Acc 0.6010 | Val Loss 6.4483 Acc 0.6218 AUC 0.9454 Pre 0.5414 Rec 0.4535
2026-08-27 16:12:43 |   Val AUC improved to 0.9454, model saved
2026-08-27 16:12:43 | Epoch  13/100 | Train Loss 6.2739 Acc 0.6435 | Val Loss 6.1641 Acc 0.6661 AUC 0.9493 Pre 0.4996 Rec 0.5145
2026-08-27 16:12:44 |   Val AUC improved to 0.9493, model saved
2026-08-27 16:12:44 | Epoch  14/100 | Train Loss 5.9848 Acc 0.6977 | Val Loss 5.8646 Acc 0.7122 AUC 0.9508 Pre 0.4936 Rec 0.5663
2026-08-27 16:12:45 |   Val AUC improved to 0.9508, model saved
2026-08-27 16:12:45 | Epoch  15/100 | Train Loss 5.6533 Acc 0.7401 | Val Loss 5.5223 Acc 0.7583 AUC 0.9529 Pre 0.5296 Rec 0.6192
2026-08-27 16:12:46 |   Val AUC improved to 0.9529, model saved
2026-08-27 16:12:46 | Epoch  16/100 | Train Loss 5.2776 Acc 0.7654 | Val Loss 5.2088 Acc 0.7620 AUC 0.9546 Pre 0.5447 Rec 0.6274
2026-08-27 16:12:47 |   Val AUC improved to 0.9546, model saved
2026-08-27 16:12:47 | Epoch  17/100 | Train Loss 4.8871 Acc 0.7802 | Val Loss 5.0039 Acc 0.7601 AUC 0.9542 Pre 0.5485 Rec 0.6265
2026-08-27 16:12:47 | Epoch  18/100 | Train Loss 4.5803 Acc 0.7777 | Val Loss 4.8666 Acc 0.7620 AUC 0.9557 Pre 0.5505 Rec 0.6306
2026-08-27 16:12:48 |   Val AUC improved to 0.9557, model saved
2026-08-27 16:12:48 | Epoch  19/100 | Train Loss 4.3265 Acc 0.7845 | Val Loss 4.7818 Acc 0.7601 AUC 0.9578 Pre 0.5414 Rec 0.6273
2026-08-27 16:12:49 |   Val AUC improved to 0.9578, model saved
2026-08-27 16:12:49 | Epoch  20/100 | Train Loss 4.1514 Acc 0.7956 | Val Loss 4.6733 Acc 0.7546 AUC 0.9604 Pre 0.6091 Rec 0.6246
2026-08-27 16:12:49 |   Val AUC improved to 0.9604, model saved
2026-08-27 16:12:50 | Epoch  21/100 | Train Loss 3.9735 Acc 0.7999 | Val Loss 4.5147 Acc 0.7694 AUC 0.9622 Pre 0.8050 Rec 0.6455
2026-08-27 16:12:50 |   Val AUC improved to 0.9622, model saved
2026-08-27 16:12:50 | Epoch  22/100 | Train Loss 3.7634 Acc 0.8110 | Val Loss 4.3780 Acc 0.7749 AUC 0.9626 Pre 0.8147 Rec 0.6577
2026-08-27 16:12:51 |   Val AUC improved to 0.9626, model saved
2026-08-27 16:12:51 | Epoch  23/100 | Train Loss 3.5819 Acc 0.8344 | Val Loss 4.3053 Acc 0.8063 AUC 0.9622 Pre 0.8394 Rec 0.7138
2026-08-27 16:12:51 | Epoch  24/100 | Train Loss 3.4498 Acc 0.8553 | Val Loss 4.2715 Acc 0.8266 AUC 0.9620 Pre 0.8353 Rec 0.7532
2026-08-27 16:12:51 | Epoch  25/100 | Train Loss 3.3370 Acc 0.8892 | Val Loss 4.2022 Acc 0.8469 AUC 0.9626 Pre 0.8544 Rec 0.7925
2026-08-27 16:12:51 | Epoch  26/100 | Train Loss 3.2058 Acc 0.9119 | Val Loss 4.1169 Acc 0.8616 AUC 0.9630 Pre 0.8603 Rec 0.8214
2026-08-27 16:12:52 |   Val AUC improved to 0.9630, model saved
2026-08-27 16:12:52 | Epoch  27/100 | Train Loss 3.0246 Acc 0.9212 | Val Loss 4.0078 Acc 0.8579 AUC 0.9632 Pre 0.8508 Rec 0.8214
2026-08-27 16:12:53 |   Val AUC improved to 0.9632, model saved
2026-08-27 16:12:53 | Epoch  28/100 | Train Loss 2.8322 Acc 0.9323 | Val Loss 3.9032 Acc 0.8616 AUC 0.9632 Pre 0.8536 Rec 0.8303
2026-08-27 16:12:54 |   Val AUC improved to 0.9632, model saved
2026-08-27 16:12:54 | Epoch  29/100 | Train Loss 2.6310 Acc 0.9409 | Val Loss 3.8153 Acc 0.8616 AUC 0.9634 Pre 0.8532 Rec 0.8325
2026-08-27 16:12:54 |   Val AUC improved to 0.9634, model saved
2026-08-27 16:12:55 | Epoch  30/100 | Train Loss 2.4711 Acc 0.9403 | Val Loss 3.7267 Acc 0.8635 AUC 0.9645 Pre 0.8525 Rec 0.8388
2026-08-27 16:12:55 |   Val AUC improved to 0.9645, model saved
2026-08-27 16:12:55 | Epoch  31/100 | Train Loss 2.3346 Acc 0.9446 | Val Loss 3.6674 Acc 0.8616 AUC 0.9653 Pre 0.8503 Rec 0.8416
2026-08-27 16:12:56 |   Val AUC improved to 0.9653, model saved
2026-08-27 16:12:56 | Epoch  32/100 | Train Loss 2.2004 Acc 0.9477 | Val Loss 3.6254 Acc 0.8598 AUC 0.9653 Pre 0.8454 Rec 0.8427
2026-08-27 16:12:57 |   Val AUC improved to 0.9653, model saved
2026-08-27 16:12:57 | Epoch  33/100 | Train Loss 2.0899 Acc 0.9489 | Val Loss 3.5951 Acc 0.8579 AUC 0.9650 Pre 0.8476 Rec 0.8394
2026-08-27 16:12:57 | Epoch  34/100 | Train Loss 1.9938 Acc 0.9514 | Val Loss 3.5658 Acc 0.8579 AUC 0.9647 Pre 0.8453 Rec 0.8394
2026-08-27 16:12:57 | Epoch  35/100 | Train Loss 1.9302 Acc 0.9532 | Val Loss 3.5197 Acc 0.8616 AUC 0.9645 Pre 0.8484 Rec 0.8470
2026-08-27 16:12:57 | Epoch  36/100 | Train Loss 1.8101 Acc 0.9563 | Val Loss 3.4714 Acc 0.8598 AUC 0.9641 Pre 0.8443 Rec 0.8450
2026-08-27 16:12:57 | Epoch  37/100 | Train Loss 1.7055 Acc 0.9587 | Val Loss 3.4299 Acc 0.8598 AUC 0.9638 Pre 0.8456 Rec 0.8450
2026-08-27 16:12:57 | Epoch  38/100 | Train Loss 1.5959 Acc 0.9618 | Val Loss 3.4101 Acc 0.8579 AUC 0.9634 Pre 0.8426 Rec 0.8398
