config,run,seed,mean_abs_cos_offdiag,max_abs_cos_offdiag,min_dist_offdiag,max_dist_offdiag,norm_std,n_near_pairs
mnist_mlp_ceb,1,0,0.11975985765457153,0.2398291528224945,7.010974884033203,8.663808822631836,0.17373092472553253,0
mnist_mlp_ceb,2,1,0.12038831412792206,0.2167881429195404,7.0634942054748535,8.688130378723145,0.21637694537639618,0
mnist_mlp_ceb,3,2,0.11625181883573532,0.2540331482887268,7.228004455566406,8.746030807495117,0.211643785238266,0
mnist_mlp_ceb,4,3,0.11866825073957443,0.24553970992565155,6.864560127258301,8.3396577835083,0.1370818167924881,0
mnist_mlp_ceb,5,4,0.11971951276063919,0.2446330040693283,6.516319751739502,7.97902250289917,0.09475624561309814,0
mnist_mlp_opb,1,0,1.6681022785292043e-08,5.21540641784668e-08,5.6568522453308105,5.656856536865234,3.178914482759865e-07,0
mnist_mlp_opb,2,1,1.6111879830305043e-08,8.195638656616211e-08,5.6568522453308105,5.656855583190918,3.727607520431775e-07,0
mnist_mlp_opb,3,2,1.6681022785292043e-08,5.960464477539063e-08,5.656853199005127,5.656857013702393,3.3717478231665154e-07,0
mnist_mlp_opb,4,3,1.3814617894070125e-08,5.960464477539063e-08,5.656851768493652,5.656857013702393,3.641903845164052e-07,0
mnist_mlp_opb,5,4,1.870923505009614e-08,5.960464477539063e-08,5.6568522453308105,5.656856060028076,1.9466796175038326e-07,0
