config,run,seed,mean_abs_cos_offdiag,max_abs_cos_offdiag,min_dist_offdiag,max_dist_offdiag,norm_std,n_near_pairs,scale,bias_norm,bias_proj,iso_max_dev,origin_norm
mnist_mlp_ceb_beta0.1,1,0,0.11975985765457153,0.2398291528224945,7.010974884033203,8.663808822631836,0.17373092472553253,0,,,,,
mnist_mlp_ceb_beta0.1,2,1,0.12038831412792206,0.2167881429195404,7.0634942054748535,8.688130378723145,0.21637694537639618,0,,,,,
mnist_mlp_ceb_beta0.1,3,2,0.11625181883573532,0.2540331482887268,7.228004455566406,8.746030807495117,0.211643785238266,0,,,,,
mnist_mlp_ceb_beta0.1,4,3,0.11866825073957443,0.24553970992565155,6.864560127258301,8.3396577835083,0.1370818167924881,0,,,,,
mnist_mlp_ceb_beta0.1,5,4,0.11971951276063919,0.2446330040693283,6.516319751739502,7.97902250289917,0.09475624561309814,0,,,,,
mnist_mlp_opb_beta0.1_scale12,1,0,1.90403728339561e-08,5.960464477539063e-08,16.970550537109375,16.9705753326416,1.8536096604293562e-06,0,,,,,
mnist_mlp_opb_beta0.1_scale12,2,1,1.8854107608490267e-08,6.705522537231445e-08,16.970552444458008,16.97057342529297,1.9073486328125e-06,0,,,,,
mnist_mlp_opb_beta0.1_scale12,3,2,1.5811787434927282e-08,3.725290298461914e-08,16.970550537109375,16.970571517944336,1.3106999858791823e-06,0,,,,,
mnist_mlp_opb_beta0.1_scale12,4,3,1.4735592301917677e-08,4.842877388000488e-08,16.970548629760742,16.970569610595703,1.421653678335133e-06,0,,,,,
mnist_mlp_opb_beta0.1_scale12,5,4,1.7405383800905838e-08,5.960464477539063e-08,16.970552444458008,16.970571517944336,8.991327717922104e-07,0,,,,,
california_mlp_ceb_beta0.1,1,0,,,,,,,1.4793143272399902,1.1155364513397217,1.0984971523284912,2.384185791015625e-07,1.1155364513397217
california_mlp_ceb_beta0.1,2,1,,,,,,,3.3768327236175537,0.8151494860649109,0.6013306379318237,7.152557373046875e-07,0.8151494860649109
california_mlp_ceb_beta0.1,3,2,,,,,,,1.7537614107131958,1.3410645723342896,1.327615737915039,4.76837158203125e-07,1.3410645723342896
california_mlp_ceb_beta0.1,4,3,,,,,,,2.543233871459961,1.427518367767334,1.3907768726348877,7.152557373046875e-07,1.427518367767334
california_mlp_ceb_beta0.1,5,4,,,,,,,1.21095609664917,1.0233205556869507,1.0152536630630493,2.384185791015625e-07,1.0233205556869507
california_mlp_opb_beta0.1_scale12,1,0,,,,,,,12.0,0.0,0.0,2.86102294921875e-06,0.0
california_mlp_opb_beta0.1_scale12,2,1,,,,,,,12.0,0.0,0.0,1.9073486328125e-06,0.0
california_mlp_opb_beta0.1_scale12,3,2,,,,,,,12.0,0.0,0.0,1.9073486328125e-06,0.0
california_mlp_opb_beta0.1_scale12,4,3,,,,,,,12.0,0.0,0.0,1.0728836059570312e-06,0.0
california_mlp_opb_beta0.1_scale12,5,4,,,,,,,12.0,0.0,0.0,2.86102294921875e-06,0.0
