config,run,seed,mean_abs_cos_offdiag,max_abs_cos_offdiag,min_dist_offdiag,mean_diag_align,max_offdiag_align,within_scatter,between_scatter,fisher_ratio,center_norm_mean,mean_anchor_dist
mnist_mlp_ceb,1,0,0.11943698674440384,0.24417930841445923,6.63647985458374,0.9996546506881714,0.24026814103126526,1.373405933380127,26.958322525024414,19.628808839260326,5.222226142883301,0.28430289030075073
mnist_mlp_ceb,2,1,0.12241197377443314,0.22459957003593445,6.797043323516846,0.9995774030685425,0.2169761210680008,1.474607229232788,27.22846031188965,18.464890020955703,5.26479959487915,0.2535897195339203
mnist_mlp_ceb,3,2,0.12050598859786987,0.2447366863489151,7.098593711853027,0.9993802309036255,0.2552083134651184,1.3957433700561523,26.660079956054688,19.10098985817294,5.2112321853637695,0.3775550425052643
mnist_mlp_ceb,4,3,0.11858066916465759,0.2578452229499817,6.5357537269592285,0.99950110912323,0.2505296766757965,1.4227215051651,26.482744216918945,18.614144877107027,5.173518657684326,0.24676570296287537
mnist_mlp_ceb,5,4,0.125558540225029,0.25166699290275574,6.3429341316223145,0.9992135763168335,0.2578582167625427,1.5071566104888916,25.486656188964844,16.910423251036587,5.075318336486816,0.35048067569732666
mnist_mlp_opb,1,0,0.01624368503689766,0.056705497205257416,12.245111465454102,0.9992761611938477,0.042721860110759735,3.3560729026794434,73.53888702392578,21.912184018771857,9.106316566467285,0.960915744304657
mnist_mlp_opb,2,1,0.015324224717915058,0.052100688219070435,12.469691276550293,0.9992475509643555,0.04077120125293732,3.907806634902954,76.68475341796875,19.623476948181477,9.299173355102539,0.7913815379142761
mnist_mlp_opb,3,2,0.016646014526486397,0.056993916630744934,12.257162094116211,0.9992340803146362,0.036524347960948944,3.3623335361480713,73.34208679199219,21.812852890261965,9.107973098754883,0.9626351594924927
mnist_mlp_opb,4,3,0.01681847870349884,0.06251619756221771,12.316751480102539,0.9992998838424683,0.031585101038217545,3.482710123062134,74.93685150146484,21.51682134129999,9.204416275024414,0.8669112324714661
mnist_mlp_opb,5,4,0.014591100625693798,0.06633282452821732,12.394030570983887,0.9992318153381348,0.027658559381961823,3.5393381118774414,77.1391372680664,21.794791802795004,9.3231201171875,0.7702587246894836
