2026-09-14 22:32:34 | Device: cuda
2026-09-14 22:32:34 | Args: {'model': 'opb-fixed-axis', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 1.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.1, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_opb-fixed-axis/california_mlp_opb-fixed-axis.pt', 'log_path': '/root/autodl-tmp/IB/output/ablation/california_mlp_opb-fixed-axis_beta_0.1_anchor_1/train.log', 'no_save': True}
2026-09-14 22:32:34 | ===== Run 1/5 (seed 0) =====
2026-09-14 22:32:51 | Epoch  37/100 | Train Loss 0.1721 | Val Loss 0.1181 MAE 0.3955 R2 0.7696
2026-09-14 22:32:51 | Epoch  38/100 | Train Loss 0.1709 | Val Loss 0.1181 MAE 0.3946 R2 0.7730
2026-09-14 22:32:51 |   Val R2 improved to 0.7730, model saved
2026-09-14 22:32:52 | Epoch  39/100 | Train Loss 0.1702 | Val Loss 0.1180 MAE 0.3834 R2 0.7706
2026-09-14 22:32:52 | Epoch  40/100 | Train Loss 0.1720 | Val Loss 0.1172 MAE 0.3883 R2 0.7602
2026-09-14 22:32:52 | Epoch  41/100 | Train Loss 0.1697 | Val Loss 0.1207 MAE 0.3886 R2 0.7737
2026-09-14 22:32:52 |   Val R2 improved to 0.7737, model saved
2026-09-14 22:32:53 | Epoch  42/100 | Train Loss 0.1712 | Val Loss 0.1246 MAE 0.3885 R2 0.7744
2026-09-14 22:32:53 |   Val R2 improved to 0.7744, model saved
2026-09-14 22:32:53 | Epoch  43/100 | Train Loss 0.1697 | Val Loss 0.1189 MAE 0.3871 R2 0.7729
2026-09-14 22:32:53 | Epoch  44/100 | Train Loss 0.1702 | Val Loss 0.1212 MAE 0.3979 R2 0.7713
2026-09-14 22:32:54 | Epoch  45/100 | Train Loss 0.1697 | Val Loss 0.1174 MAE 0.3886 R2 0.7730
2026-09-14 22:32:54 | Epoch  46/100 | Train Loss 0.1717 | Val Loss 0.1224 MAE 0.3965 R2 0.7768
2026-09-14 22:32:54 |   Val R2 improved to 0.7768, model saved
2026-09-14 22:32:54 | Epoch  47/100 | Train Loss 0.1699 | Val Loss 0.1187 MAE 0.3910 R2 0.7754
2026-09-14 22:32:55 | Epoch  48/100 | Train Loss 0.1698 | Val Loss 0.1200 MAE 0.3853 R2 0.7803
2026-09-14 22:32:55 |   Val R2 improved to 0.7803, model saved
2026-09-14 22:32:55 | Epoch  49/100 | Train Loss 0.1701 | Val Loss 0.1211 MAE 0.3904 R2 0.7773
2026-09-14 22:32:55 | Epoch  50/100 | Train Loss 0.1696 | Val Loss 0.1198 MAE 0.3919 R2 0.7611
2026-09-14 22:32:56 | Epoch  51/100 | Train Loss 0.1705 | Val Loss 0.1172 MAE 0.3889 R2 0.7612
2026-09-14 22:32:56 | Epoch  52/100 | Train Loss 0.1693 | Val Loss 0.1195 MAE 0.3852 R2 0.7834
2026-09-14 22:32:56 |   Val R2 improved to 0.7834, model saved
2026-09-14 22:32:56 | Epoch  53/100 | Train Loss 0.1710 | Val Loss 0.1240 MAE 0.3882 R2 0.7642
2026-09-14 22:32:57 | Epoch  54/100 | Train Loss 0.1692 | Val Loss 0.1147 MAE 0.3889 R2 0.7639
2026-09-14 22:32:57 | Epoch  55/100 | Train Loss 0.1686 | Val Loss 0.1212 MAE 0.4013 R2 0.7721
2026-09-14 22:32:57 | Epoch  56/100 | Train Loss 0.1704 | Val Loss 0.1207 MAE 0.3830 R2 0.7785
2026-09-14 22:32:58 | Epoch  57/100 | Train Loss 0.1698 | Val Loss 0.1180 MAE 0.3842 R2 0.7738
2026-09-14 22:32:58 | Epoch  58/100 | Train Loss 0.1686 | Val Loss 0.1160 MAE 0.3843 R2 0.7773
2026-09-14 22:32:58 | Epoch  59/100 | Train Loss 0.1683 | Val Loss 0.1155 MAE 0.3866 R2 0.7751
2026-09-14 22:32:59 | Epoch  60/100 | Train Loss 0.1687 | Val Loss 0.1202 MAE 0.3844 R2 0.7832
2026-09-14 22:32:59 | Epoch  61/100 | Train Loss 0.1697 | Val Loss 0.1223 MAE 0.3735 R2 0.7822
2026-09-14 22:32:59 | Epoch  62/100 | Train Loss 0.1703 | Val Loss 0.1226 MAE 0.3820 R2 0.7814
2026-09-14 22:32:59 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 62 (best R2 0.7834 @ Epoch 52)
2026-09-14 22:33:00 | Run 1/5 | Test (best model @ Epoch 52) | Loss 0.1193 MAE 0.3813 R2 0.7727
2026-09-14 22:33:00 | ===== Run 2/5 (seed 1) =====
2026-09-14 22:33:00 | Epoch   1/100 | Train Loss 1.0055 | Val Loss 0.1220 MAE 0.5988 R2 0.2026
2026-09-14 22:33:00 |   Val R2 improved to 0.2026, model saved
2026-09-14 22:33:00 | Epoch   2/100 | Train Loss 0.4434 | Val Loss 0.1934 MAE 0.5462 R2 -0.5177
2026-09-14 22:33:01 | Epoch   3/100 | Train Loss 0.2838 | Val Loss 0.1341 MAE 0.5663 R2 0.5236
2026-09-14 22:33:01 |   Val R2 improved to 0.5236, model saved
2026-09-14 22:33:01 | Epoch   4/100 | Train Loss 0.2230 | Val Loss 0.1165 MAE 0.4759 R2 0.6816
2026-09-14 22:33:01 |   Val R2 improved to 0.6816, model saved
2026-09-14 22:33:01 | Epoch   5/100 | Train Loss 0.2015 | Val Loss 0.1203 MAE 0.4840 R2 0.6712
2026-09-14 22:33:02 | Epoch   6/100 | Train Loss 0.1886 | Val Loss 0.1212 MAE 0.4675 R2 0.7049
2026-09-14 22:33:02 |   Val R2 improved to 0.7049, model saved
2026-09-14 22:33:02 | Epoch   7/100 | Train Loss 0.1847 | Val Loss 0.1190 MAE 0.4535 R2 0.7098
2026-09-14 22:33:02 |   Val R2 improved to 0.7098, model saved
2026-09-14 22:33:02 | Epoch   8/100 | Train Loss 0.1811 | Val Loss 0.1237 MAE 0.4508 R2 0.7184
2026-09-14 22:33:02 |   Val R2 improved to 0.7184, model saved
2026-09-14 22:33:03 | Epoch   9/100 | Train Loss 0.1803 | Val Loss 0.1203 MAE 0.4645 R2 0.6651
2026-09-14 22:33:03 | Epoch  10/100 | Train Loss 0.1790 | Val Loss 0.1254 MAE 0.4310 R2 0.7151
2026-09-14 22:33:04 | Epoch  11/100 | Train Loss 0.1756 | Val Loss 0.1204 MAE 0.4291 R2 0.7204
2026-09-14 22:33:04 |   Val R2 improved to 0.7204, model saved
2026-09-14 22:33:04 | Epoch  12/100 | Train Loss 0.1766 | Val Loss 0.1181 MAE 0.4309 R2 0.7226
2026-09-14 22:33:04 |   Val R2 improved to 0.7226, model saved
2026-09-14 22:33:04 | Epoch  13/100 | Train Loss 0.1739 | Val Loss 0.1202 MAE 0.4367 R2 0.7189
2026-09-14 22:33:05 | Epoch  14/100 | Train Loss 0.1760 | Val Loss 0.1233 MAE 0.4175 R2 0.7395
2026-09-14 22:33:05 |   Val R2 improved to 0.7395, model saved
2026-09-14 22:33:05 | Epoch  15/100 | Train Loss 0.1766 | Val Loss 0.1243 MAE 0.4198 R2 0.7393
2026-09-14 22:33:05 | Epoch  16/100 | Train Loss 0.1761 | Val Loss 0.1211 MAE 0.4193 R2 0.7323
2026-09-14 22:33:06 | Epoch  17/100 | Train Loss 0.1724 | Val Loss 0.1218 MAE 0.4204 R2 0.7448
2026-09-14 22:33:06 |   Val R2 improved to 0.7448, model saved
2026-09-14 22:33:06 | Epoch  18/100 | Train Loss 0.1730 | Val Loss 0.1239 MAE 0.4139 R2 0.7432
2026-09-14 22:33:06 | Epoch  19/100 | Train Loss 0.1735 | Val Loss 0.1214 MAE 0.4129 R2 0.7416
2026-09-14 22:33:07 | Epoch  20/100 | Train Loss 0.1730 | Val Loss 0.1198 MAE 0.4107 R2 0.7399
2026-09-14 22:33:07 | Epoch  21/100 | Train Loss 0.1751 | Val Loss 0.1205 MAE 0.4230 R2 0.7465
2026-09-14 22:33:07 |   Val R2 improved to 0.7465, model saved
2026-09-14 22:33:07 | Epoch  22/100 | Train Loss 0.1741 | Val Loss 0.1186 MAE 0.4230 R2 0.7506
2026-09-14 22:33:07 |   Val R2 improved to 0.7506, model saved
2026-09-14 22:33:08 | Epoch  23/100 | Train Loss 0.1720 | Val Loss 0.1222 MAE 0.4149 R2 0.7495
2026-09-14 22:33:08 | Epoch  24/100 | Train Loss 0.1725 | Val Loss 0.1214 MAE 0.4435 R2 0.7439
2026-09-14 22:33:08 | Epoch  25/100 | Train Loss 0.1722 | Val Loss 0.1190 MAE 0.4062 R2 0.7604
2026-09-14 22:33:08 |   Val R2 improved to 0.7604, model saved
2026-09-14 22:33:09 | Epoch  26/100 | Train Loss 0.1722 | Val Loss 0.1180 MAE 0.4020 R2 0.7618
2026-09-14 22:33:09 |   Val R2 improved to 0.7618, model saved
2026-09-14 22:33:09 | Epoch  27/100 | Train Loss 0.1727 | Val Loss 0.1225 MAE 0.4030 R2 0.7424
2026-09-14 22:33:09 | Epoch  28/100 | Train Loss 0.1724 | Val Loss 0.1186 MAE 0.4155 R2 0.7559
2026-09-14 22:33:10 | Epoch  29/100 | Train Loss 0.1707 | Val Loss 0.1205 MAE 0.4141 R2 0.7579
2026-09-14 22:33:10 | Epoch  30/100 | Train Loss 0.1718 | Val Loss 0.1230 MAE 0.4193 R2 0.7564
2026-09-14 22:33:11 | Epoch  31/100 | Train Loss 0.1720 | Val Loss 0.1183 MAE 0.4096 R2 0.7335
2026-09-14 22:33:11 | Epoch  32/100 | Train Loss 0.1721 | Val Loss 0.1196 MAE 0.3917 R2 0.7641
2026-09-14 22:33:11 |   Val R2 improved to 0.7641, model saved
2026-09-14 22:33:11 | Epoch  33/100 | Train Loss 0.1711 | Val Loss 0.1215 MAE 0.4060 R2 0.7599
2026-09-14 22:33:11 | Epoch  34/100 | Train Loss 0.1710 | Val Loss 0.1196 MAE 0.3943 R2 0.7669
2026-09-14 22:33:11 |   Val R2 improved to 0.7669, model saved
2026-09-14 22:33:12 | Epoch  35/100 | Train Loss 0.1727 | Val Loss 0.1200 MAE 0.3925 R2 0.7654
2026-09-14 22:33:12 | Epoch  36/100 | Train Loss 0.1715 | Val Loss 0.1210 MAE 0.3968 R2 0.7495
2026-09-14 22:33:13 | Epoch  37/100 | Train Loss 0.1718 | Val Loss 0.1176 MAE 0.4083 R2 0.7447
2026-09-14 22:33:13 | Epoch  38/100 | Train Loss 0.1716 | Val Loss 0.1164 MAE 0.4517 R2 0.6971
2026-09-14 22:33:13 | Epoch  39/100 | Train Loss 0.1721 | Val Loss 0.1199 MAE 0.4256 R2 0.7183
2026-09-14 22:33:14 | Epoch  40/100 | Train Loss 0.1696 | Val Loss 0.1185 MAE 0.3998 R2 0.7464
2026-09-14 22:33:14 | Epoch  41/100 | Train Loss 0.1709 | Val Loss 0.1255 MAE 0.4150 R2 0.7621
2026-09-14 22:33:14 | Epoch  42/100 | Train Loss 0.1705 | Val Loss 0.1181 MAE 0.3968 R2 0.7646
2026-09-14 22:33:15 | Epoch  43/100 | Train Loss 0.1716 | Val Loss 0.1174 MAE 0.3925 R2 0.7568
2026-09-14 22:33:15 | Epoch  44/100 | Train Loss 0.1700 | Val Loss 0.1174 MAE 0.3912 R2 0.7666
2026-09-14 22:33:15 | Val R2 did not improve for 10 consecutive epochs, early stopping at Epoch 44 (best R2 0.7669 @ Epoch 34)
2026-09-14 22:33:15 | Run 2/5 | Test (best model @ Epoch 34) | Loss 0.1192 MAE 0.3904 R2 0.7579
2026-09-14 22:33:15 | ===== Run 3/5 (seed 2) =====
2026-09-14 22:33:16 | Epoch   1/100 | Train Loss 0.9900 | Val Loss 0.0918 MAE 0.5624 R2 0.5424
