config,run,seed,nearest_anchor_acc,classifier_acc,acc_gap,mean_diag_align_w,max_offdiag_align_w
mnist_mlp_ceb,1,0,0.9829999804496765,0.9810000061988831,-0.001999974250793457,0.9881378412246704,0.2852291762828827
mnist_mlp_ceb,2,1,0.9760000109672546,0.9750000238418579,-0.0009999871253967285,0.9885610342025757,0.2578893303871155
mnist_mlp_ceb,3,2,0.9810000061988831,0.9800000190734863,-0.0009999871253967285,0.9889696836471558,0.2367900013923645
mnist_mlp_ceb,4,3,0.9750000238418579,0.9750000238418579,0.0,0.9887927174568176,0.2362067699432373
mnist_mlp_ceb,5,4,0.9760000109672546,0.9769999980926514,0.0009999871253967285,0.9863286018371582,0.26030516624450684
mnist_mlp_opb,1,0,0.9800000190734863,0.9800000190734863,0.0,0.7248668074607849,0.1928880661725998
mnist_mlp_opb,2,1,0.9760000109672546,0.9789999723434448,0.0029999613761901855,0.7269894480705261,0.19211995601654053
mnist_mlp_opb,3,2,0.9860000014305115,0.9850000143051147,-0.0009999871253967285,0.7342123985290527,0.17583858966827393
mnist_mlp_opb,4,3,0.9769999980926514,0.9769999980926514,0.0,0.736102819442749,0.16679243743419647
mnist_mlp_opb,5,4,0.9819999933242798,0.9819999933242798,0.0,0.7515630722045898,0.17364270985126495
