2026-08-27 16:10:46 | Device: cuda
2026-08-27 16:10:46 | Args: {'model': 'dvcca', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_dvcca/cora_gnn_dvcca.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results/cora_gnn_dvcca_beta_0.01/train.log', 'no_save': True}
2026-08-27 16:10:57 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-08-27 16:10:58 | ===== Run 1/5 (seed 0) =====
2026-08-27 16:11:05 | Epoch   5/100 | Train Loss 1.6204 Acc 0.4341 | Val Loss 1.3373 Acc 0.5664 AUC 0.9288 Pre 0.2363 Rec 0.3872
2026-08-27 16:11:05 |   Val AUC improved to 0.9288, model saved
2026-08-27 16:11:05 | Epoch   6/100 | Train Loss 1.3904 Acc 0.5554 | Val Loss 1.1800 Acc 0.5867 AUC 0.9410 Pre 0.3926 Rec 0.4104
2026-08-27 16:11:05 |   Val AUC improved to 0.9410, model saved
2026-08-27 16:11:05 | Epoch   7/100 | Train Loss 1.2139 Acc 0.6182 | Val Loss 1.1254 Acc 0.6716 AUC 0.9497 Pre 0.6036 Rec 0.5549
2026-08-27 16:11:05 |   Val AUC improved to 0.9497, model saved
2026-08-27 16:11:05 | Epoch   8/100 | Train Loss 1.1386 Acc 0.6700 | Val Loss 1.0557 Acc 0.7934 AUC 0.9564 Pre 0.6732 Rec 0.6857
2026-08-27 16:11:05 |   Val AUC improved to 0.9564, model saved
2026-08-27 16:11:05 | Epoch   9/100 | Train Loss 1.0287 Acc 0.7580 | Val Loss 1.0224 Acc 0.7399 AUC 0.9604 Pre 0.5339 Rec 0.6119
2026-08-27 16:11:05 |   Val AUC improved to 0.9604, model saved
2026-08-27 16:11:05 | Epoch  10/100 | Train Loss 0.9622 Acc 0.7666 | Val Loss 0.9325 Acc 0.7399 AUC 0.9651 Pre 0.5421 Rec 0.6107
2026-08-27 16:11:05 |   Val AUC improved to 0.9651, model saved
2026-08-27 16:11:05 | Epoch  11/100 | Train Loss 0.8471 Acc 0.7956 | Val Loss 0.8605 Acc 0.8007 AUC 0.9633 Pre 0.8427 Rec 0.7010
2026-08-27 16:11:05 | Epoch  12/100 | Train Loss 0.7414 Acc 0.8233 | Val Loss 0.8451 Acc 0.8266 AUC 0.9600 Pre 0.8470 Rec 0.7723
2026-08-27 16:11:05 | Epoch  13/100 | Train Loss 0.7362 Acc 0.8251 | Val Loss 0.7989 Acc 0.8432 AUC 0.9610 Pre 0.8475 Rec 0.8109
2026-08-27 16:11:05 | Epoch  14/100 | Train Loss 0.6686 Acc 0.8479 | Val Loss 0.7825 Acc 0.8579 AUC 0.9626 Pre 0.8465 Rec 0.8410
2026-08-27 16:11:05 | Epoch  15/100 | Train Loss 0.6291 Acc 0.8615 | Val Loss 0.7729 Acc 0.8598 AUC 0.9641 Pre 0.8476 Rec 0.8470
2026-08-27 16:11:05 | Epoch  16/100 | Train Loss 0.5673 Acc 0.8873 | Val Loss 0.7593 Acc 0.8616 AUC 0.9653 Pre 0.8526 Rec 0.8461
2026-08-27 16:11:06 |   Val AUC improved to 0.9653, model saved
2026-08-27 16:11:06 | Epoch  17/100 | Train Loss 0.5233 Acc 0.9015 | Val Loss 0.7477 Acc 0.8690 AUC 0.9666 Pre 0.8536 Rec 0.8505
2026-08-27 16:11:06 |   Val AUC improved to 0.9666, model saved
2026-08-27 16:11:06 | Epoch  18/100 | Train Loss 0.4857 Acc 0.9200 | Val Loss 0.7685 Acc 0.8745 AUC 0.9666 Pre 0.8618 Rec 0.8586
2026-08-27 16:11:06 |   Val AUC improved to 0.9666, model saved
2026-08-27 16:11:06 | Epoch  19/100 | Train Loss 0.4684 Acc 0.9212 | Val Loss 0.7863 Acc 0.8727 AUC 0.9655 Pre 0.8634 Rec 0.8579
2026-08-27 16:11:06 | Epoch  20/100 | Train Loss 0.4545 Acc 0.9150 | Val Loss 0.7887 Acc 0.8653 AUC 0.9639 Pre 0.8474 Rec 0.8554
2026-08-27 16:11:06 | Epoch  21/100 | Train Loss 0.4124 Acc 0.9372 | Val Loss 0.8023 Acc 0.8727 AUC 0.9615 Pre 0.8613 Rec 0.8603
2026-08-27 16:11:06 | Epoch  22/100 | Train Loss 0.4113 Acc 0.9304 | Val Loss 0.8081 Acc 0.8690 AUC 0.9596 Pre 0.8599 Rec 0.8587
2026-08-27 16:11:06 | Epoch  23/100 | Train Loss 0.3921 Acc 0.9372 | Val Loss 0.8077 Acc 0.8635 AUC 0.9580 Pre 0.8540 Rec 0.8511
2026-08-27 16:11:06 | Epoch  24/100 | Train Loss 0.3698 Acc 0.9360 | Val Loss 0.8134 Acc 0.8598 AUC 0.9565 Pre 0.8501 Rec 0.8469
2026-08-27 16:11:06 | Epoch  25/100 | Train Loss 0.3528 Acc 0.9384 | Val Loss 0.8217 Acc 0.8524 AUC 0.9553 Pre 0.8431 Rec 0.8401
2026-08-27 16:11:06 | Epoch  26/100 | Train Loss 0.3468 Acc 0.9353 | Val Loss 0.8334 Acc 0.8542 AUC 0.9548 Pre 0.8438 Rec 0.8390
2026-08-27 16:11:06 | Epoch  27/100 | Train Loss 0.3270 Acc 0.9421 | Val Loss 0.8500 Acc 0.8506 AUC 0.9546 Pre 0.8376 Rec 0.8356
2026-08-27 16:11:06 | Epoch  28/100 | Train Loss 0.3096 Acc 0.9495 | Val Loss 0.8678 Acc 0.8524 AUC 0.9549 Pre 0.8408 Rec 0.8348
2026-08-27 16:11:06 | Val AUC did not improve for 10 consecutive epochs, early stopping at Epoch 28 (best AUC 0.9666 @ Epoch 18)
2026-08-27 16:11:06 | Run 2/5 | Test (best model @ Epoch 18) | Loss 0.7242 Acc 0.8801 AUC 0.9741 Pre 0.8694 Rec 0.8799
2026-08-27 16:11:06 | ===== Run 3/5 (seed 2) =====
2026-08-27 16:11:06 | Epoch   1/100 | Train Loss 2.0763 Acc 0.1404 | Val Loss 1.8966 Acc 0.3026 AUC 0.9139 Pre 0.0432 Rec 0.1429
2026-08-27 16:11:07 |   Val AUC improved to 0.9139, model saved
2026-08-27 16:11:07 | Epoch   2/100 | Train Loss 2.0159 Acc 0.1730 | Val Loss 1.7978 Acc 0.3026 AUC 0.8157 Pre 0.0432 Rec 0.1429
2026-08-27 16:11:07 | Epoch   3/100 | Train Loss 1.9024 Acc 0.2900 | Val Loss 1.7173 Acc 0.3026 AUC 0.8496 Pre 0.0432 Rec 0.1429
2026-08-27 16:11:07 | Epoch   4/100 | Train Loss 1.7911 Acc 0.3387 | Val Loss 1.5854 Acc 0.5111 AUC 0.9267 Pre 0.3171 Rec 0.3357
2026-08-27 16:11:07 |   Val AUC improved to 0.9267, model saved
2026-08-27 16:11:07 | Epoch   5/100 | Train Loss 1.6612 Acc 0.4126 | Val Loss 1.3965 Acc 0.5775 AUC 0.9373 Pre 0.2416 Rec 0.3981
2026-08-27 16:11:07 |   Val AUC improved to 0.9373, model saved
2026-08-27 16:11:07 | Epoch   6/100 | Train Loss 1.4648 Acc 0.5240 | Val Loss 1.1843 Acc 0.5775 AUC 0.9453 Pre 0.2826 Rec 0.3993
2026-08-27 16:11:07 |   Val AUC improved to 0.9453, model saved
2026-08-27 16:11:07 | Epoch   7/100 | Train Loss 1.2204 Acc 0.6188 | Val Loss 1.1317 Acc 0.6218 AUC 0.9546 Pre 0.5976 Rec 0.4543
2026-08-27 16:11:07 |   Val AUC improved to 0.9546, model saved
2026-08-27 16:11:07 | Epoch   8/100 | Train Loss 1.1402 Acc 0.6509 | Val Loss 1.0625 Acc 0.7546 AUC 0.9606 Pre 0.6421 Rec 0.6397
2026-08-27 16:11:07 |   Val AUC improved to 0.9606, model saved
2026-08-27 16:11:07 | Epoch   9/100 | Train Loss 1.0478 Acc 0.7445 | Val Loss 1.0443 Acc 0.7380 AUC 0.9626 Pre 0.6766 Rec 0.6164
2026-08-27 16:11:08 |   Val AUC improved to 0.9626, model saved
2026-08-27 16:11:08 | Epoch  10/100 | Train Loss 1.0042 Acc 0.7672 | Val Loss 0.9482 Acc 0.7528 AUC 0.9641 Pre 0.7535 Rec 0.6282
2026-08-27 16:11:08 |   Val AUC improved to 0.9641, model saved
2026-08-27 16:11:08 | Epoch  11/100 | Train Loss 0.8687 Acc 0.8011 | Val Loss 0.8491 Acc 0.8063 AUC 0.9654 Pre 0.8301 Rec 0.7125
2026-08-27 16:11:08 |   Val AUC improved to 0.9654, model saved
2026-08-27 16:11:08 | Epoch  12/100 | Train Loss 0.7420 Acc 0.8177 | Val Loss 0.8273 Acc 0.8229 AUC 0.9637 Pre 0.8395 Rec 0.7606
2026-08-27 16:11:08 | Epoch  13/100 | Train Loss 0.7336 Acc 0.8147 | Val Loss 0.7833 Acc 0.8524 AUC 0.9639 Pre 0.8588 Rec 0.8096
2026-08-27 16:11:08 | Epoch  14/100 | Train Loss 0.6471 Acc 0.8504 | Val Loss 0.7740 Acc 0.8395 AUC 0.9632 Pre 0.8436 Rec 0.8121
2026-08-27 16:11:08 | Epoch  15/100 | Train Loss 0.6166 Acc 0.8682 | Val Loss 0.7674 Acc 0.8432 AUC 0.9630 Pre 0.8244 Rec 0.8314
2026-08-27 16:11:08 | Epoch  16/100 | Train Loss 0.6200 Acc 0.8750 | Val Loss 0.7424 Acc 0.8506 AUC 0.9639 Pre 0.8346 Rec 0.8455
2026-08-27 16:11:08 | Epoch  17/100 | Train Loss 0.5357 Acc 0.8947 | Val Loss 0.7465 Acc 0.8579 AUC 0.9647 Pre 0.8467 Rec 0.8473
2026-08-27 16:11:08 | Epoch  18/100 | Train Loss 0.4885 Acc 0.9039 | Val Loss 0.7732 Acc 0.8672 AUC 0.9647 Pre 0.8573 Rec 0.8541
2026-08-27 16:11:08 | Epoch  19/100 | Train Loss 0.4652 Acc 0.9206 | Val Loss 0.7887 Acc 0.8672 AUC 0.9647 Pre 0.8556 Rec 0.8583
2026-08-27 16:11:08 | Epoch  20/100 | Train Loss 0.4435 Acc 0.9243 | Val Loss 0.7940 Acc 0.8708 AUC 0.9635 Pre 0.8597 Rec 0.8647
2026-08-27 16:11:08 | Epoch  21/100 | Train Loss 0.4263 Acc 0.9236 | Val Loss 0.7987 Acc 0.8616 AUC 0.9622 Pre 0.8497 Rec 0.8523
2026-08-27 16:11:08 | Val AUC did not improve for 10 consecutive epochs, early stopping at Epoch 21 (best AUC 0.9654 @ Epoch 11)
2026-08-27 16:11:08 | Run 3/5 | Test (best model @ Epoch 11) | Loss 0.8583 Acc 0.8026 AUC 0.9699 Pre 0.8209 Rec 0.7226
2026-08-27 16:11:08 | ===== Run 4/5 (seed 3) =====
2026-08-27 16:11:08 | Epoch   1/100 | Train Loss 2.0866 Acc 0.1502 | Val Loss 1.8984 Acc 0.3026 AUC 0.9111 Pre 0.0432 Rec 0.1429
2026-08-27 16:11:08 |   Val AUC improved to 0.9111, model saved
2026-08-27 16:11:08 | Epoch   2/100 | Train Loss 2.0338 Acc 0.1638 | Val Loss 1.7985 Acc 0.3026 AUC 0.7899 Pre 0.0432 Rec 0.1429
2026-08-27 16:11:08 | Epoch   3/100 | Train Loss 1.9092 Acc 0.2802 | Val Loss 1.7012 Acc 0.3026 AUC 0.8615 Pre 0.0432 Rec 0.1429
