2026-09-02 01:58:55 | Device: cuda
2026-09-02 01:58:55 | Args: {'model': 'opb', 'backbone': 'gnn', 'task': 'cora', 'epochs': 100, 'batch_size': 512, 'lr': 0.01, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 6.0, 'energy_classifier': False, 'max_len': 250, 'random_labels': False, 'beta': 1.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/cora_gnn_opb/cora_gnn_opb.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/cora_gnn_opb_beta_1_anchor_6/train.log', 'no_save': True}
2026-09-02 01:58:57 | Cora 划分（60/20/20 分层）：train 1624 / val 542 / test 542（共 2708 节点，7 类）
2026-09-02 01:58:58 | ===== Run 1/5 (seed 0) =====
2026-09-02 01:58:59 |   Val AUC improved to 0.9622, model saved
2026-09-02 01:58:59 | Epoch  26/100 | Train Loss 3.6056 Acc 0.7857 | Val Loss 4.8644 Acc 0.8229 AUC 0.9626 Pre 0.8430 Rec 0.7400
2026-09-02 01:58:59 |   Val AUC improved to 0.9626, model saved
2026-09-02 01:59:00 | Epoch  27/100 | Train Loss 3.3834 Acc 0.8048 | Val Loss 4.6984 Acc 0.8247 AUC 0.9615 Pre 0.8425 Rec 0.7480
2026-09-02 01:59:00 | Epoch  28/100 | Train Loss 3.1192 Acc 0.8239 | Val Loss 4.6243 Acc 0.8284 AUC 0.9614 Pre 0.8431 Rec 0.7598
2026-09-02 01:59:00 | Epoch  29/100 | Train Loss 2.9341 Acc 0.8356 | Val Loss 4.4287 Acc 0.8450 AUC 0.9630 Pre 0.8531 Rec 0.7941
2026-09-02 01:59:00 |   Val AUC improved to 0.9630, model saved
2026-09-02 01:59:00 | Epoch  30/100 | Train Loss 2.6634 Acc 0.8658 | Val Loss 4.3506 Acc 0.8579 AUC 0.9647 Pre 0.8524 Rec 0.8262
2026-09-02 01:59:00 |   Val AUC improved to 0.9647, model saved
2026-09-02 01:59:00 | Epoch  31/100 | Train Loss 2.5670 Acc 0.8732 | Val Loss 4.3014 Acc 0.8616 AUC 0.9648 Pre 0.8551 Rec 0.8327
2026-09-02 01:59:00 |   Val AUC improved to 0.9648, model saved
2026-09-02 01:59:00 | Epoch  32/100 | Train Loss 2.4348 Acc 0.8818 | Val Loss 4.2931 Acc 0.8542 AUC 0.9637 Pre 0.8474 Rec 0.8249
2026-09-02 01:59:00 | Epoch  33/100 | Train Loss 2.3337 Acc 0.8892 | Val Loss 4.2972 Acc 0.8616 AUC 0.9631 Pre 0.8572 Rec 0.8419
2026-09-02 01:59:00 | Epoch  34/100 | Train Loss 2.2542 Acc 0.8953 | Val Loss 4.2319 Acc 0.8635 AUC 0.9635 Pre 0.8563 Rec 0.8467
2026-09-02 01:59:00 | Epoch  35/100 | Train Loss 2.1496 Acc 0.8978 | Val Loss 4.2150 Acc 0.8616 AUC 0.9637 Pre 0.8519 Rec 0.8430
2026-09-02 01:59:00 | Epoch  36/100 | Train Loss 2.0935 Acc 0.9083 | Val Loss 4.2099 Acc 0.8598 AUC 0.9631 Pre 0.8493 Rec 0.8421
2026-09-02 01:59:00 | Epoch  37/100 | Train Loss 2.0079 Acc 0.9058 | Val Loss 4.2187 Acc 0.8561 AUC 0.9621 Pre 0.8478 Rec 0.8376
2026-09-02 01:59:00 | Epoch  38/100 | Train Loss 1.9325 Acc 0.9163 | Val Loss 4.2246 Acc 0.8561 AUC 0.9613 Pre 0.8478 Rec 0.8376
2026-09-02 01:59:00 | Epoch  39/100 | Train Loss 1.8412 Acc 0.9107 | Val Loss 4.2034 Acc 0.8524 AUC 0.9609 Pre 0.8413 Rec 0.8339
2026-09-02 01:59:00 | Epoch  40/100 | Train Loss 1.7896 Acc 0.9212 | Val Loss 4.1908 Acc 0.8524 AUC 0.9606 Pre 0.8401 Rec 0.8339
2026-09-02 01:59:00 | Epoch  41/100 | Train Loss 1.7161 Acc 0.9163 | Val Loss 4.1937 Acc 0.8524 AUC 0.9601 Pre 0.8434 Rec 0.8323
2026-09-02 01:59:00 | Val AUC did not improve for 10 consecutive epochs, early stopping at Epoch 41 (best AUC 0.9648 @ Epoch 31)
2026-09-02 01:59:00 | Run 1/5 | Test (best model @ Epoch 31) | Loss 4.1923 Acc 0.8708 AUC 0.9730 Pre 0.8715 Rec 0.8625
2026-09-02 01:59:00 | ===== Run 2/5 (seed 1) =====
2026-09-02 01:59:00 | Epoch   1/100 | Train Loss 20.1886 Acc 0.1558 | Val Loss 18.9265 Acc 0.3026 AUC 0.7011 Pre 0.0434 Rec 0.1429
2026-09-02 01:59:00 |   Val AUC improved to 0.7011, model saved
2026-09-02 01:59:01 | Epoch   2/100 | Train Loss 19.0401 Acc 0.1595 | Val Loss 17.4158 Acc 0.3026 AUC 0.5970 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:01 | Epoch   3/100 | Train Loss 17.5968 Acc 0.1853 | Val Loss 16.2936 Acc 0.3026 AUC 0.7291 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:01 |   Val AUC improved to 0.7291, model saved
2026-09-02 01:59:01 | Epoch   4/100 | Train Loss 16.3817 Acc 0.2204 | Val Loss 15.5857 Acc 0.3026 AUC 0.7365 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:01 |   Val AUC improved to 0.7365, model saved
2026-09-02 01:59:01 | Epoch   5/100 | Train Loss 15.7182 Acc 0.2820 | Val Loss 14.7189 Acc 0.3026 AUC 0.7612 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:01 |   Val AUC improved to 0.7612, model saved
2026-09-02 01:59:01 | Epoch   6/100 | Train Loss 14.8363 Acc 0.3060 | Val Loss 13.8909 Acc 0.3026 AUC 0.8454 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:01 |   Val AUC improved to 0.8454, model saved
2026-09-02 01:59:01 | Epoch   7/100 | Train Loss 13.9489 Acc 0.3128 | Val Loss 13.2428 Acc 0.3026 AUC 0.8499 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:01 |   Val AUC improved to 0.8499, model saved
2026-09-02 01:59:01 | Epoch   8/100 | Train Loss 13.2502 Acc 0.3325 | Val Loss 12.4518 Acc 0.3026 AUC 0.8682 Pre 0.0432 Rec 0.1429
2026-09-02 01:59:01 |   Val AUC improved to 0.8682, model saved
2026-09-02 01:59:01 | Epoch   9/100 | Train Loss 12.3930 Acc 0.3491 | Val Loss 11.5775 Acc 0.3321 AUC 0.8968 Pre 0.1874 Rec 0.1701
2026-09-02 01:59:01 |   Val AUC improved to 0.8968, model saved
2026-09-02 01:59:01 | Epoch  10/100 | Train Loss 11.4686 Acc 0.3762 | Val Loss 10.7733 Acc 0.4410 AUC 0.8921 Pre 0.1557 Rec 0.2704
2026-09-02 01:59:01 | Epoch  11/100 | Train Loss 10.5590 Acc 0.4261 | Val Loss 9.7609 Acc 0.5111 AUC 0.9075 Pre 0.2515 Rec 0.3360
2026-09-02 01:59:01 |   Val AUC improved to 0.9075, model saved
2026-09-02 01:59:01 | Epoch  12/100 | Train Loss 9.5428 Acc 0.4680 | Val Loss 8.7572 Acc 0.5406 AUC 0.9166 Pre 0.2660 Rec 0.3628
2026-09-02 01:59:01 |   Val AUC improved to 0.9166, model saved
2026-09-02 01:59:01 | Epoch  13/100 | Train Loss 8.4518 Acc 0.4945 | Val Loss 8.0590 Acc 0.5738 AUC 0.9166 Pre 0.3728 Rec 0.3995
2026-09-02 01:59:01 |   Val AUC improved to 0.9166, model saved
2026-09-02 01:59:01 | Epoch  14/100 | Train Loss 7.6991 Acc 0.5567 | Val Loss 7.6536 Acc 0.6273 AUC 0.9245 Pre 0.3517 Rec 0.4623
2026-09-02 01:59:01 |   Val AUC improved to 0.9245, model saved
2026-09-02 01:59:01 | Epoch  15/100 | Train Loss 7.2948 Acc 0.5967 | Val Loss 7.3742 Acc 0.6421 AUC 0.9289 Pre 0.3588 Rec 0.4821
2026-09-02 01:59:01 |   Val AUC improved to 0.9289, model saved
2026-09-02 01:59:02 | Epoch  16/100 | Train Loss 7.0328 Acc 0.6170 | Val Loss 7.3162 Acc 0.6753 AUC 0.9425 Pre 0.5296 Rec 0.5307
2026-09-02 01:59:02 |   Val AUC improved to 0.9425, model saved
2026-09-02 01:59:02 | Epoch  17/100 | Train Loss 6.8712 Acc 0.6552 | Val Loss 7.1772 Acc 0.6845 AUC 0.9317 Pre 0.5385 Rec 0.5357
2026-09-02 01:59:02 | Epoch  18/100 | Train Loss 6.5385 Acc 0.6626 | Val Loss 6.5464 Acc 0.7214 AUC 0.9467 Pre 0.6955 Rec 0.5823
2026-09-02 01:59:02 |   Val AUC improved to 0.9467, model saved
2026-09-02 01:59:02 | Epoch  19/100 | Train Loss 5.7902 Acc 0.6964 | Val Loss 6.3717 Acc 0.7399 AUC 0.9549 Pre 0.6987 Rec 0.6059
2026-09-02 01:59:02 |   Val AUC improved to 0.9549, model saved
2026-09-02 01:59:02 | Epoch  20/100 | Train Loss 5.4991 Acc 0.7014 | Val Loss 6.0019 Acc 0.7472 AUC 0.9526 Pre 0.5409 Rec 0.6086
2026-09-02 01:59:02 | Epoch  21/100 | Train Loss 5.0405 Acc 0.7069 | Val Loss 5.8810 Acc 0.7565 AUC 0.9536 Pre 0.5364 Rec 0.6200
2026-09-02 01:59:02 | Epoch  22/100 | Train Loss 4.7919 Acc 0.7223 | Val Loss 5.6111 Acc 0.7675 AUC 0.9586 Pre 0.5348 Rec 0.6335
2026-09-02 01:59:02 |   Val AUC improved to 0.9586, model saved
2026-09-02 01:59:02 | Epoch  23/100 | Train Loss 4.4444 Acc 0.7432 | Val Loss 5.4973 Acc 0.7804 AUC 0.9608 Pre 0.6828 Rec 0.6539
2026-09-02 01:59:02 |   Val AUC improved to 0.9608, model saved
2026-09-02 01:59:02 | Epoch  24/100 | Train Loss 4.2687 Acc 0.7654 | Val Loss 5.2968 Acc 0.7657 AUC 0.9592 Pre 0.6764 Rec 0.6357
2026-09-02 01:59:02 | Epoch  25/100 | Train Loss 3.9993 Acc 0.7586 | Val Loss 5.2027 Acc 0.7694 AUC 0.9583 Pre 0.8230 Rec 0.6433
2026-09-02 01:59:02 | Epoch  26/100 | Train Loss 3.7964 Acc 0.7765 | Val Loss 4.9401 Acc 0.8081 AUC 0.9601 Pre 0.8385 Rec 0.7125
2026-09-02 01:59:02 | Epoch  27/100 | Train Loss 3.5107 Acc 0.7925 | Val Loss 4.7866 Acc 0.8266 AUC 0.9615 Pre 0.8458 Rec 0.7547
2026-09-02 01:59:02 |   Val AUC improved to 0.9615, model saved
2026-09-02 01:59:02 | Epoch  28/100 | Train Loss 3.2772 Acc 0.8048 | Val Loss 4.6096 Acc 0.8395 AUC 0.9614 Pre 0.8569 Rec 0.7797
2026-09-02 01:59:02 | Epoch  29/100 | Train Loss 3.0150 Acc 0.8282 | Val Loss 4.5305 Acc 0.8524 AUC 0.9610 Pre 0.8722 Rec 0.8039
2026-09-02 01:59:02 | Epoch  30/100 | Train Loss 2.7860 Acc 0.8399 | Val Loss 4.4083 Acc 0.8579 AUC 0.9619 Pre 0.8660 Rec 0.8205
2026-09-02 01:59:02 |   Val AUC improved to 0.9619, model saved
2026-09-02 01:59:02 | Epoch  31/100 | Train Loss 2.5879 Acc 0.8615 | Val Loss 4.3062 Acc 0.8616 AUC 0.9637 Pre 0.8596 Rec 0.8322
2026-09-02 01:59:02 |   Val AUC improved to 0.9637, model saved
2026-09-02 01:59:03 | Epoch  32/100 | Train Loss 2.4488 Acc 0.8805 | Val Loss 4.2601 Acc 0.8616 AUC 0.9641 Pre 0.8586 Rec 0.8357
2026-09-02 01:59:03 |   Val AUC improved to 0.9641, model saved
2026-09-02 01:59:03 | Epoch  33/100 | Train Loss 2.3042 Acc 0.8984 | Val Loss 4.2837 Acc 0.8616 AUC 0.9633 Pre 0.8558 Rec 0.8345
2026-09-02 01:59:03 | Epoch  34/100 | Train Loss 2.2617 Acc 0.8959 | Val Loss 4.2780 Acc 0.8542 AUC 0.9634 Pre 0.8501 Rec 0.8310
2026-09-02 01:59:03 | Epoch  35/100 | Train Loss 2.1847 Acc 0.9181 | Val Loss 4.2401 Acc 0.8561 AUC 0.9639 Pre 0.8462 Rec 0.8350
2026-09-02 01:59:03 | Epoch  36/100 | Train Loss 2.1225 Acc 0.9033 | Val Loss 4.2436 Acc 0.8579 AUC 0.9637 Pre 0.8448 Rec 0.8409
2026-09-02 01:59:03 | Epoch  37/100 | Train Loss 2.0348 Acc 0.9138 | Val Loss 4.2338 Acc 0.8561 AUC 0.9631 Pre 0.8454 Rec 0.8373
2026-09-02 01:59:03 | Epoch  38/100 | Train Loss 1.9389 Acc 0.9126 | Val Loss 4.2478 Acc 0.8524 AUC 0.9622 Pre 0.8478 Rec 0.8297
2026-09-02 01:59:03 | Epoch  39/100 | Train Loss 1.8888 Acc 0.9107 | Val Loss 4.2291 Acc 0.8524 AUC 0.9616 Pre 0.8429 Rec 0.8292
2026-09-02 01:59:03 | Epoch  40/100 | Train Loss 1.7869 Acc 0.9249 | Val Loss 4.2041 Acc 0.8524 AUC 0.9612 Pre 0.8424 Rec 0.8292
