config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_10_anchor_6,1,none,0,0.984000,
mnist_mlp_opb_beta_10_anchor_6,1,linf,0.05,0.914000,0.071138
mnist_mlp_opb_beta_10_anchor_6,1,linf,0.1,0.601000,0.389228
mnist_mlp_opb_beta_10_anchor_6,1,linf,0.15,0.351000,0.643293
mnist_mlp_opb_beta_10_anchor_6,1,linf,0.2,0.207000,0.789634
mnist_mlp_opb_beta_10_anchor_6,1,linf,0.25,0.120000,0.878049
mnist_mlp_opb_beta_10_anchor_6,1,linf,0.3,0.058000,0.941057
mnist_mlp_opb_beta_10_anchor_6,1,l2,1,0.919000,0.066057
mnist_mlp_opb_beta_10_anchor_6,1,l2,2,0.635000,0.354675
mnist_mlp_opb_beta_10_anchor_6,1,l2,3,0.360000,0.634146
mnist_mlp_opb_beta_10_anchor_6,1,l2,4,0.190000,0.806911
mnist_mlp_opb_beta_10_anchor_6,1,l2,5,0.095000,0.903455
mnist_mlp_opb_beta_10_anchor_6,1,l2,6,0.054000,0.945122
mnist_mlp_opb_beta_10_anchor_6,2,none,0,0.978000,
mnist_mlp_opb_beta_10_anchor_6,2,linf,0.05,0.920000,0.059305
mnist_mlp_opb_beta_10_anchor_6,2,linf,0.1,0.625000,0.360941
mnist_mlp_opb_beta_10_anchor_6,2,linf,0.15,0.378000,0.613497
mnist_mlp_opb_beta_10_anchor_6,2,linf,0.2,0.209000,0.786299
mnist_mlp_opb_beta_10_anchor_6,2,linf,0.25,0.111000,0.886503
mnist_mlp_opb_beta_10_anchor_6,2,linf,0.3,0.063000,0.935583
mnist_mlp_opb_beta_10_anchor_6,2,l2,1,0.926000,0.053170
mnist_mlp_opb_beta_10_anchor_6,2,l2,2,0.649000,0.336401
mnist_mlp_opb_beta_10_anchor_6,2,l2,3,0.379000,0.612474
mnist_mlp_opb_beta_10_anchor_6,2,l2,4,0.196000,0.799591
mnist_mlp_opb_beta_10_anchor_6,2,l2,5,0.105000,0.892638
mnist_mlp_opb_beta_10_anchor_6,2,l2,6,0.052000,0.946830
mnist_mlp_opb_beta_10_anchor_6,3,none,0,0.984000,
mnist_mlp_opb_beta_10_anchor_6,3,linf,0.05,0.922000,0.063008
mnist_mlp_opb_beta_10_anchor_6,3,linf,0.1,0.633000,0.356707
mnist_mlp_opb_beta_10_anchor_6,3,linf,0.15,0.383000,0.610772
mnist_mlp_opb_beta_10_anchor_6,3,linf,0.2,0.214000,0.782520
mnist_mlp_opb_beta_10_anchor_6,3,linf,0.25,0.125000,0.872967
mnist_mlp_opb_beta_10_anchor_6,3,linf,0.3,0.078000,0.920732
mnist_mlp_opb_beta_10_anchor_6,3,l2,1,0.932000,0.052846
mnist_mlp_opb_beta_10_anchor_6,3,l2,2,0.686000,0.302846
mnist_mlp_opb_beta_10_anchor_6,3,l2,3,0.380000,0.613821
mnist_mlp_opb_beta_10_anchor_6,3,l2,4,0.199000,0.797764
mnist_mlp_opb_beta_10_anchor_6,3,l2,5,0.105000,0.893293
mnist_mlp_opb_beta_10_anchor_6,3,l2,6,0.067000,0.931911
mnist_mlp_opb_beta_10_anchor_6,4,none,0,0.987000,
mnist_mlp_opb_beta_10_anchor_6,4,linf,0.05,0.923000,0.064843
mnist_mlp_opb_beta_10_anchor_6,4,linf,0.1,0.597000,0.395137
mnist_mlp_opb_beta_10_anchor_6,4,linf,0.15,0.365000,0.630192
mnist_mlp_opb_beta_10_anchor_6,4,linf,0.2,0.193000,0.804458
mnist_mlp_opb_beta_10_anchor_6,4,linf,0.25,0.094000,0.904762
mnist_mlp_opb_beta_10_anchor_6,4,linf,0.3,0.047000,0.952381
mnist_mlp_opb_beta_10_anchor_6,4,l2,1,0.928000,0.059777
mnist_mlp_opb_beta_10_anchor_6,4,l2,2,0.611000,0.380952
mnist_mlp_opb_beta_10_anchor_6,4,l2,3,0.366000,0.629179
mnist_mlp_opb_beta_10_anchor_6,4,l2,4,0.179000,0.818642
mnist_mlp_opb_beta_10_anchor_6,4,l2,5,0.081000,0.917933
mnist_mlp_opb_beta_10_anchor_6,4,l2,6,0.041000,0.958460
mnist_mlp_opb_beta_10_anchor_6,5,none,0,0.980000,
mnist_mlp_opb_beta_10_anchor_6,5,linf,0.05,0.921000,0.060204
mnist_mlp_opb_beta_10_anchor_6,5,linf,0.1,0.677000,0.309184
mnist_mlp_opb_beta_10_anchor_6,5,linf,0.15,0.391000,0.601020
mnist_mlp_opb_beta_10_anchor_6,5,linf,0.2,0.218000,0.777551
mnist_mlp_opb_beta_10_anchor_6,5,linf,0.25,0.112000,0.885714
mnist_mlp_opb_beta_10_anchor_6,5,linf,0.3,0.071000,0.927551
mnist_mlp_opb_beta_10_anchor_6,5,l2,1,0.926000,0.055102
mnist_mlp_opb_beta_10_anchor_6,5,l2,2,0.732000,0.253061
mnist_mlp_opb_beta_10_anchor_6,5,l2,3,0.407000,0.584694
mnist_mlp_opb_beta_10_anchor_6,5,l2,4,0.203000,0.792857
mnist_mlp_opb_beta_10_anchor_6,5,l2,5,0.100000,0.897959
mnist_mlp_opb_beta_10_anchor_6,5,l2,6,0.058000,0.940816
