config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_25_anchor_1,1,none,0,0.974000,
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.05,0.886000,0.090349
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.1,0.738000,0.242300
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.15,0.502000,0.484600
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.2,0.303000,0.688912
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.25,0.191000,0.803901
mnist_mlp_opb_beta_25_anchor_1,1,linf,0.3,0.137000,0.859343
mnist_mlp_opb_beta_25_anchor_1,1,l2,1,0.897000,0.079055
mnist_mlp_opb_beta_25_anchor_1,1,l2,2,0.756000,0.223819
mnist_mlp_opb_beta_25_anchor_1,1,l2,3,0.521000,0.465092
mnist_mlp_opb_beta_25_anchor_1,1,l2,4,0.315000,0.676591
mnist_mlp_opb_beta_25_anchor_1,1,l2,5,0.198000,0.796715
mnist_mlp_opb_beta_25_anchor_1,1,l2,6,0.149000,0.847023
mnist_mlp_opb_beta_25_anchor_1,2,none,0,0.971000,
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.05,0.919000,0.053553
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.1,0.723000,0.255407
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.15,0.465000,0.521112
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.2,0.314000,0.676622
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.25,0.203000,0.790937
mnist_mlp_opb_beta_25_anchor_1,2,linf,0.3,0.143000,0.852729
mnist_mlp_opb_beta_25_anchor_1,2,l2,1,0.919000,0.053553
mnist_mlp_opb_beta_25_anchor_1,2,l2,2,0.773000,0.203913
mnist_mlp_opb_beta_25_anchor_1,2,l2,3,0.498000,0.487127
mnist_mlp_opb_beta_25_anchor_1,2,l2,4,0.303000,0.687951
mnist_mlp_opb_beta_25_anchor_1,2,l2,5,0.212000,0.781668
mnist_mlp_opb_beta_25_anchor_1,2,l2,6,0.123000,0.873326
mnist_mlp_opb_beta_25_anchor_1,3,none,0,0.972000,
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.05,0.922000,0.051440
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.1,0.768000,0.209877
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.15,0.498000,0.487654
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.2,0.299000,0.692387
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.25,0.176000,0.818930
mnist_mlp_opb_beta_25_anchor_1,3,linf,0.3,0.086000,0.911523
mnist_mlp_opb_beta_25_anchor_1,3,l2,1,0.925000,0.048354
mnist_mlp_opb_beta_25_anchor_1,3,l2,2,0.792000,0.185185
mnist_mlp_opb_beta_25_anchor_1,3,l2,3,0.516000,0.469136
mnist_mlp_opb_beta_25_anchor_1,3,l2,4,0.293000,0.698560
mnist_mlp_opb_beta_25_anchor_1,3,l2,5,0.169000,0.826132
mnist_mlp_opb_beta_25_anchor_1,3,l2,6,0.089000,0.908436
mnist_mlp_opb_beta_25_anchor_1,4,none,0,0.974000,
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.05,0.905000,0.070842
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.1,0.640000,0.342916
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.15,0.406000,0.583162
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.2,0.211000,0.783368
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.25,0.109000,0.888090
mnist_mlp_opb_beta_25_anchor_1,4,linf,0.3,0.060000,0.938398
mnist_mlp_opb_beta_25_anchor_1,4,l2,1,0.911000,0.064682
mnist_mlp_opb_beta_25_anchor_1,4,l2,2,0.682000,0.299795
mnist_mlp_opb_beta_25_anchor_1,4,l2,3,0.419000,0.569815
mnist_mlp_opb_beta_25_anchor_1,4,l2,4,0.228000,0.765914
mnist_mlp_opb_beta_25_anchor_1,4,l2,5,0.112000,0.885010
mnist_mlp_opb_beta_25_anchor_1,4,l2,6,0.064000,0.934292
mnist_mlp_opb_beta_25_anchor_1,5,none,0,0.977000,
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.05,0.937000,0.040942
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.1,0.797000,0.184237
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.15,0.547000,0.440123
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.2,0.390000,0.600819
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.25,0.252000,0.742068
mnist_mlp_opb_beta_25_anchor_1,5,linf,0.3,0.167000,0.829069
mnist_mlp_opb_beta_25_anchor_1,5,l2,1,0.935000,0.042989
mnist_mlp_opb_beta_25_anchor_1,5,l2,2,0.806000,0.175026
mnist_mlp_opb_beta_25_anchor_1,5,l2,3,0.563000,0.423746
mnist_mlp_opb_beta_25_anchor_1,5,l2,4,0.377000,0.614125
mnist_mlp_opb_beta_25_anchor_1,5,l2,5,0.237000,0.757421
mnist_mlp_opb_beta_25_anchor_1,5,l2,6,0.161000,0.835210
