config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_0.001_anchor_6,1,none,0,0.976000,
mnist_mlp_opb_beta_0.001_anchor_6,1,linf,0.05,0.926000,0.051230
mnist_mlp_opb_beta_0.001_anchor_6,1,linf,0.1,0.784000,0.196721
mnist_mlp_opb_beta_0.001_anchor_6,1,linf,0.15,0.461000,0.527664
mnist_mlp_opb_beta_0.001_anchor_6,1,linf,0.2,0.214000,0.780738
mnist_mlp_opb_beta_0.001_anchor_6,1,linf,0.25,0.085000,0.912910
mnist_mlp_opb_beta_0.001_anchor_6,1,linf,0.3,0.033000,0.966189
mnist_mlp_opb_beta_0.001_anchor_6,1,l2,1,0.923000,0.054303
mnist_mlp_opb_beta_0.001_anchor_6,1,l2,2,0.786000,0.194672
mnist_mlp_opb_beta_0.001_anchor_6,1,l2,3,0.504000,0.483607
mnist_mlp_opb_beta_0.001_anchor_6,1,l2,4,0.320000,0.672131
mnist_mlp_opb_beta_0.001_anchor_6,1,l2,5,0.248000,0.745902
mnist_mlp_opb_beta_0.001_anchor_6,1,l2,6,0.216000,0.778689
mnist_mlp_opb_beta_0.001_anchor_6,2,none,0,0.982000,
mnist_mlp_opb_beta_0.001_anchor_6,2,linf,0.05,0.920000,0.063136
mnist_mlp_opb_beta_0.001_anchor_6,2,linf,0.1,0.771000,0.214868
mnist_mlp_opb_beta_0.001_anchor_6,2,linf,0.15,0.474000,0.517312
mnist_mlp_opb_beta_0.001_anchor_6,2,linf,0.2,0.232000,0.763747
mnist_mlp_opb_beta_0.001_anchor_6,2,linf,0.25,0.097000,0.901222
mnist_mlp_opb_beta_0.001_anchor_6,2,linf,0.3,0.037000,0.962322
mnist_mlp_opb_beta_0.001_anchor_6,2,l2,1,0.919000,0.064155
mnist_mlp_opb_beta_0.001_anchor_6,2,l2,2,0.770000,0.215886
mnist_mlp_opb_beta_0.001_anchor_6,2,l2,3,0.513000,0.477597
mnist_mlp_opb_beta_0.001_anchor_6,2,l2,4,0.324000,0.670061
mnist_mlp_opb_beta_0.001_anchor_6,2,l2,5,0.266000,0.729124
mnist_mlp_opb_beta_0.001_anchor_6,2,l2,6,0.242000,0.753564
mnist_mlp_opb_beta_0.001_anchor_6,3,none,0,0.985000,
mnist_mlp_opb_beta_0.001_anchor_6,3,linf,0.05,0.935000,0.050761
mnist_mlp_opb_beta_0.001_anchor_6,3,linf,0.1,0.767000,0.221320
mnist_mlp_opb_beta_0.001_anchor_6,3,linf,0.15,0.472000,0.520812
mnist_mlp_opb_beta_0.001_anchor_6,3,linf,0.2,0.227000,0.769543
mnist_mlp_opb_beta_0.001_anchor_6,3,linf,0.25,0.103000,0.895431
mnist_mlp_opb_beta_0.001_anchor_6,3,linf,0.3,0.039000,0.960406
mnist_mlp_opb_beta_0.001_anchor_6,3,l2,1,0.935000,0.050761
mnist_mlp_opb_beta_0.001_anchor_6,3,l2,2,0.771000,0.217259
mnist_mlp_opb_beta_0.001_anchor_6,3,l2,3,0.506000,0.486294
mnist_mlp_opb_beta_0.001_anchor_6,3,l2,4,0.325000,0.670051
mnist_mlp_opb_beta_0.001_anchor_6,3,l2,5,0.258000,0.738071
mnist_mlp_opb_beta_0.001_anchor_6,3,l2,6,0.231000,0.765482
mnist_mlp_opb_beta_0.001_anchor_6,4,none,0,0.982000,
mnist_mlp_opb_beta_0.001_anchor_6,4,linf,0.05,0.920000,0.063136
mnist_mlp_opb_beta_0.001_anchor_6,4,linf,0.1,0.728000,0.258656
mnist_mlp_opb_beta_0.001_anchor_6,4,linf,0.15,0.432000,0.560081
mnist_mlp_opb_beta_0.001_anchor_6,4,linf,0.2,0.195000,0.801426
mnist_mlp_opb_beta_0.001_anchor_6,4,linf,0.25,0.082000,0.916497
mnist_mlp_opb_beta_0.001_anchor_6,4,linf,0.3,0.031000,0.968432
mnist_mlp_opb_beta_0.001_anchor_6,4,l2,1,0.925000,0.058045
mnist_mlp_opb_beta_0.001_anchor_6,4,l2,2,0.745000,0.241344
mnist_mlp_opb_beta_0.001_anchor_6,4,l2,3,0.458000,0.533605
mnist_mlp_opb_beta_0.001_anchor_6,4,l2,4,0.226000,0.769857
mnist_mlp_opb_beta_0.001_anchor_6,4,l2,5,0.090000,0.908350
mnist_mlp_opb_beta_0.001_anchor_6,4,l2,6,0.037000,0.962322
mnist_mlp_opb_beta_0.001_anchor_6,5,none,0,0.976000,
mnist_mlp_opb_beta_0.001_anchor_6,5,linf,0.05,0.924000,0.053279
mnist_mlp_opb_beta_0.001_anchor_6,5,linf,0.1,0.730000,0.252049
mnist_mlp_opb_beta_0.001_anchor_6,5,linf,0.15,0.442000,0.547131
mnist_mlp_opb_beta_0.001_anchor_6,5,linf,0.2,0.212000,0.782787
mnist_mlp_opb_beta_0.001_anchor_6,5,linf,0.25,0.086000,0.911885
mnist_mlp_opb_beta_0.001_anchor_6,5,linf,0.3,0.038000,0.961066
mnist_mlp_opb_beta_0.001_anchor_6,5,l2,1,0.927000,0.050205
mnist_mlp_opb_beta_0.001_anchor_6,5,l2,2,0.756000,0.225410
mnist_mlp_opb_beta_0.001_anchor_6,5,l2,3,0.460000,0.528689
mnist_mlp_opb_beta_0.001_anchor_6,5,l2,4,0.232000,0.762295
mnist_mlp_opb_beta_0.001_anchor_6,5,l2,5,0.111000,0.886271
mnist_mlp_opb_beta_0.001_anchor_6,5,l2,6,0.069000,0.929303
